"dataset","description","tags","n1","n2","Zc.down","Zc.up","Zc.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
SBB+06,"mouse malignant melanoma plasma membrane",cancer,574,289,-0.1253,-0.1269,-0.0015,-0.7649,-0.7545,0.0104,526,638,112,112.0414,111.5405,-0.5009
FWH+13,"THP-1 macrophages",,56,40,-0.1486,-0.1406,0.008,-0.7346,-0.7207,0.0138,423,441.5,18.5,111.0114,110.0937,-0.9177
RHD+13_Hx48,"A431 epithelial carcinoma cells Hx48",cancer,211,92,-0.1422,-0.1333,0.0089,-0.7575,-0.759,-0.0015,348,426.5,78.5,112.3291,111.5963,-0.7328
RHD+13_Hx72,"A431 epithelial carcinoma cells Hx72",cancer,88,67,-0.1409,-0.1602,-0.0194,-0.7497,-0.7706,-0.0208,323,395,72,112.2884,111.4311,-0.8574
VTMF13,"SH-SY5Y neuroblastoma cells",,141,64,-0.1323,-0.1452,-0.0129,-0.761,-0.73,0.031,380,375.5,-4.5,111.6287,111.6431,0.0143
DCH+14,"mouse 4T1 cells",cancer,71,60,-0.1434,-0.1278,0.0156,-0.7124,-0.7457,-0.0333,636,336,-300,111.7271,111.7964,0.0693
DYL+14_Hx48-S,"A431 epithelial carcinoma cells Hx48-S",cancer,65,34,-0.1552,-0.1249,0.0303,-0.6987,-0.7436,-0.0448,518,639.5,121.5,112.8357,112.325,-0.5107
DYL+14_Hx72-S,"A431 epithelial carcinoma cells Hx72-S",cancer,137,61,-0.1376,-0.1358,0.0018,-0.7387,-0.7666,-0.028,646,664,18,112.8357,112.3309,-0.5049
DYL+14_Hx48-P,"A431 epithelial carcinoma cells Hx48-P",cancer,74,44,-0.1545,-0.1472,0.0074,-0.7254,-0.7317,-0.0063,448.5,572,123.5,110.5013,111.6349,1.1336
DYL+14_Hx72-P,"A431 epithelial carcinoma cells Hx72-P",cancer,67,53,-0.1395,-0.148,-0.0086,-0.7249,-0.7376,-0.0127,514,534,20,111.2989,111.314,0.0151
BSA+15,"HeLa cervical cancer cells",cancer,53,72,-0.1486,-0.1429,0.0056,-0.7379,-0.7545,-0.0166,282,507,225,112.161,110.6157,-1.5452
HWA+16,"U87MG and 786-O cancer cells",cancer,137,164,-0.1405,-0.1405,0,-0.7275,-0.7507,-0.0232,406,427.5,21.5,112.7422,111.9894,-0.7528
LCS16_translation,"HCT116 colon cancer translation",cancer,469,1024,-0.1244,-0.1453,-0.0209,-0.7592,-0.7801,-0.0209,282,605,323,112.0133,112.3957,0.3824
CGH+17_whole,"mouse cardiac fibroblasts whole",,38,48,-0.1293,-0.1415,-0.0121,-0.7416,-0.7259,0.0157,768.5,394,-374.5,110.3692,110.7042,0.335
ZXS+17,"U87 and U251 glioblastoma cells",cancer,143,122,-0.1555,-0.1292,0.0262,-0.7281,-0.7856,-0.0575,358,419,61,112.1333,112.1656,0.0323
CLY+18_proteome,"HCT116 colon cancer cells proteome",,108,127,-0.1111,-0.1169,-0.0058,-0.7664,-0.7584,0.0079,573,456,-117,112.428,110.8408,-1.5872
GBH+18,"SW620 colorectal cancer cells",cancer,237,67,-0.1403,-0.1316,0.0087,-0.757,-0.761,-0.004,376,364,-12,112.0335,112.0279,-0.0055
LKK+18,"hUCB mesehnchymal stem cells",,44,62,-0.1547,-0.1464,0.0083,-0.7656,-0.7275,0.0382,338.5,403.5,65,111.4709,112.1976,0.7267
WTG+18,"adipose-derived mesehnchymal stem cells",,163,57,-0.1538,-0.1447,0.009,-0.7276,-0.7594,-0.0317,379,428,49,110.3693,110.4728,0.1035
CSK+19,"HeLa cervical cancer cells",cancer,36,45,-0.1512,-0.1475,0.0037,-0.7311,-0.7298,0.0013,428,434,6,111.0786,110.605,-0.4736
GPT+19_Light.S,"MIAPaCa-2 pancreatic cancer cells pulse/trace Light serum replete",cancer,62,180,-0.1229,-0.1207,0.0022,-0.7665,-0.7476,0.0189,621,576.5,-44.5,111.9247,111.4926,-0.4321
GPT+19_Heavy.S,"MIAPaCa-2 pancreatic cancer cells pulse/trace Heavy serum replete",cancer,196,57,-0.1104,-0.1201,-0.0097,-0.7586,-0.7512,0.0074,592.5,433,-159.5,112.0649,111.0072,-1.0577
KAN+19_proteome,"cancer-associated fibroblasts proteome",cancer,221,124,-0.1541,-0.1343,0.0198,-0.7471,-0.7515,-0.0045,346,459.5,113.5,111.1238,111.987,0.8632
LLL+19,"human periodontal ligament cells",,67,153,-0.1233,-0.1503,-0.027,-0.7633,-0.7317,0.0316,482,266,-216,111.6732,111.5862,-0.087
BCMS20,"MCF-7 breast cancer cells",cancer,153,161,-0.1392,-0.1202,0.019,-0.7347,-0.7723,-0.0375,440,248,-192,112.3085,111.2259,-1.0826
