rank,group,ntaxa,parent,nH2O,ZC,nC
species,Luteitalea pratensis,1,,-0.739409,-0.126219,4.807155
species,Candidatus Marinimicrobia bacterium,1,,-0.728562,-0.218831,5.060264
genus,Azorhizobium,4,Xanthobacteraceae,-0.709937,-0.150953,4.785479
genus,Buchnera,1,Erwiniaceae,-0.713744,-0.241944,5.223773
genus,Cellulomonas,71,Cellulomonadaceae,-0.699339,-0.119135,4.683216
genus,Dictyoglomus,3,Dictyoglomaceae,-0.739737,-0.240153,5.22652
genus,Methylophilus,15,Methylophilaceae,-0.739998,-0.160411,4.934489
genus,Syntrophotalea,3,Syntrophotaleaceae,-0.730691,-0.156335,4.927017
genus,Phenylobacterium,14,Caulobacteraceae,-0.726907,-0.132455,4.77969
genus,Shewanella,141,Shewanellaceae,-0.743092,-0.15901,4.948797
genus,Myxococcus,29,Myxococcaceae,-0.72649,-0.129398,4.809081
genus,Corallococcus,32,Myxococcaceae,-0.73268,-0.127336,4.812872
genus,Stigmatella,2,Archangiaceae,-0.732671,-0.12976,4.817129
genus,Cystobacter,2,Archangiaceae,-0.740426,-0.126141,4.839557
genus,Archangium,4,Archangiaceae,-0.734798,-0.127254,4.829312
genus,Chondromyces,2,Polyangiaceae,-0.719478,-0.112814,4.734443
genus,Nannocystis,1,Nannocystaceae,-0.736416,-0.108779,4.744546
genus,Sorangium,1,Polyangiaceae,-0.721769,-0.108439,4.722217
genus,Vitreoscilla,4,Neisseriaceae,-0.753033,-0.15012,4.917339
genus,Herpetosiphon,4,Herpetosiphonaceae,-0.756189,-0.150313,4.925277
genus,Lysobacter,63,Xanthomonadaceae,-0.744979,-0.122539,4.814219
genus,Simonsiella,1,Neisseriaceae,-0.755006,-0.154312,4.978526
genus,Hyphomicrobium,14,Hyphomicrobiaceae,-0.720127,-0.144648,4.829892
genus,Hyphomonas,19,Hyphomonadaceae,-0.7403,-0.132187,4.82907
genus,Stella,3,Acetobacteraceae,-0.747818,-0.123599,4.81448
genus,Ancylobacter,5,Xanthobacteraceae,-0.716496,-0.149537,4.795783
genus,Polaribacter,41,Flavobacteriaceae,-0.759558,-0.192709,5.114175
genus,Flectobacillus,2,Cytophagaceae,-0.7768,-0.18036,5.082079
genus,Cyclobacterium,10,Cyclobacteriaceae,-0.795377,-0.167323,5.074762
genus,Runella,8,Cytophagaceae,-0.784194,-0.170602,5.053393
genus,Spirosoma,28,Cytophagaceae,-0.774971,-0.156136,4.997561
genus,Gemmata,4,Gemmataceae,-0.739909,-0.136895,4.840898
genus,Rubinisphaera,3,Planctomycetaceae,-0.77188,-0.123049,4.927518
genus,Planctopirus,3,Planctomycetaceae,-0.747748,-0.140292,4.904348
genus,Gimesia,8,Planctomycetaceae,-0.765323,-0.140716,4.961395
genus,Blastopirellula,3,Pirellulaceae,-0.762655,-0.131875,4.909437
genus,Pirellula,2,Pirellulaceae,-0.742839,-0.135455,4.88627
genus,Isosphaera,1,Isosphaeraceae,-0.747531,-0.124835,4.861364
genus,Methylocystis,18,Methylocystaceae,-0.733816,-0.138726,4.835979
genus,Borreliella,15,Borreliaceae,-0.725883,-0.233027,5.227891
genus,Borrelia,14,Borreliaceae,-0.719006,-0.223938,5.188109
genus,Sediminispirochaeta,2,Spirochaetaceae,-0.74178,-0.173601,4.99076
genus,Spirochaeta,5,Spirochaetaceae,-0.758992,-0.162814,5.010105
genus,Treponema,37,Spirochaetaceae,-0.745634,-0.17671,5.008685
genus,Brachyspira,14,Brachyspiraceae,-0.757559,-0.201617,5.177349
genus,Leptospira,74,Leptospiraceae,-0.764376,-0.194271,5.114314
genus,Leptospirillum,5,Nitrospiraceae,-0.750406,-0.162877,4.95465
genus,Leptonema,1,Leptospiraceae,-0.763342,-0.154415,5.006847
genus,Magnetospirillum,17,Rhodospirillaceae,-0.714035,-0.141872,4.804564
genus,Novispirillum,1,Rhodospirillaceae,-0.706652,-0.146011,4.793792
genus,Aquaspirillum,2,Chromobacteriaceae,-0.743164,-0.144885,4.891468
genus,Azospirillum,45,Azospirillaceae,-0.714129,-0.139086,4.793931
genus,Campylobacter,232,Campylobacteraceae,-0.734385,-0.212203,5.122668
genus,Helicobacter,78,Helicobacteraceae,-0.745468,-0.195688,5.083069
genus,Pseudoalteromonas,310,Pseudoalteromonadaceae,-0.748626,-0.162067,4.978231
genus,Brucella,83,Brucellaceae,-0.724775,-0.152219,4.862209
genus,Elizabethkingia,14,Weeksellaceae,-0.781013,-0.183996,5.122618
genus,Flavobacterium,336,Flavobacteriaceae,-0.766221,-0.186965,5.091793
genus,Planomicrobium,15,Planococcaceae,-0.749586,-0.180944,5.028518
genus,Chryseobacterium,185,Weeksellaceae,-0.779405,-0.181678,5.111332
genus,Empedobacter,5,Weeksellaceae,-0.77054,-0.174402,5.072662
genus,Terrimonas,2,Chitinophagaceae,-0.783399,-0.169297,5.053482
genus,Psychroflexus,15,Flavobacteriaceae,-0.775846,-0.179836,5.116471
genus,Halomonas,196,Halomonadaceae,-0.74712,-0.135492,4.879323
genus,Myroides,18,Flavobacteriaceae,-0.768006,-0.189417,5.116969
genus,Sphingobacterium,83,Sphingobacteriaceae,-0.785388,-0.173147,5.08857
genus,Francisella,23,Francisellaceae,-0.737576,-0.205545,5.095684
genus,Paracoccus,95,Rhodobacteraceae,-0.728838,-0.132836,4.796792
genus,Thermus,25,Thermaceae,-0.732729,-0.191799,4.98976
genus,Meiothermus,13,Thermaceae,-0.743254,-0.171089,4.950696
genus,Xanthobacter,10,Xanthobacteraceae,-0.709872,-0.151728,4.782954
genus,Comamonas,42,Comamonadaceae,-0.730604,-0.141506,4.830826
genus,Pseudomonas,1697,Pseudomonadaceae,-0.73984,-0.148808,4.891406
genus,Burkholderia,287,Burkholderiaceae,-0.742524,-0.131589,4.813671
genus,Brevundimonas,66,Caulobacteraceae,-0.726147,-0.127144,4.77567
genus,Hydrogenophilus,1,Hydrogenophilaceae,-0.756223,-0.153949,4.92481
genus,Pelomonas,10,Comamonadaceae,-0.729602,-0.137468,4.808274
genus,Ralstonia,24,Burkholderiaceae,-0.735305,-0.13809,4.823919
genus,Xanthomonas,88,Xanthomonadaceae,-0.74528,-0.123572,4.812738
genus,Zoogloea,5,Zoogloeaceae,-0.728712,-0.142435,4.83938
genus,Azotobacter,4,Pseudomonadaceae,-0.745967,-0.139042,4.883707
genus,Agrobacterium,63,Rhizobiaceae,-0.723491,-0.151267,4.855461
genus,Bradyrhizobium,218,Bradyrhizobiaceae,-0.721598,-0.148306,4.831235
genus,Sinorhizobium,24,Rhizobiaceae,-0.730499,-0.143155,4.848367
genus,Mesorhizobium,479,Phyllobacteriaceae,-0.725945,-0.148204,4.834141
genus,Rhizobium,362,Rhizobiaceae,-0.724076,-0.150167,4.849006
genus,Neorhizobium,16,Rhizobiaceae,-0.724648,-0.151627,4.853919
genus,Methylobacillus,4,Methylophilaceae,-0.739667,-0.153559,4.91694
genus,Methylorubrum,8,Methylobacteriaceae,-0.71137,-0.130535,4.760152
genus,Methylobacterium,140,Methylobacteriaceae,-0.707966,-0.131765,4.754536
genus,Methylococcus,4,Methylococcaceae,-0.749851,-0.143643,4.898365
genus,Methylobacter,8,Methylococcaceae,-0.749588,-0.160858,4.969261
genus,Methylomonas,16,Methylococcaceae,-0.751014,-0.154328,4.943581
genus,Methylosinus,12,Methylocystaceae,-0.72746,-0.135701,4.817883
genus,Acetobacter,57,Acetobacteraceae,-0.738475,-0.139857,4.847307
genus,Komagataeibacter,20,Acetobacteraceae,-0.746439,-0.126303,4.815788
genus,Acidomonas,1,Acetobacteraceae,-0.740701,-0.130566,4.820478
genus,Gluconobacter,29,Acetobacteraceae,-0.737562,-0.133244,4.834405
genus,Legionella,67,Legionellaceae,-0.756012,-0.181745,5.059664
genus,Fluoribacter,3,Legionellaceae,-0.759046,-0.18398,5.072545
genus,Tatlockia,2,Legionellaceae,-0.755377,-0.182828,5.064443
genus,Acinetobacter,614,Moraxellaceae,-0.756793,-0.169176,5.015619
genus,Moraxella,29,Moraxellaceae,-0.751703,-0.159981,4.965341
genus,Neisseria,95,Neisseriaceae,-0.754096,-0.155572,4.949851
genus,Bergeriella,1,Neisseriaceae,-0.744915,-0.150741,4.901609
genus,Psychrobacter,138,Moraxellaceae,-0.737403,-0.15003,4.92706
genus,Thermomicrobium,1,Thermomicrobiaceae,-0.732999,-0.159129,4.920294
genus,Kingella,6,Neisseriaceae,-0.75756,-0.14617,4.929561
genus,Alcaligenes,7,Alcaligenaceae,-0.740172,-0.152414,4.892999
genus,Bordetella,30,Alcaligenaceae,-0.7328,-0.134697,4.807384
genus,Acidiphilium,7,Acetobacteraceae,-0.699382,-0.162943,4.805865
genus,Acidocella,4,Acetobacteraceae,-0.720067,-0.156424,4.813657
genus,Beijerinckia,4,Beijerinckiaceae,-0.727842,-0.150972,4.848357
genus,Chromobacterium,21,Chromobacteriaceae,-0.739145,-0.142545,4.859417
genus,Iodobacter,4,Chromobacteriaceae,-0.730526,-0.16609,4.917348
genus,Eikenella,16,Neisseriaceae,-0.757919,-0.143914,4.921023
genus,Zymomonas,1,Sphingomonadaceae,-0.740778,-0.149309,4.915263
genus,Citrobacter,167,Enterobacteriaceae,-0.748873,-0.15893,4.941052
genus,Klebsiella,111,Enterobacteriaceae,-0.750586,-0.157868,4.933928
genus,Pantoea,162,Erwiniaceae,-0.746255,-0.153858,4.926938
genus,Enterobacter,287,Enterobacteriaceae,-0.750827,-0.155574,4.936945
genus,Erwinia,47,Erwiniaceae,-0.745694,-0.153263,4.928941
genus,Pectobacterium,26,Pectobacteriaceae,-0.747004,-0.153176,4.9391
genus,Dickeya,19,Pectobacteriaceae,-0.75035,-0.147869,4.924013
genus,Escherichia,151,Enterobacteriaceae,-0.749252,-0.158133,4.949137
genus,Shimwellia,2,Enterobacteriaceae,-0.752126,-0.153131,4.922825
genus,Atlantibacter,3,Enterobacteriaceae,-0.753111,-0.154007,4.932791
genus,Pseudescherichia,1,Enterobacteriaceae,-0.748319,-0.155751,4.929004
genus,Hafnia,5,Hafniaceae,-0.74838,-0.156704,4.941756
genus,Raoultella,42,Enterobacteriaceae,-0.750889,-0.157246,4.930684
genus,Kluyvera,11,Enterobacteriaceae,-0.759469,-0.142354,4.907526
genus,Morganella,5,Morganellaceae,-0.769149,-0.154552,4.97571
genus,Proteus,71,Morganellaceae,-0.746158,-0.17094,5.006353
genus,Providencia,35,Morganellaceae,-0.742593,-0.173518,4.985579
genus,Salmonella,298,Enterobacteriaceae,-0.751235,-0.158964,4.948885
genus,Serratia,95,Yersiniaceae,-0.748679,-0.15476,4.92426
genus,Shigella,44,Enterobacteriaceae,-0.738683,-0.156047,4.935198
genus,Xenorhabdus,32,Morganellaceae,-0.75459,-0.160644,4.997411
genus,Yersinia,26,Yersiniaceae,-0.741538,-0.156304,4.935361
genus,Edwardsiella,7,Hafniaceae,-0.748257,-0.14719,4.911112
genus,Arsenophonus,9,Morganellaceae,-0.731934,-0.186513,5.05674
genus,Aeromonas,81,Aeromonadaceae,-0.743057,-0.157303,4.924401
genus,Photobacterium,52,Vibrionaceae,-0.750297,-0.165537,4.966157
genus,Vibrio,360,Vibrionaceae,-0.750811,-0.158647,4.97216
genus,Aliivibrio,12,Vibrionaceae,-0.746026,-0.166574,4.996288
genus,Grimontia,6,Vibrionaceae,-0.747403,-0.152863,4.933576
genus,Plesiomonas,2,,-0.750564,-0.150552,4.931813
genus,Aggregatibacter,7,Pasteurellaceae,-0.749626,-0.174444,5.020443
genus,Actinobacillus,15,Pasteurellaceae,-0.741167,-0.17504,5.006181
genus,Haemophilus,27,Pasteurellaceae,-0.741458,-0.175709,5.014478
genus,Avibacterium,5,Pasteurellaceae,-0.745993,-0.174484,5.016557
genus,Histophilus,1,Pasteurellaceae,-0.71314,-0.154261,4.925784
genus,Glaesserella,3,Pasteurellaceae,-0.743168,-0.170068,5.003915
genus,Pasteurella,13,Pasteurellaceae,-0.736306,-0.178755,5.025592
genus,Gallibacterium,5,Pasteurellaceae,-0.74415,-0.177734,5.023162
genus,Rodentibacter,12,Pasteurellaceae,-0.745881,-0.175974,5.024122
genus,Anaplasma,5,Anaplasmataceae,-0.711683,-0.152555,4.8706
genus,Bartonella,76,Bartonellaceae,-0.730784,-0.170143,4.976785
genus,Coxiella,7,Coxiellaceae,-0.732176,-0.199558,5.086103
genus,Ehrlichia,7,Anaplasmataceae,-0.724364,-0.189862,5.05283
genus,Rickettsia,46,Rickettsiaceae,-0.71178,-0.208765,5.08219
genus,Orientia,2,Rickettsiaceae,-0.716997,-0.205763,5.102606
genus,Chlamydia,19,Chlamydiaceae,-0.742884,-0.184006,5.031962
genus,Bacteroides,206,Bacteroidaceae,-0.79457,-0.161954,5.075506
genus,Phocaeicola,13,,-0.798762,-0.158022,5.077303
genus,Parabacteroides,49,Tannerellaceae,-0.7904,-0.166565,5.078112
genus,Sebaldella,1,Leptotrichiaceae,-0.724017,-0.196016,5.071527
genus,Butyrivibrio,47,Lachnospiraceae,-0.75558,-0.167488,5.019206
genus,Fibrobacter,38,Fibrobacteraceae,-0.774747,-0.155608,4.991161
genus,Porphyromonas,31,Porphyromonadaceae,-0.765901,-0.161776,5.029955
genus,Prevotella,156,Prevotellaceae,-0.789726,-0.153125,5.047615
genus,Wolinella,1,Helicobacteraceae,-0.731441,-0.198165,5.060387
genus,Oxalobacter,1,Oxalobacteraceae,-0.743413,-0.151274,4.936552
genus,Fusobacterium,52,Fusobacteriaceae,-0.711271,-0.216666,5.122199
genus,Faecalibacterium,29,Oscillospiraceae,-0.744844,-0.153109,4.920534
genus,Syntrophomonas,3,Syntrophomonadaceae,-0.722589,-0.179006,4.998856
genus,Pectinatus,5,Selenomonadaceae,-0.719727,-0.192826,5.018029
genus,Ruminobacter,2,Succinivibrionaceae,-0.749669,-0.154145,4.990024
genus,Dichelobacter,1,Cardiobacteriaceae,-0.761622,-0.157313,4.999211
genus,Desulfocurvibacter,1,Desulfovibrionaceae,-0.730242,-0.152455,4.895853
genus,Desulfovibrio,61,Desulfovibrionaceae,-0.734486,-0.149571,4.874809
