study,name,Run,BioSample,sample,depth,month,"O2 (mg L-1)"
BCA+20,NA,,,,0.1,Apr,7.85
BCA+20,"Ursu Lake",SRR5861454,SAMN07409439,APR0-5,0.5,Apr,6
BCA+20,"Ursu Lake",SRR5861455,SAMN07409440,APR1,1,Apr,10.86
BCA+20,"Ursu Lake",SRR5861457,SAMN07409442,APR2,2,Apr,6.51
BCA+20,"Ursu Lake",SRR5861456,SAMN07409441,APR2-5,2.5,Apr,5.65
BCA+20,"Ursu Lake",SRR5861459,SAMN07409444,APR3,3,Apr,18.71
BCA+20,"Ursu Lake",SRR5861458,SAMN07409443,APR3-5,3.5,Apr,0.26
BCA+20,"Ursu Lake",SRR5861460,SAMN07409445,APR4,4,Apr,0.31
BCA+20,"Ursu Lake",SRR5861461,SAMN07409446,APR5,5,Apr,0.24
BCA+20,"Ursu Lake",SRR5861452,SAMN07409447,APR9,9,Apr,0.3
BCA+20,NA,,,,11,Apr,0.3
BCA+20,NA,,,,0.1,Feb,16.72
BCA+20,"Ursu Lake",SRR5861453,SAMN07409448,FEB0-5,0.5,Feb,23.05
BCA+20,"Ursu Lake",SRR5861432,SAMN07409449,FEB1,1,Feb,23.01
BCA+20,"Ursu Lake",SRR5861434,SAMN07409451,FEB2,2,Feb,7.84
BCA+20,"Ursu Lake",SRR5861433,SAMN07409450,FEB2-5,2.5,Feb,3.26
BCA+20,"Ursu Lake",SRR5861428,SAMN07409453,FEB3,3,Feb,1.28
BCA+20,"Ursu Lake",SRR5861435,SAMN07409452,FEB3-5,3.5,Feb,0.02
BCA+20,"Ursu Lake",SRR5861429,SAMN07409454,FEB4,4,Feb,0.02
BCA+20,"Ursu Lake",SRR5861430,SAMN07409455,FEB5,5,Feb,0.05
BCA+20,"Ursu Lake",SRR5861431,SAMN07409456,FEB9,9,Feb,0.1
BCA+20,NA,,,,11,Feb,0.1
BCA+20,NA,,,,0.1,Jul,7.44
BCA+20,"Ursu Lake",SRR5861426,SAMN07409457,JUL0-5,0.5,Jul,6.81
BCA+20,"Ursu Lake",SRR5861427,SAMN07409458,JUL1,1,Jul,6.65
BCA+20,"Ursu Lake",SRR5861442,SAMN07409460,JUL2,2,Jul,6.57
BCA+20,"Ursu Lake",SRR5861443,SAMN07409459,JUL2-5,2.5,Jul,3.89
BCA+20,"Ursu Lake",SRR5861444,SAMN07409462,JUL3,3,Jul,0.15
BCA+20,"Ursu Lake",SRR5861445,SAMN07409461,JUL3-5,3.5,Jul,0.08
BCA+20,"Ursu Lake",SRR5861447,SAMN07409463,JUL4,4,Jul,0.09
BCA+20,"Ursu Lake",SRR5861446,SAMN07409464,JUL5,5,Jul,0.09
BCA+20,"Ursu Lake",SRR5861449,SAMN07409465,JUL9,9,Jul,0.09
BCA+20,NA,,,,11,Jul,0.08
BCA+20,NA,,,,0.1,Nov,9.19
BCA+20,"Ursu Lake",SRR5861448,SAMN07409466,NOV0-5,0.5,Nov,5.63
BCA+20,"Ursu Lake",SRR5861440,SAMN07409467,NOV1,1,Nov,4.46
BCA+20,"Ursu Lake",SRR5861436,SAMN07409469,NOV2,2,Nov,1
BCA+20,"Ursu Lake",SRR5861439,SAMN07409468,NOV2-5,2.5,Nov,0.75
BCA+20,"Ursu Lake",SRR5861437,SAMN07409471,NOV3,3,Nov,0.5
BCA+20,"Ursu Lake",SRR5861441,SAMN07409470,NOV3-5,3.5,Nov,0.23
BCA+20,"Ursu Lake",SRR5861438,SAMN07409472,NOV4,4,Nov,0.07
BCA+20,"Ursu Lake",SRR5861450,SAMN07409473,NOV5,5,Nov,0.06
BCA+20,"Ursu Lake",SRR5861451,SAMN07409474,NOV9,9,Nov,0.1
BCA+20,NA,,,,11,Nov,0.08
