study,name,Run,BioSample,sample,type,year,alkalinity,conductivity,pH,temperature
CUN+18,"Pennsylvania Streams 2016",SRR6979557,SAMN08910391,G.2016.15,UOG+,2016,83,159.9,7.69,15.6
CUN+18,"Pennsylvania Streams 2016",SRR6979556,SAMN08910392,G.2016.16,UOG-,2016,32,122.3,6.82,13.9
CUN+18,"Pennsylvania Streams 2016",SRR6979555,SAMN08910393,G.2016.17,UOG_abandoned,2016,38.3,145.6,7.06,17
CUN+18,"Pennsylvania Streams 2016",SRR6979554,SAMN08910394,G.2016.18,UOG-,2016,0,24.2,3.91,15.7
CUN+18,"Pennsylvania Streams 2016",SRR6979561,SAMN08910395,G.2016.19,UOG-,2016,20,50.6,6.08,16.8
CUN+18,"Pennsylvania Streams 2016",SRR6979560,SAMN08910396,G.2016.20,UOG-,2016,53,103.6,6.79,17.7
CUN+18,"Pennsylvania Streams 2016",SRR6979559,SAMN08910397,G.2016.21,UOG+,2016,23.6,105.5,7.99,15.8
CUN+18,"Pennsylvania Streams 2016",SRR6979558,SAMN08910398,G.2016.22,UOG+,2016,24.6,73.2,8.06,15.1
CUN+18,"Pennsylvania Streams 2016",SRR6979563,SAMN08910399,G.2016.23,UOG+,2016,7.2,27.2,6.8,18
CUN+18,"Pennsylvania Streams 2016",SRR6979575,SAMN08910401,G.2016.25,UOG+,2016,7.5,33,7.55,13.6
CUN+18,"Pennsylvania Streams 2016",SRR6979577,SAMN08910403,G.2016.27,UOG+,2016,9,33.1,7.06,12.7
CUN+18,"Pennsylvania Streams 2016",SRR6979576,SAMN08910404,G.2016.28,UOG+,2016,12.4,38.4,7.9,14.9
CUN+18,"Pennsylvania Streams 2016",SRR6979579,SAMN08910405,G.2016.29,UOG+,2016,97.7,235.9,8.19,17.2
CUN+18,"Pennsylvania Streams 2016",SRR6979578,SAMN08910406,G.2016.30,UOG+,2016,32,108.8,7.97,17
CUN+18,"Pennsylvania Streams 2016",SRR6979581,SAMN08910407,G.2016.31,UOG+,2016,60,199.5,7.64,12.6
CUN+18,"Pennsylvania Streams 2016",SRR6979580,SAMN08910408,G.2016.32,UOG+,2016,83,317.6,7.84,18.4
CUN+18,"Pennsylvania Streams 2016",SRR6979583,SAMN08910409,G.2016.33,UOG+,2016,16.2,40.1,6.28,13.8
CUN+18,"Pennsylvania Streams 2016",SRR6979582,SAMN08910410,G.2016.34,UOG+,2016,15.1,39.8,6.25,12.9
CUN+18,"Pennsylvania Streams 2016",SRR6979568,SAMN08910411,G.2016.35,UOG+,2016,14.5,38,6.31,13.7
CUN+18,"Pennsylvania Streams 2016",SRR6979569,SAMN08910412,G.2016.36,UOG+,2016,14.2,37.1,6.28,12.8
CUN+18,"Pennsylvania Streams 2016",SRR6979570,SAMN08910413,G.2016.37,UOG-,2016,19.4,133.6,8.26,11.3
CUN+18,"Pennsylvania Streams 2016",SRR6979571,SAMN08910414,G.2016.38,UOG-,2016,10.7,49.9,7.95,17.9
CUN+18,"Pennsylvania Streams 2016",SRR6979564,SAMN08910415,G.2016.39,UOG-,2016,18.5,61.3,7.79,18.1
CUN+18,"Pennsylvania Streams 2016",SRR6979565,SAMN08910416,G.2016.40,UOG-,2016,190,104.6,7.76,18.6
CUN+18,"Pennsylvania Streams 2016",SRR6979566,SAMN08910417,G.2016.41,UOG-,2016,13.3,56.9,7.08,16.8
CUN+18,NA,SRR6979567,SAMN08910418,G.2016.42,UOG-,2016,20,72.1,7.49,19.5
CUN+18,"Pennsylvania Streams 2016",SRR6979572,SAMN08910419,G.2016.43,UOG-,2016,8,37.2,7.37,13.1
CUN+18,"Pennsylvania Streams 2016",SRR6979573,SAMN08910420,G.2016.44,UOG-,2016,15.4,58.9,7.09,10.6
CUN+18,NA,SRR6979584,SAMN08910421,G.2016.45,UOG-,2016,29,42.2,7.02,13.3
