study,name,Run,BioSample,sample,type,cohort,depth,salinity,temperature
HLA+16,"Baltic Sea",ERR215808,SAMEA1696215,S1,Marine,Summer,10,10.5,16.6
HLA+16,"Baltic Sea",ERR215813,SAMEA1696321,S10,Marine,Summer,60,9.4,5.1
HLA+16,"Baltic Sea",ERR215790,SAMEA1696353,S101,Mesohaline,Summer,20,6.5,7.2
HLA+16,"Baltic Sea",ERR215925,SAMEA1696319,S104,Mesohaline,Summer,17,6.2,6.8
HLA+16,"Baltic Sea",ERR215903,SAMEA1696218,S106,Mesohaline,Summer,55,7.5,3.8
HLA+16,"Baltic Sea",ERR215892,SAMEA1696323,S107,Mesohaline,Summer,10,5.9,14.6
HLA+16,"Baltic Sea",ERR215970,SAMEA1696269,S109,Mesohaline,Summer,40,7.2,3.9
HLA+16,"Baltic Sea",ERR215862,SAMEA1696199,S111,Mesohaline,Summer,10,5.6,15
HLA+16,"Baltic Sea",ERR215896,SAMEA1696196,S112,Mesohaline,Summer,20,6,12.4
HLA+16,"Baltic Sea",ERR215867,SAMEA1696188,S114,Mesohaline,Summer,60,7.7,3.8
HLA+16,"Baltic Sea",ERR215866,SAMEA1696270,S117,Mesohaline,Summer,40,6.5,3.3
HLA+16,"Baltic Sea",ERR215989,SAMEA1696327,S119,Mesohaline,Summer,10,5,15.6
HLA+16,"Baltic Sea",ERR215884,SAMEA1696228,S12,Mesohaline,Summer,10,7.7,15.1
HLA+16,"Baltic Sea",ERR215833,SAMEA1696376,S121,Mesohaline,Summer,60,7.7,3.9
HLA+16,"Baltic Sea",ERR215804,SAMEA1696194,S125,Mesohaline,Summer,60,7.4,3.7
HLA+16,"Baltic Sea",ERR215980,SAMEA1696346,S13,Marine,Summer,30,8,8
HLA+16,"Baltic Sea",ERR215814,SAMEA1696237,S132,Mesohaline,Summer,56,7.5,3.9
HLA+16,"Baltic Sea",ERR215888,SAMEA1696332,S14,Marine,Summer,40,12.1,7
HLA+16,"Baltic Sea",ERR215854,SAMEA1696336,S140,Mesohaline,Summer,20,5.7,12.2
HLA+16,"Baltic Sea",ERR215805,SAMEA1696299,S15,Mesohaline,Summer,10,7.6,15
HLA+16,"Baltic Sea",ERR215986,SAMEA1696246,S16,Marine,Summer,40,8.4,6.7
HLA+16,"Baltic Sea",ERR215995,SAMEA1696214,S17,Marine,Summer,50,10.5,6.1
HLA+16,"Baltic Sea",ERR215969,SAMEA1696255,S173,Mesohaline,Summer,60,7.6,4.7
HLA+16,"Baltic Sea",ERR215901,SAMEA1696337,S182,Marine,Summer,49,8.7,5.2
HLA+16,"Baltic Sea",ERR215818,SAMEA1696388,S184,Marine,Summer,30,12.1,13.7
HLA+16,"Baltic Sea",ERR215841,SAMEA1696232,S186,Marine,Summer,1,13.3,17.9
HLA+16,"Baltic Sea",ERR215871,SAMEA1696250,S187,Marine,Summer,10,13.9,17.7
HLA+16,"Baltic Sea",ERR215858,SAMEA1696286,S19,Mesohaline,Summer,10,7.5,15.3
HLA+16,"Baltic Sea",ERR215887,SAMEA1696335,S190,Marine,Summer,15,27.2,10.7
HLA+16,"Baltic Sea",ERR215917,SAMEA1696192,S191,Marine,Summer,27,30.7,8.2
HLA+16,"Baltic Sea",ERR215829,SAMEA1696279,S193,Marine,Summer,14,29.9,9.5
HLA+16,"Baltic Sea",ERR215845,SAMEA1696190,S194,Marine,Summer,24,30.6,8.8
HLA+16,"Baltic Sea",ERR215907,SAMEA1696382,S196,Marine,Summer,16,29,11.2
HLA+16,"Baltic Sea",ERR215991,SAMEA1696285,S197,Marine,Summer,20,30.8,9.5
HLA+16,"Baltic Sea",ERR215860,SAMEA1696245,S199,Marine,Summer,1,17.4,19.4
HLA+16,"Baltic Sea",ERR215807,SAMEA1696378,S2,Marine,Summer,20,17,13.3
HLA+16,"Baltic Sea",ERR215842,SAMEA1696261,S20,Mesohaline,Summer,40,7.7,5.2
HLA+16,"Baltic Sea",ERR215848,SAMEA1696302,S200,Marine,Summer,10,23.3,15.9
HLA+16,"Baltic Sea",ERR215982,SAMEA1696359,S201,Marine,Summer,20,28.6,14.6
HLA+16,"Baltic Sea",ERR215978,SAMEA1696189,S203,Marine,Summer,1,20.4,17.2
HLA+16,"Baltic Sea",ERR215859,SAMEA1696361,S204,Marine,Summer,5.5,21.5,16.7
HLA+16,"Baltic Sea",ERR215912,SAMEA1696206,S205,Marine,Summer,10,26.9,14.5
HLA+16,"Baltic Sea",ERR215923,SAMEA1696360,S206,Marine,Summer,13,26.6,14.6
HLA+16,"Baltic Sea",ERR215885,SAMEA1696369,S207,Marine,Summer,1,19.2,18.2
HLA+16,"Baltic Sea",ERR215846,SAMEA1696315,S209,Marine,Summer,20,30.1,14.2
HLA+16,"Baltic Sea",ERR215826,SAMEA1696276,S21,Marine,Summer,60,11.2,5.7
HLA+16,"Baltic Sea",ERR215868,SAMEA1696201,S210,Marine,Summer,41,33.8,7.4
HLA+16,"Baltic Sea",ERR215922,SAMEA1696385,S211,Marine,Summer,1,23.8,17.4
HLA+16,"Baltic Sea",ERR215794,SAMEA1696379,S213,Marine,Summer,20,30.9,13.7
HLA+16,"Baltic Sea",ERR215864,SAMEA1696374,S214,Marine,Summer,40,33,9.8
HLA+16,"Baltic Sea",ERR215924,SAMEA1696236,S215,Marine,Summer,66,34.1,7.6
HLA+16,"Baltic Sea",ERR215957,SAMEA1696290,S216,Marine,Summer,1,26.9,17
HLA+16,"Baltic Sea",ERR215825,SAMEA1696187,S218,Marine,Summer,20,31,14.8
HLA+16,"Baltic Sea",ERR215983,SAMEA1696264,S219,Marine,Summer,25,31.9,14.4
HLA+16,"Baltic Sea",ERR215963,SAMEA1696263,S220,Marine,Summer,34,32.5,14.3
HLA+16,"Baltic Sea",ERR215797,SAMEA1696342,S221,Marine,Summer,1,30.6,16.6
HLA+16,"Baltic Sea",ERR215893,SAMEA1696200,S222,Marine,Summer,20,33.5,10.2
HLA+16,"Baltic Sea",ERR215915,SAMEA1696205,S223,Marine,Summer,60,35.2,7.6
HLA+16,"Baltic Sea",ERR215929,SAMEA1696381,S224,Marine,Summer,100,35.2,7.6
HLA+16,"Baltic Sea",ERR215803,SAMEA1696283,S225,Marine,Summer,179,35.2,7.1
HLA+16,"Baltic Sea",ERR215913,SAMEA1696242,S226,Marine,Summer,1,30.9,16.9
HLA+16,"Baltic Sea",ERR215914,SAMEA1696252,S227,Marine,Summer,20,33.8,9.8
HLA+16,"Baltic Sea",ERR215926,SAMEA1696186,S24,Mesohaline,Summer,40,7.5,4.8
HLA+16,"Baltic Sea",ERR215981,SAMEA1696311,S25,Marine,Summer,60,8.3,4.8
HLA+16,"Baltic Sea",ERR215952,SAMEA1696301,S26,Marine,Summer,70,11.3,5.9
HLA+16,"Baltic Sea",ERR215839,SAMEA1696370,S27,Mesohaline,Summer,10,7.2,15.3
HLA+16,"Baltic Sea",ERR215962,SAMEA1696267,S28,Mesohaline,Summer,40,7.5,4.8
HLA+16,"Baltic Sea",ERR215837,SAMEA1696211,S29,Marine,Summer,70,8.4,4.7
HLA+16,"Baltic Sea",ERR215905,SAMEA1696340,S3,Mesohaline,Summer,10,7.7,15.5
HLA+16,"Baltic Sea",ERR215949,SAMEA1696358,S31,Mesohaline,Summer,10,7.4,14.7
HLA+16,"Baltic Sea",ERR215984,SAMEA1696219,S32,Mesohaline,Summer,40,7.4,4.6
HLA+16,"Baltic Sea",ERR215834,SAMEA1696364,S36,Mesohaline,Summer,40,7.4,4.4
HLA+16,"Baltic Sea",ERR215927,SAMEA1696212,S37,Marine,Summer,75,8.6,4.9
HLA+16,"Baltic Sea",ERR215878,SAMEA1696349,S38,Marine,Summer,110,11.5,6.1
HLA+16,"Baltic Sea",ERR215908,SAMEA1696238,S39,Mesohaline,Summer,10,7.3,14.8
HLA+16,"Baltic Sea",ERR215965,SAMEA1696309,S4,Marine,Summer,30,11.1,13.1
HLA+16,"Baltic Sea",ERR215940,SAMEA1696271,S40,Marine,Summer,70,8.8,4.9
HLA+16,"Baltic Sea",ERR215809,SAMEA1696240,S45,Mesohaline,Summer,20,7.1,6.2
HLA+16,"Baltic Sea",ERR215997,SAMEA1696247,S50,Mesohaline,Summer,48,7.4,4.3
HLA+16,"Baltic Sea",ERR215895,SAMEA1696357,S51,Marine,Summer,70,8.1,4.4
HLA+16,"Baltic Sea",ERR215889,SAMEA1696339,S58,Mesohaline,Summer,10,6.2,14.5
HLA+16,"Baltic Sea",ERR215988,SAMEA1696345,S59,Marine,Summer,70,8.5,4.7
HLA+16,"Baltic Sea",ERR215919,SAMEA1696274,S66,Mesohaline,Summer,10,5,13
HLA+16,"Baltic Sea",ERR215879,SAMEA1696328,S67,Mesohaline,Summer,2,4.9,13.5
HLA+16,"Baltic Sea",ERR215824,SAMEA1696193,S68,Mesohaline,Summer,20,5.8,5.3
HLA+16,"Baltic Sea",ERR215832,SAMEA1696222,S69,Mesohaline,Summer,80,6.6,3.3
HLA+16,"Baltic Sea",ERR215822,SAMEA1696318,S7,Marine,Summer,50,8.5,5
HLA+16,"Baltic Sea",ERR215894,SAMEA1696226,S70,Mesohaline,Summer,250,7,4.2
HLA+16,"Baltic Sea",ERR215918,SAMEA1696243,S71,Mesohaline,Summer,2,5.3,12.2
HLA+16,"Baltic Sea",ERR215853,SAMEA1696362,S72,Mesohaline,Summer,10,5.3,11.3
HLA+16,"Baltic Sea",ERR215941,SAMEA1696260,S73,Mesohaline,Summer,80,5.9,2.8
HLA+16,"Baltic Sea",ERR215954,SAMEA1696183,S75,Mesohaline,Summer,2,5.3,12.2
HLA+16,"Baltic Sea",ERR215944,SAMEA1696303,S79,Oligohaline,Summer,2,2.6,12.2
HLA+16,"Baltic Sea",ERR215830,SAMEA1696292,S8,Marine,Summer,70,14.7,6.7
HLA+16,"Baltic Sea",ERR215877,SAMEA1696235,S80,Oligohaline,Summer,7.5,2.7,12.7
HLA+16,"Baltic Sea",ERR215897,SAMEA1696216,S84,Oligohaline,Summer,10,2.8,9.1
HLA+16,"Baltic Sea",ERR215945,SAMEA1696249,S87,Oligohaline,Summer,2,3.2,12.6
HLA+16,"Baltic Sea",ERR215863,SAMEA1696343,S88,Oligohaline,Summer,10,3.5,11.6
HLA+16,"Baltic Sea",ERR215869,SAMEA1696352,S9,Mesohaline,Summer,10,7.5,15
HLA+16,"Baltic Sea",ERR215793,SAMEA1696312,S90,Mesohaline,Summer,30,4.7,5.1
HLA+16,"Baltic Sea",ERR215933,SAMEA1696356,S91,Mesohaline,Summer,2,4.9,13.3
HLA+16,"Baltic Sea",ERR215936,SAMEA1696344,S92,Mesohaline,Summer,20,5.1,8.7
HLA+16,"Baltic Sea",ERR215906,SAMEA1696223,S93,Mesohaline,Summer,40,5.4,2.6
HLA+16,"Baltic Sea",ERR215960,SAMEA1696334,S94,Mesohaline,Summer,105,6.1,3.6
HLA+16,"Baltic Sea",ERR215975,SAMEA1696333,S96,Mesohaline,Summer,10,4.8,12.2
