seed,1,2,3,4,5,6,7,8
1,1.49,2.588,-0.137,0.235,-0.412,0.157,0.275,-0.098
2,1.098,1.804,-0.078,0.235,-0.294,0.176,0.275,-0.02
3,1.49,2.588,-0.137,0.255,-0.294,0.275,0.373,-0.02
4,0.922,1.804,-0.294,-0.039,-0.412,-0.098,-0.02,-0.235
5,1.294,2.157,0.039,0.294,-0.196,0.216,0.314,0.039
6,1.255,2.294,-0.275,0.039,-0.706,-0.137,0,-0.353
7,1.863,3,0.118,0.529,-0.235,0.451,0.588,0.157
8,1.176,2.118,-0.373,0,-0.706,-0.078,0.039,-0.353
9,1.412,2.451,-0.275,0.078,-0.667,-0.059,0.078,-0.294
10,1.392,2.51,-0.255,0.078,-0.667,-0.098,0.039,-0.314
11,1.216,2.294,-0.314,0.078,-0.431,0.059,0.157,-0.176
12,1.098,2,-0.275,0.078,-0.549,0.039,0.157,-0.196
13,1.588,2.686,0.02,0.373,-0.353,0.294,0.431,0.039
14,1.647,2.824,0.039,0.412,-0.157,0.392,0.49,0.137
15,1.294,2.275,-0.275,0.039,-0.745,-0.137,0.02,-0.353
16,1.137,2.098,-0.49,-0.196,-1.216,-0.451,-0.255,-0.706
17,1.02,2.039,-0.431,-0.157,-0.725,-0.216,-0.118,-0.451
18,1.353,2.176,-0.039,0.314,-0.157,0.275,0.373,0.059
19,0.941,1.667,-0.294,0.098,-0.137,0.333,0.353,0.02
20,1.392,2.412,-0.137,0.235,-0.471,0.157,0.275,-0.118
