seed,1,2,3,4,5,6,7,8
1,1.49,2.588,-0.137,0.235,-0.412,0.157,0.275,-0.098
2,1.098,1.804,-0.078,0.235,-0.294,0.176,0.275,-0.02
3,1.49,2.588,-0.137,0.255,-0.294,0.275,0.373,-0.02
4,0.922,1.804,-0.294,-0.039,-0.412,-0.098,-0.02,-0.235
5,1.294,2.157,0.039,0.294,-0.196,0.216,0.314,0.039
6,1.255,2.294,-0.275,0.039,-0.706,-0.137,0,-0.353
7,1.863,3,0.118,0.529,-0.255,0.451,0.588,0.157
8,1.176,2.118,-0.373,0,-0.706,-0.078,0.039,-0.353
9,1.412,2.451,-0.275,0.078,-0.667,-0.059,0.078,-0.294
10,1.392,2.51,-0.255,0.078,-0.667,-0.098,0.039,-0.314
