seed,1,2,3,4,5,6,7,8
1,-70.373,-70.255,-70.275,-69.765,-69.02,-69.137,-69.255,-69.255
2,-71,-70.961,-70.765,-70.176,-69.235,-69.412,-69.569,-69.549
3,-70.725,-70.647,-70.49,-70.039,-69.255,-69.392,-69.529,-69.51
4,-70.667,-70.569,-70.529,-69.843,-68.706,-68.843,-69.059,-69.059
5,-69.902,-70,-69.706,-69.51,-69.02,-69.118,-69.216,-69.196
6,-70.784,-70.725,-70.608,-70.059,-69.118,-69.275,-69.431,-69.431
7,-70.902,-70.843,-70.667,-70.039,-69.02,-69.196,-69.373,-69.333
8,-69.686,-69.686,-69.549,-69.235,-68.255,-68.49,-68.686,-68.667
9,-70.765,-70.608,-70.667,-70.098,-69.235,-69.392,-69.549,-69.51
10,-70.353,-70.137,-70.275,-69.667,-68.451,-68.686,-68.902,-68.882
11,-69.863,-69.98,-69.627,-69.412,-68.804,-68.941,-69.059,-69.02
12,-70.863,-70.725,-70.647,-69.863,-68.412,-68.627,-68.902,-68.902
13,-70.745,-70.529,-70.686,-70,-69,-69.137,-69.314,-69.314
14,-72,-71.882,-72,-72,-71.765,-71.706,-71.745,-71.824
15,-70.49,-70.176,-70.569,-69.843,-68.686,-68.843,-69.039,-69.059
16,-70.667,-70.549,-70.549,-69.882,-68.725,-68.922,-69.118,-69.118
17,-70.627,-70.51,-70.471,-69.784,-68.471,-68.667,-68.922,-68.922
18,-70.137,-69.882,-70.176,-69.529,-68.471,-68.608,-68.804,-68.824
19,-70.824,-70.706,-70.667,-69.98,-68.608,-68.824,-69.078,-69.078
20,-70.569,-70.549,-70.373,-69.902,-69.118,-69.275,-69.412,-69.373
21,-70.784,-70.706,-70.627,-70.059,-69.118,-69.255,-69.412,-69.412
22,-71.137,-71.137,-70.922,-70.412,-69.529,-69.686,-69.843,-69.804
23,-70.529,-70.373,-70.451,-69.765,-68.765,-68.922,-69.098,-69.078
24,-69.706,-69.706,-69.549,-69.294,-68.667,-68.824,-68.941,-68.902
25,-69.98,-69.784,-70.039,-69.569,-68.961,-69.059,-69.157,-69.157
26,-70.137,-70.333,-69.824,-69.686,-69.118,-69.314,-69.412,-69.353
27,-71.176,-71.176,-70.941,-70.549,-69.667,-69.863,-70.039,-69.98
28,-70.529,-70.392,-70.412,-69.725,-68.529,-68.725,-68.941,-68.941
