seed,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
1,1.953,2.024,1.953,1.906,2.024,2.024,2.071,0.447,0.871,0.776,0.776,0.565,1.247,1.294,1.294,1.859,2.047
2,1.6,1.576,1.553,1.506,1.506,1.459,1.506,-0.212,0.565,0.424,0.376,0.071,1.012,0.894,0.847,1.506,1.506
3,1.2,1.2,1.176,1.153,1.176,1.153,1.176,-0.659,0.141,0,-0.047,-0.376,0.588,0.518,0.494,1.106,1.176
4,1.247,1.247,1.224,1.176,1.2,1.176,1.224,-0.4,0.329,0.212,0.165,-0.118,0.729,0.635,0.612,1.153,1.2
5,1.624,1.647,1.6,1.576,1.624,1.6,1.624,0.4,0.824,0.729,0.729,0.518,1.129,1.106,1.082,1.553,1.624
6,1.247,1.247,1.224,1.176,1.247,1.224,1.247,-0.047,0.353,0.259,0.259,0.071,0.682,0.682,0.682,1.153,1.247
7,1.576,1.553,1.529,1.482,1.482,1.435,1.482,-0.212,0.494,0.353,0.329,0.024,0.941,0.824,0.8,1.459,1.482
8,1.624,1.6,1.6,1.576,1.553,1.529,1.553,0.329,0.894,0.8,0.753,0.541,1.2,1.106,1.082,1.553,1.576
9,2.259,2.235,2.188,2.141,2.188,2.141,2.188,0.4,0.988,0.871,0.847,0.588,1.459,1.365,1.341,2.094,2.188
10,1.482,1.506,1.435,1.412,1.482,1.459,1.506,-0.518,0.235,0.071,0.071,-0.259,0.729,0.682,0.682,1.365,1.506
11,2.894,2.894,2.871,2.847,2.847,2.824,2.847,1.482,2.118,2,1.976,1.718,2.447,2.353,2.329,2.824,2.871
12,2.494,2.471,2.447,2.4,2.424,2.4,2.424,0.871,1.553,1.435,1.388,1.106,1.953,1.859,1.812,2.4,2.424
13,1.953,1.953,1.929,1.906,1.953,1.929,1.953,0.541,1.106,1.012,0.988,0.753,1.459,1.412,1.388,1.859,1.953
14,1.435,1.412,1.388,1.365,1.365,1.341,1.365,-0.471,0.376,0.235,0.188,-0.165,0.847,0.729,0.706,1.318,1.365
15,2.424,2.424,2.4,2.353,2.353,2.329,2.353,0.682,1.412,1.271,1.224,0.941,1.835,1.694,1.671,2.329,2.353
16,1.576,1.6,1.553,1.529,1.576,1.576,1.6,0.282,0.729,0.635,0.635,0.424,1.059,1.035,1.035,1.506,1.6
17,1.6,1.576,1.553,1.529,1.529,1.506,1.553,-0.118,0.659,0.518,0.471,0.188,1.059,0.965,0.918,1.506,1.553
18,1.153,1.176,1.129,1.106,1.153,1.153,1.176,-0.071,0.329,0.235,0.235,0.047,0.635,0.635,0.612,1.082,1.176
19,2.188,2.165,2.165,2.118,2.141,2.118,2.141,0.824,1.459,1.341,1.318,1.059,1.765,1.671,1.647,2.118,2.141
20,1.647,1.671,1.624,1.576,1.671,1.647,1.671,-0.212,0.471,0.329,0.329,0.024,0.941,0.918,0.918,1.529,1.671
21,1.741,1.788,1.718,1.694,1.812,1.788,1.835,0.329,0.824,0.729,0.729,0.494,1.176,1.224,1.2,1.671,1.812
22,1.318,1.318,1.294,1.247,1.271,1.247,1.294,-0.706,0.188,0.024,0,-0.376,0.682,0.612,0.588,1.224,1.294
23,2.188,2.188,2.165,2.118,2.141,2.118,2.141,0.776,1.365,1.271,1.224,0.988,1.694,1.624,1.624,2.094,2.141
24,2.141,2.141,2.094,2.071,2.094,2.071,2.094,0.8,1.318,1.2,1.176,0.965,1.647,1.576,1.553,2.047,2.094
25,1.812,1.835,1.788,1.765,1.812,1.812,1.835,0.659,1.035,0.941,0.941,0.776,1.318,1.318,1.294,1.741,1.812
26,2.306,2.282,2.259,2.235,2.212,2.188,2.212,0.824,1.506,1.388,1.341,1.082,1.835,1.718,1.694,2.212,2.212
27,1.929,1.953,1.906,1.859,1.906,1.882,1.929,0.353,0.894,0.776,0.753,0.518,1.318,1.247,1.247,1.835,1.906
28,1.929,1.953,1.906,1.859,1.929,1.906,1.953,-0.024,0.753,0.612,0.588,0.235,1.247,1.176,1.176,1.835,1.929
29,1.976,2.024,1.953,1.906,2,1.976,2.024,-0.118,0.659,0.494,0.494,0.141,1.176,1.153,1.129,1.859,2
30,2.306,2.259,2.259,2.212,2.165,2.118,2.141,0.729,1.482,1.365,1.294,1.012,1.859,1.671,1.624,2.212,2.165
31,2.118,2.094,2.071,2.024,2.024,2,2.024,-0.071,0.871,0.706,0.635,0.259,1.412,1.247,1.224,1.976,2.047
32,1.694,1.741,1.671,1.624,1.741,1.718,1.765,-0.235,0.424,0.282,0.282,-0.024,0.918,0.918,0.894,1.576,1.741
