seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.902,-0.392,-0.373,0.078,-0.216,-0.49,-0.608,-0.216,-0.216,0.078,-0.176,-0.941,-1.157,-1.078,-1.922,-0.176
2,1.039,0,0.137,0.549,0.294,0.098,-0.059,0.275,0.118,0.451,-0.078,-0.471,-0.549,-0.294,-0.922,0.294
3,0.275,-0.647,-0.647,-0.333,-0.529,-0.706,-0.784,-0.529,-0.529,-0.333,-0.471,-0.98,-1.098,-1.039,-1.451,-0.51
4,0.902,-0.216,-0.039,0.353,0.098,-0.059,-0.235,0.078,-0.098,0.235,-0.255,-0.667,-0.706,-0.314,-0.882,0.098
5,0.863,-0.353,-0.255,0.176,-0.098,-0.314,-0.471,-0.118,-0.216,0.118,-0.216,-0.902,-1.039,-0.745,-1.569,-0.078
6,0.706,-0.255,-0.118,0.235,0,-0.157,-0.314,0,-0.118,0.157,-0.255,-0.706,-0.804,-0.49,-1.137,0.02
7,1.098,-0.157,-0.039,0.431,0.137,-0.118,-0.275,0.118,0,0.353,-0.176,-0.725,-0.882,-0.627,-1.49,0.157
8,0.882,-0.353,-0.216,0.235,-0.039,-0.275,-0.451,-0.059,-0.196,0.157,-0.353,-0.922,-1.078,-0.745,-1.627,-0.039
9,0.667,-0.471,-0.392,0.039,-0.235,-0.471,-0.627,-0.255,-0.314,0,-0.353,-1.039,-1.216,-1,-1.902,-0.216
10,0.941,-0.078,0,0.333,0.098,-0.059,-0.157,0.098,0.039,0.294,-0.059,-0.451,-0.529,-0.373,-0.804,0.118
11,0.824,-0.314,-0.157,0.255,0,-0.176,-0.353,-0.02,-0.176,0.137,-0.353,-0.765,-0.824,-0.51,-1.098,0
12,1.078,-0.039,0.059,0.451,0.196,0,-0.118,0.176,0.098,0.392,-0.039,-0.49,-0.588,-0.373,-0.941,0.216
13,1.039,-0.059,0.118,0.529,0.275,0.098,-0.078,0.255,0.078,0.412,-0.157,-0.529,-0.608,-0.275,-1,0.275
14,0.765,-0.059,0.02,0.314,0.118,-0.02,-0.137,0.118,0.039,0.275,-0.059,-0.451,-0.529,-0.314,-0.824,0.137
15,0.686,-0.314,-0.275,0.059,-0.157,-0.333,-0.431,-0.157,-0.196,0.039,-0.275,-0.706,-0.824,-0.706,-1.216,-0.137
16,0.412,-0.529,-0.353,0,-0.216,-0.353,-0.529,-0.235,-0.412,-0.118,-0.627,-0.98,-1.039,-0.627,-1.275,-0.216
17,1.373,0.294,0.431,0.824,0.569,0.392,0.235,0.569,0.431,0.725,0.333,-0.176,-0.294,0.02,-0.725,0.588
18,0.922,-0.294,-0.275,0.118,-0.137,-0.353,-0.451,-0.157,-0.157,0.118,-0.118,-0.745,-0.882,-0.765,-1.275,-0.118
19,0.824,-0.255,-0.176,0.137,-0.078,-0.235,-0.333,-0.078,-0.157,0.118,-0.235,-0.627,-0.686,-0.51,-0.922,-0.059
20,1.02,-0.02,0.059,0.412,0.196,0.02,-0.098,0.176,0.098,0.373,0,-0.451,-0.529,-0.275,-0.784,0.196
21,0.804,-0.294,-0.196,0.196,-0.059,-0.275,-0.392,-0.059,-0.157,0.157,-0.314,-0.784,-0.922,-0.706,-1.431,-0.039
22,1.118,0.098,0.216,0.529,0.333,0.196,0.059,0.314,0.216,0.471,0.098,-0.275,-0.333,-0.059,-0.529,0.333
23,0.569,-0.275,-0.137,0.176,-0.02,-0.176,-0.314,-0.039,-0.176,0.098,-0.373,-0.706,-0.765,-0.49,-1.098,-0.02
24,1,-0.196,-0.059,0.373,0.098,-0.118,-0.275,0.078,-0.039,0.294,-0.176,-0.706,-0.824,-0.569,-1.275,0.098
25,0.686,-0.353,-0.216,0.137,-0.098,-0.255,-0.392,-0.098,-0.235,0.059,-0.431,-0.784,-0.863,-0.608,-1.216,-0.078
26,0.647,-0.373,-0.216,0.216,-0.059,-0.275,-0.451,-0.078,-0.235,0.098,-0.353,-0.882,-1.02,-0.725,-1.549,-0.059
27,0.608,-0.157,-0.059,0.216,0.039,-0.078,-0.176,0.039,-0.078,0.137,-0.216,-0.471,-0.51,-0.275,-0.667,0.039
