seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,-0.039,-0.549,-0.431,-0.235,-0.353,-0.431,-0.51,-0.353,-0.49,-0.314,-0.745,-0.765,-0.765,-0.569,-0.882,-0.353
2,0.157,-0.412,-0.176,0.059,-0.078,-0.157,-0.314,-0.098,-0.353,-0.098,-0.725,-0.686,-0.686,-0.314,-0.765,-0.098
3,0.02,-0.49,-0.392,-0.196,-0.314,-0.392,-0.49,-0.333,-0.431,-0.275,-0.647,-0.725,-0.745,-0.549,-0.863,-0.314
4,0.078,-0.431,-0.275,-0.059,-0.196,-0.275,-0.392,-0.196,-0.373,-0.176,-0.647,-0.706,-0.725,-0.451,-0.902,-0.196
5,0.157,-0.294,-0.059,0.137,0.02,-0.02,-0.176,0,-0.255,-0.039,-0.627,-0.529,-0.49,-0.059,-0.431,0
6,0.078,-0.529,-0.333,-0.078,-0.235,-0.333,-0.471,-0.255,-0.451,-0.216,-0.725,-0.804,-0.843,-0.529,-1.039,-0.255
7,-0.039,-0.627,-0.51,-0.255,-0.412,-0.51,-0.627,-0.431,-0.549,-0.353,-0.765,-0.902,-0.941,-0.745,-1.196,-0.412
8,0.078,-0.471,-0.392,-0.176,-0.314,-0.412,-0.51,-0.333,-0.412,-0.235,-0.608,-0.725,-0.765,-0.647,-1.02,-0.314
9,-0.137,-0.667,-0.529,-0.314,-0.431,-0.529,-0.627,-0.451,-0.608,-0.412,-0.843,-0.902,-0.922,-0.667,-1.039,-0.451
10,0.118,-0.49,-0.333,-0.078,-0.235,-0.333,-0.471,-0.255,-0.412,-0.196,-0.706,-0.784,-0.804,-0.549,-1.039,-0.255
