seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1.49,0.745,0.765,1.02,0.863,0.725,0.647,0.863,0.843,1.02,0.902,0.471,0.373,0.451,0.02,0.882
2,1.039,0.549,0.843,1.098,0.941,0.882,0.667,0.902,0.608,0.882,0.098,0.216,0.255,0.725,0.118,0.902
3,0.686,0.059,0.294,0.569,0.392,0.294,0.118,0.373,0.157,0.412,-0.235,-0.275,-0.294,0.078,-0.51,0.373
4,0.804,0.294,0.49,0.706,0.588,0.51,0.353,0.569,0.353,0.569,-0.059,0,0,0.333,-0.137,0.569
5,1.235,0.765,0.882,1.078,0.961,0.882,0.784,0.941,0.824,1,0.667,0.549,0.51,0.725,0.353,0.961
6,0.843,0.255,0.333,0.569,0.431,0.314,0.216,0.412,0.333,0.51,0.373,0,-0.078,0.098,-0.392,0.431
7,1,0.451,0.725,1,0.824,0.765,0.569,0.824,0.51,0.804,0.118,0.137,0.137,0.588,-0.02,0.804
8,1.216,0.882,1.078,1.255,1.157,1.118,0.98,1.137,0.902,1.118,0.49,0.667,0.706,1.02,0.627,1.137
9,1.569,0.941,1.196,1.471,1.294,1.216,1.039,1.294,1,1.275,0.745,0.647,0.647,1.078,0.529,1.275
10,0.902,0.137,0.275,0.588,0.392,0.275,0.137,0.392,0.216,0.471,0,-0.216,-0.275,0,-0.549,0.392
