seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,-67.827,-67.553,-67.141,-67.141,-67.114,-67.031,-67.169,-67.141,-67.58,-67.416,-68.678,-67.553,-67.333,-66.812,-66.922,-67.169
2,-68.129,-67.937,-67.498,-67.471,-67.471,-67.361,-67.553,-67.498,-67.965,-67.773,-68.98,-67.965,-67.773,-67.196,-67.333,-67.525
3,-68.02,-67.718,-67.306,-67.306,-67.278,-67.169,-67.333,-67.306,-67.745,-67.58,-68.816,-67.718,-67.498,-66.949,-67.031,-67.333
4,-67.965,-67.69,-67.333,-67.306,-67.306,-67.196,-67.361,-67.306,-67.745,-67.58,-68.733,-67.718,-67.525,-67.031,-67.114,-67.361
5,-67.635,-67.224,-66.51,-66.482,-66.455,-66.263,-66.592,-66.51,-67.278,-67.004,-68.706,-67.278,-66.922,-65.851,-66.153,-66.565
6,-67.69,-67.224,-66.51,-66.51,-66.482,-66.29,-66.592,-66.537,-67.278,-67.004,-68.706,-67.224,-66.867,-65.878,-66.043,-66.592
7,-68.404,-68.129,-67.773,-67.773,-67.745,-67.663,-67.8,-67.773,-68.184,-68.02,-69.145,-68.129,-67.937,-67.471,-67.525,-67.827
8,-67.827,-67.498,-67.114,-67.141,-67.086,-66.976,-67.141,-67.114,-67.553,-67.388,-68.624,-67.498,-67.251,-66.757,-66.784,-67.169
9,-68.404,-68.184,-67.827,-67.827,-67.8,-67.718,-67.855,-67.827,-68.212,-68.047,-69.063,-68.184,-68.02,-67.525,-67.635,-67.855
10,-68.239,-68.047,-67.718,-67.69,-67.69,-67.608,-67.745,-67.718,-68.075,-67.937,-68.953,-68.075,-67.882,-67.443,-67.525,-67.745
11,-67.965,-67.69,-67.278,-67.306,-67.278,-67.169,-67.333,-67.278,-67.718,-67.553,-68.733,-67.69,-67.471,-66.949,-67.059,-67.333
12,-67.91,-67.663,-67.306,-67.306,-67.278,-67.196,-67.333,-67.306,-67.69,-67.553,-68.651,-67.663,-67.471,-67.004,-67.114,-67.333
13,-67.965,-67.663,-67.251,-67.251,-67.224,-67.114,-67.278,-67.251,-67.69,-67.525,-68.788,-67.663,-67.443,-66.922,-67.004,-67.306
14,-68.102,-67.882,-67.498,-67.471,-67.443,-67.361,-67.525,-67.471,-67.91,-67.745,-68.898,-67.937,-67.718,-67.169,-67.306,-67.525
15,-67.498,-67.114,-66.345,-66.29,-66.263,-66.071,-66.427,-66.318,-67.169,-66.839,-68.624,-67.169,-66.812,-65.659,-65.988,-66.4
16,-68.322,-68.102,-67.773,-67.773,-67.745,-67.663,-67.8,-67.773,-68.129,-67.992,-69.008,-68.129,-67.965,-67.498,-67.608,-67.8
17,-68.184,-67.937,-67.525,-67.498,-67.498,-67.388,-67.58,-67.525,-67.965,-67.8,-68.953,-67.937,-67.745,-67.196,-67.333,-67.553
18,-68.212,-67.992,-67.69,-67.663,-67.663,-67.58,-67.718,-67.69,-68.02,-67.882,-68.843,-67.992,-67.827,-67.416,-67.498,-67.718
19,-67.937,-67.635,-67.224,-67.224,-67.196,-67.114,-67.251,-67.224,-67.663,-67.498,-68.733,-67.635,-67.416,-66.894,-66.976,-67.278
20,-67.443,-67.031,-66.29,-66.235,-66.235,-66.043,-66.373,-66.263,-67.086,-66.784,-68.596,-67.086,-66.729,-65.631,-65.961,-66.345
21,-67.718,-67.416,-67.059,-67.059,-67.031,-66.949,-67.086,-67.059,-67.471,-67.306,-68.514,-67.443,-67.224,-66.729,-66.812,-67.086
22,-68.184,-67.965,-67.635,-67.635,-67.635,-67.553,-67.663,-67.635,-67.992,-67.855,-68.843,-67.992,-67.8,-67.361,-67.471,-67.663
23,-68.294,-68.075,-67.773,-67.773,-67.745,-67.663,-67.8,-67.773,-68.102,-67.992,-68.898,-68.102,-67.937,-67.498,-67.58,-67.8
24,-68.047,-67.827,-67.416,-67.416,-67.388,-67.306,-67.471,-67.416,-67.855,-67.69,-68.843,-67.855,-67.635,-67.114,-67.251,-67.471
25,-68.157,-67.937,-67.525,-67.498,-67.498,-67.416,-67.58,-67.525,-67.965,-67.8,-68.98,-67.992,-67.773,-67.196,-67.361,-67.553
26,-68.075,-67.827,-67.471,-67.443,-67.443,-67.361,-67.498,-67.471,-67.855,-67.718,-68.761,-67.855,-67.69,-67.169,-67.306,-67.498
27,-67.004,-66.29,-65.357,-65.384,-65.302,-65.055,-65.412,-65.357,-66.4,-66.043,-68.322,-66.263,-65.714,-65,-65,-65.467
28,-67.141,-66.592,-65.796,-65.796,-65.741,-65.522,-65.878,-65.796,-66.675,-66.373,-68.294,-66.62,-66.18,-65.027,-65.247,-65.878
29,-67.471,-67.004,-66.208,-66.18,-66.153,-65.961,-66.29,-66.208,-67.059,-66.757,-68.678,-67.031,-66.62,-65.522,-65.769,-66.29
