seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,-71.094,-70.792,-70.545,-70.573,-70.545,-70.463,-70.545,-70.573,-70.847,-70.765,-71.451,-70.765,-70.6,-70.271,-70.271,-70.6
2,-70.573,-70.463,-70.078,-70.024,-70.051,-69.969,-70.161,-70.078,-70.49,-70.298,-71.314,-70.545,-70.353,-69.804,-70.024,-70.106
3,-70.49,-70.463,-70.243,-70.216,-70.216,-70.188,-70.298,-70.243,-70.463,-70.353,-70.875,-70.49,-70.408,-70.106,-70.216,-70.271
4,-70.573,-70.49,-70.216,-70.188,-70.188,-70.133,-70.271,-70.216,-70.518,-70.38,-71.149,-70.545,-70.408,-70.024,-70.133,-70.243
5,-70.875,-70.765,-70.545,-70.518,-70.518,-70.463,-70.573,-70.545,-70.792,-70.682,-71.259,-70.765,-70.655,-70.325,-70.408,-70.545
6,-70.435,-70.078,-69.667,-69.694,-69.639,-69.529,-69.694,-69.667,-70.133,-69.996,-71.012,-70.051,-69.831,-69.255,-69.337,-69.722
7,-70.435,-70.353,-69.996,-69.941,-69.969,-69.886,-70.051,-69.969,-70.38,-70.188,-71.122,-70.408,-70.243,-69.722,-69.914,-70.024
8,-70.298,-70.243,-69.969,-69.914,-69.914,-69.859,-69.996,-69.941,-70.271,-70.106,-70.82,-70.298,-70.161,-69.722,-69.859,-69.969
9,-70.6,-70.463,-70.078,-70.024,-70.051,-69.969,-70.133,-70.051,-70.49,-70.298,-71.231,-70.49,-70.325,-69.776,-69.996,-70.106
10,-70.408,-70.133,-69.749,-69.749,-69.749,-69.639,-69.804,-69.749,-70.188,-70.024,-71.094,-70.133,-69.941,-69.42,-69.529,-69.804
11,-71.149,-70.957,-70.518,-70.49,-70.49,-70.38,-70.573,-70.518,-70.984,-70.792,-72,-71.012,-70.792,-70.161,-70.325,-70.545
12,-70.216,-70.161,-69.886,-69.831,-69.859,-69.804,-69.941,-69.859,-70.188,-70.051,-70.682,-70.243,-70.106,-69.667,-69.859,-69.886
13,-70.518,-70.435,-70.216,-70.216,-70.188,-70.133,-70.243,-70.216,-70.463,-70.353,-70.875,-70.463,-70.353,-70.024,-70.133,-70.243
14,-71.039,-70.957,-70.627,-70.6,-70.6,-70.545,-70.682,-70.627,-70.957,-70.82,-71.698,-71.012,-70.875,-70.435,-70.6,-70.655
15,-70.627,-70.38,-69.831,-69.776,-69.776,-69.639,-69.886,-69.804,-70.435,-70.161,-71.588,-70.463,-70.188,-69.365,-69.612,-69.859
16,-70.243,-69.886,-69.392,-69.42,-69.365,-69.227,-69.42,-69.392,-69.941,-69.749,-70.902,-69.859,-69.612,-68.898,-69.008,-69.447
17,-70.298,-70.188,-69.831,-69.804,-69.804,-69.694,-69.886,-69.831,-70.216,-70.051,-70.875,-70.271,-70.078,-69.475,-69.639,-69.859
18,-70.49,-70.243,-69.914,-69.914,-69.886,-69.804,-69.941,-69.914,-70.298,-70.161,-70.984,-70.243,-70.078,-69.584,-69.694,-69.941
19,-71.286,-71.122,-70.655,-70.627,-70.627,-70.518,-70.737,-70.655,-71.149,-70.929,-72,-71.176,-70.984,-70.298,-70.518,-70.682
20,-70.792,-70.573,-70.271,-70.271,-70.243,-70.161,-70.298,-70.271,-70.6,-70.49,-71.286,-70.573,-70.408,-69.996,-70.078,-70.298
21,-71.341,-71.067,-70.82,-70.847,-70.82,-70.737,-70.82,-70.82,-71.122,-71.039,-71.725,-71.039,-70.875,-70.518,-70.518,-70.875
22,-70.106,-69.914,-69.447,-69.447,-69.42,-69.31,-69.502,-69.447,-69.941,-69.749,-70.875,-69.941,-69.722,-69.063,-69.227,-69.502
23,-70.271,-70.161,-69.886,-69.859,-69.859,-69.776,-69.914,-69.859,-70.188,-70.051,-70.71,-70.216,-70.078,-69.612,-69.749,-69.914
24,-70.243,-70.024,-69.612,-69.612,-69.584,-69.475,-69.667,-69.612,-70.051,-69.886,-70.902,-70.051,-69.831,-69.255,-69.392,-69.667
25,-70.929,-70.71,-70.408,-70.435,-70.408,-70.325,-70.435,-70.408,-70.737,-70.627,-71.396,-70.71,-70.545,-70.133,-70.188,-70.463
26,-71.314,-71.286,-70.957,-70.902,-70.929,-70.875,-71.012,-70.929,-71.286,-71.122,-72,-71.341,-71.204,-70.737,-70.902,-70.957
27,-70.682,-70.518,-70.271,-70.243,-70.243,-70.161,-70.298,-70.243,-70.545,-70.435,-71.122,-70.545,-70.408,-70.024,-70.133,-70.271
28,-70.518,-70.435,-70.216,-70.188,-70.188,-70.133,-70.243,-70.216,-70.435,-70.353,-70.847,-70.463,-70.353,-70.024,-70.133,-70.216
29,-70.984,-70.765,-70.49,-70.49,-70.463,-70.38,-70.49,-70.49,-70.792,-70.682,-71.478,-70.765,-70.6,-70.216,-70.243,-70.518
30,-70.71,-70.682,-70.243,-70.161,-70.188,-70.106,-70.325,-70.216,-70.682,-70.463,-71.616,-70.792,-70.6,-69.941,-70.216,-70.243
31,-70.243,-70.216,-69.914,-69.859,-69.859,-69.804,-69.969,-69.886,-70.243,-70.078,-70.847,-70.298,-70.161,-69.667,-69.859,-69.914
32,-70.929,-70.6,-70.243,-70.271,-70.243,-70.133,-70.271,-70.271,-70.655,-70.518,-71.561,-70.6,-70.38,-69.941,-69.996,-70.298
33,-70.655,-70.38,-69.996,-69.996,-69.969,-69.859,-70.024,-69.996,-70.435,-70.271,-71.369,-70.408,-70.188,-69.612,-69.722,-70.024
34,-70.545,-70.216,-69.831,-69.859,-69.831,-69.694,-69.859,-69.831,-70.271,-70.106,-71.176,-70.188,-69.969,-69.475,-69.529,-69.886
35,-70.929,-70.682,-70.325,-70.325,-70.298,-70.216,-70.353,-70.325,-70.737,-70.573,-71.588,-70.71,-70.518,-69.996,-70.078,-70.353
36,-70.929,-70.765,-70.463,-70.435,-70.435,-70.353,-70.49,-70.435,-70.765,-70.655,-71.424,-70.765,-70.627,-70.216,-70.298,-70.49
37,-70.408,-70.161,-69.749,-69.749,-69.722,-69.612,-69.804,-69.749,-70.188,-70.024,-71.067,-70.188,-69.969,-69.365,-69.475,-69.804
