seed,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
1,-69.961,-70.149,-70.024,-70.055,-70.353,-70.416,-70.416,-70.635,-69.961,-70.039,-70.196,-70.322,-69.835,-70.29,-70.369,-70.008,-70.353
2,-69.929,-70.086,-69.992,-70.024,-70.275,-70.337,-70.337,-70.698,-70.008,-70.086,-70.227,-70.384,-69.882,-70.29,-70.353,-69.992,-70.275
3,-69.459,-69.678,-69.553,-69.584,-69.929,-69.992,-69.992,-70.369,-69.584,-69.678,-69.851,-70.008,-69.412,-69.929,-70.008,-69.537,-69.929
4,-69.929,-70.118,-69.992,-70.024,-70.322,-70.384,-70.384,-70.651,-69.929,-70.024,-70.165,-70.322,-69.804,-70.259,-70.322,-69.976,-70.322
5,-69.694,-69.882,-69.757,-69.788,-70.118,-70.18,-70.18,-70.478,-69.694,-69.788,-69.961,-70.118,-69.569,-70.071,-70.133,-69.741,-70.118
6,-69.49,-69.694,-69.569,-69.6,-69.945,-70.024,-70.024,-70.322,-69.475,-69.584,-69.757,-69.929,-69.333,-69.898,-69.976,-69.553,-69.945
7,-69.663,-69.835,-69.725,-69.757,-70.055,-70.118,-70.133,-70.478,-69.71,-69.804,-69.961,-70.133,-69.569,-70.039,-70.118,-69.71,-70.055
8,-70.212,-70.337,-70.259,-70.29,-70.478,-70.525,-70.541,-70.761,-70.243,-70.306,-70.4,-70.51,-70.165,-70.478,-70.525,-70.259,-70.478
9,-70.008,-70.18,-70.071,-70.102,-70.384,-70.431,-70.447,-70.604,-69.976,-70.039,-70.18,-70.306,-69.867,-70.306,-70.369,-70.055,-70.384
10,-70.227,-70.4,-70.275,-70.306,-70.588,-70.651,-70.651,-70.824,-70.133,-70.227,-70.369,-70.494,-70.055,-70.494,-70.557,-70.259,-70.588
11,-70.024,-70.196,-70.086,-70.118,-70.4,-70.463,-70.463,-70.839,-70.086,-70.18,-70.337,-70.494,-69.945,-70.384,-70.463,-70.086,-70.4
12,-69.945,-70.102,-70.008,-70.039,-70.29,-70.337,-70.337,-70.714,-70.024,-70.118,-70.243,-70.4,-69.898,-70.306,-70.369,-70.008,-70.29
13,-70.29,-70.4,-70.322,-70.353,-70.525,-70.573,-70.573,-70.729,-70.306,-70.353,-70.447,-70.525,-70.227,-70.51,-70.557,-70.322,-70.525
14,-70.18,-70.29,-70.212,-70.243,-70.431,-70.478,-70.478,-70.698,-70.212,-70.259,-70.353,-70.463,-70.118,-70.416,-70.463,-70.212,-70.431
15,-69.741,-69.929,-69.82,-69.851,-70.149,-70.212,-70.212,-70.4,-69.694,-69.773,-69.929,-70.071,-69.6,-70.071,-70.133,-69.804,-70.149
16,-70.024,-70.18,-70.086,-70.102,-70.353,-70.4,-70.416,-70.463,-69.945,-70.008,-70.133,-70.212,-69.898,-70.29,-70.337,-70.071,-70.353
17,-69.271,-69.49,-69.365,-69.396,-69.757,-69.82,-69.835,-70.133,-69.333,-69.427,-69.616,-69.773,-69.176,-69.725,-69.804,-69.349,-69.757
18,-70.227,-70.416,-70.306,-70.337,-70.635,-70.698,-70.698,-71.043,-70.29,-70.384,-70.541,-70.698,-70.149,-70.604,-70.682,-70.29,-70.635
19,-69.192,-69.412,-69.286,-69.333,-69.678,-69.773,-69.773,-70.29,-69.475,-69.6,-69.757,-69.945,-69.239,-69.788,-69.867,-69.286,-69.694
20,-70.165,-70.275,-70.212,-70.227,-70.431,-70.478,-70.478,-70.729,-70.196,-70.259,-70.353,-70.463,-70.118,-70.431,-70.478,-70.212,-70.431
21,-70.384,-70.494,-70.416,-70.431,-70.635,-70.682,-70.682,-70.698,-70.29,-70.337,-70.431,-70.494,-70.259,-70.557,-70.604,-70.4,-70.635
22,-70.369,-70.494,-70.416,-70.431,-70.667,-70.714,-70.714,-70.918,-70.384,-70.447,-70.557,-70.651,-70.306,-70.635,-70.682,-70.416,-70.667
23,-69.427,-69.678,-69.522,-69.569,-69.961,-70.055,-70.055,-70.384,-69.506,-69.616,-69.82,-69.992,-69.318,-69.929,-70.024,-69.506,-69.976
24,-69.757,-69.929,-69.82,-69.835,-70.133,-70.196,-70.212,-70.306,-69.616,-69.694,-69.851,-69.976,-69.553,-70.008,-70.086,-69.788,-70.133
25,-70.118,-70.259,-70.165,-70.196,-70.431,-70.494,-70.494,-70.62,-70.086,-70.149,-70.275,-70.369,-70.008,-70.384,-70.447,-70.149,-70.431
26,-69.49,-69.694,-69.569,-69.6,-69.945,-70.008,-70.024,-70.337,-69.537,-69.631,-69.804,-69.961,-69.396,-69.929,-70.008,-69.553,-69.945
27,-69.694,-69.867,-69.773,-69.804,-70.086,-70.165,-70.165,-70.635,-69.867,-69.976,-70.118,-70.306,-69.678,-70.149,-70.212,-69.757,-70.086
28,-70.165,-70.337,-70.227,-70.259,-70.541,-70.604,-70.604,-70.62,-70.039,-70.102,-70.259,-70.337,-69.992,-70.416,-70.478,-70.212,-70.541
29,-69.537,-69.741,-69.616,-69.663,-69.976,-70.055,-70.055,-70.384,-69.631,-69.725,-69.898,-70.039,-69.475,-69.992,-70.071,-69.616,-69.976
30,-69.506,-69.71,-69.584,-69.616,-69.929,-70.008,-70.008,-70.51,-69.647,-69.757,-69.929,-70.118,-69.459,-69.961,-70.039,-69.584,-69.929
31,-69.788,-69.976,-69.867,-69.898,-70.212,-70.275,-70.275,-70.824,-69.961,-70.086,-70.243,-70.447,-69.757,-70.259,-70.337,-69.867,-70.212
32,-70.243,-70.4,-70.29,-70.322,-70.604,-70.651,-70.651,-70.918,-70.212,-70.29,-70.447,-70.588,-70.102,-70.541,-70.604,-70.275,-70.604
33,-69.537,-69.757,-69.616,-69.663,-69.992,-70.055,-70.071,-70.353,-69.569,-69.663,-69.835,-69.992,-69.427,-69.945,-70.024,-69.616,-69.992
34,-69.976,-70.118,-70.024,-70.055,-70.306,-70.369,-70.369,-70.651,-69.992,-70.071,-70.212,-70.353,-69.882,-70.29,-70.353,-70.024,-70.306
35,-70.369,-70.51,-70.416,-70.431,-70.667,-70.714,-70.714,-70.855,-70.353,-70.4,-70.51,-70.604,-70.275,-70.604,-70.651,-70.4,-70.667
36,-69.914,-70.086,-69.976,-69.992,-70.29,-70.337,-70.353,-70.557,-69.851,-69.929,-70.086,-70.227,-69.741,-70.196,-70.259,-69.961,-70.29
37,-69.569,-69.741,-69.647,-69.678,-69.961,-70.024,-70.024,-70.604,-69.804,-69.914,-70.071,-70.259,-69.584,-70.071,-70.133,-69.647,-69.961
38,-69.255,-69.49,-69.349,-69.38,-69.773,-69.851,-69.867,-70.102,-69.255,-69.365,-69.553,-69.725,-69.098,-69.678,-69.757,-69.318,-69.773
39,-70.024,-70.165,-70.086,-70.102,-70.337,-70.384,-70.384,-70.588,-69.992,-70.055,-70.18,-70.29,-69.914,-70.29,-70.337,-70.071,-70.337
40,-69.976,-70.133,-70.039,-70.071,-70.337,-70.384,-70.384,-70.839,-70.118,-70.212,-70.353,-70.51,-69.961,-70.369,-70.431,-70.039,-70.337
41,-70.196,-70.306,-70.243,-70.259,-70.463,-70.51,-70.51,-70.682,-70.212,-70.275,-70.369,-70.463,-70.149,-70.447,-70.494,-70.243,-70.463
42,-69.741,-69.976,-69.82,-69.867,-70.227,-70.306,-70.322,-70.416,-69.678,-69.773,-69.945,-70.086,-69.569,-70.118,-70.196,-69.804,-70.243
43,-69.82,-70.039,-69.914,-69.945,-70.275,-70.353,-70.353,-70.792,-69.976,-70.086,-70.243,-70.431,-69.773,-70.29,-70.369,-69.898,-70.275
44,-70.196,-70.4,-70.275,-70.306,-70.635,-70.698,-70.714,-70.824,-70.133,-70.212,-70.384,-70.51,-70.024,-70.525,-70.604,-70.259,-70.635
45,-69.804,-69.976,-69.882,-69.914,-70.18,-70.243,-70.243,-70.729,-69.961,-70.055,-70.212,-70.384,-69.788,-70.243,-70.306,-69.867,-70.18
46,-70.055,-70.227,-70.118,-70.149,-70.447,-70.51,-70.51,-70.839,-70.071,-70.165,-70.322,-70.494,-69.929,-70.4,-70.463,-70.102,-70.447
47,-69.725,-69.882,-69.788,-69.82,-70.086,-70.133,-70.133,-70.557,-69.882,-69.961,-70.102,-70.259,-69.71,-70.133,-70.196,-69.788,-70.071
48,-69.851,-69.992,-69.898,-69.914,-70.165,-70.212,-70.227,-70.322,-69.788,-69.835,-69.961,-70.055,-69.71,-70.086,-70.133,-69.882,-70.165
49,-69.851,-70.039,-69.929,-69.961,-70.29,-70.353,-70.353,-70.682,-69.929,-70.039,-70.196,-70.353,-69.773,-70.259,-70.337,-69.914,-70.29
50,-69.475,-69.694,-69.569,-69.616,-69.945,-70.024,-70.024,-70.463,-69.647,-69.757,-69.929,-70.102,-69.459,-69.992,-70.071,-69.569,-69.945
51,-69.992,-70.165,-70.055,-70.086,-70.369,-70.416,-70.431,-70.635,-69.929,-70.008,-70.165,-70.29,-69.835,-70.275,-70.353,-70.039,-70.369
52,-69.976,-70.133,-70.039,-70.055,-70.322,-70.384,-70.384,-70.651,-69.992,-70.071,-70.196,-70.337,-69.882,-70.29,-70.337,-70.024,-70.337
53,-70.447,-70.573,-70.494,-70.51,-70.714,-70.745,-70.761,-70.839,-70.4,-70.447,-70.541,-70.62,-70.337,-70.635,-70.682,-70.478,-70.714
54,-69.694,-69.882,-69.773,-69.804,-70.102,-70.18,-70.18,-70.447,-69.678,-69.773,-69.945,-70.086,-69.553,-70.055,-70.133,-69.757,-70.118
55,-69.835,-70.039,-69.898,-69.929,-70.275,-70.337,-70.353,-70.494,-69.773,-69.851,-70.024,-70.149,-69.663,-70.18,-70.243,-69.882,-70.275
56,-70.055,-70.227,-70.118,-70.133,-70.447,-70.494,-70.51,-70.667,-69.992,-70.071,-70.227,-70.353,-69.898,-70.353,-70.416,-70.102,-70.447
57,-69.929,-70.133,-69.992,-70.024,-70.369,-70.431,-70.447,-70.369,-69.725,-69.788,-69.961,-70.055,-69.663,-70.18,-70.243,-69.961,-70.369
58,-69.773,-69.961,-69.851,-69.882,-70.196,-70.259,-70.275,-70.62,-69.788,-69.882,-70.055,-70.227,-69.647,-70.149,-70.227,-69.835,-70.196
59,-69.835,-70.008,-69.898,-69.929,-70.212,-70.275,-70.275,-70.667,-69.867,-69.976,-70.118,-70.306,-69.725,-70.18,-70.259,-69.882,-70.212
60,-70.212,-70.384,-70.275,-70.306,-70.588,-70.651,-70.651,-70.902,-70.18,-70.259,-70.416,-70.557,-70.071,-70.525,-70.588,-70.259,-70.588
61,-69.616,-69.804,-69.678,-69.725,-70.039,-70.102,-70.118,-70.4,-69.631,-69.725,-69.882,-70.039,-69.49,-69.992,-70.071,-69.678,-70.039
62,-70.259,-70.384,-70.306,-70.337,-70.557,-70.604,-70.604,-70.808,-70.29,-70.353,-70.463,-70.557,-70.212,-70.525,-70.588,-70.306,-70.557
63,-69.255,-69.475,-69.349,-69.396,-69.741,-69.82,-69.804,-70.353,-69.522,-69.631,-69.804,-69.992,-69.286,-69.835,-69.914,-69.349,-69.741
64,-69.678,-69.882,-69.757,-69.788,-70.118,-70.196,-70.196,-70.447,-69.678,-69.773,-69.929,-70.086,-69.537,-70.039,-70.118,-69.725,-70.118
65,-69.71,-69.929,-69.804,-69.835,-70.18,-70.259,-70.259,-70.604,-69.804,-69.914,-70.086,-70.243,-69.631,-70.165,-70.259,-69.788,-70.18
66,-69.804,-69.929,-69.851,-69.867,-70.102,-70.149,-70.149,-70.4,-69.804,-69.867,-69.992,-70.102,-69.725,-70.086,-70.133,-69.835,-70.102
67,-69.976,-70.165,-70.055,-70.086,-70.4,-70.478,-70.478,-70.933,-70.102,-70.196,-70.369,-70.557,-69.914,-70.416,-70.494,-70.039,-70.4
68,-69.929,-70.039,-69.976,-70.008,-70.165,-70.212,-70.212,-70.588,-70.055,-70.118,-70.212,-70.322,-69.945,-70.227,-70.275,-69.976,-70.165
69,-69.318,-69.522,-69.396,-69.443,-69.773,-69.851,-69.851,-70.369,-69.553,-69.663,-69.835,-70.008,-69.333,-69.867,-69.945,-69.396,-69.773
70,-69.898,-70.071,-69.961,-69.992,-70.259,-70.322,-70.322,-70.525,-69.851,-69.929,-70.086,-70.212,-69.757,-70.196,-70.259,-69.945,-70.275
71,-69.553,-69.741,-69.631,-69.663,-69.961,-70.024,-70.024,-70.384,-69.569,-69.663,-69.82,-70.008,-69.427,-69.914,-69.976,-69.616,-69.961
72,-70.071,-70.227,-70.133,-70.149,-70.416,-70.463,-70.478,-70.478,-69.929,-69.992,-70.118,-70.212,-69.882,-70.259,-70.322,-70.102,-70.416
73,-69.6,-69.773,-69.663,-69.694,-69.992,-70.055,-70.071,-70.416,-69.647,-69.757,-69.898,-70.071,-69.49,-69.961,-70.024,-69.647,-69.992
74,-69.616,-69.82,-69.678,-69.725,-70.055,-70.118,-70.133,-70.353,-69.647,-69.741,-69.898,-70.039,-69.506,-69.992,-70.071,-69.678,-70.055
75,-69.757,-69.945,-69.835,-69.867,-70.18,-70.243,-70.243,-70.651,-69.882,-69.992,-70.133,-70.306,-69.71,-70.165,-70.243,-69.835,-70.18
76,-69.725,-69.929,-69.804,-69.851,-70.18,-70.259,-70.259,-70.541,-69.773,-69.867,-70.039,-70.196,-69.631,-70.165,-70.243,-69.804,-70.18
77,-69.443,-69.647,-69.537,-69.569,-69.898,-69.976,-69.961,-70.541,-69.694,-69.82,-69.976,-70.18,-69.475,-69.992,-70.071,-69.537,-69.898
78,-69.867,-70.008,-69.914,-69.929,-70.196,-70.243,-70.259,-70.275,-69.741,-69.788,-69.914,-70.008,-69.694,-70.071,-70.133,-69.898,-70.196
79,-69.647,-69.851,-69.725,-69.757,-70.086,-70.165,-70.165,-70.573,-69.757,-69.867,-70.024,-70.212,-69.584,-70.086,-70.149,-69.71,-70.086
80,-69.584,-69.788,-69.663,-69.71,-70.024,-70.102,-70.102,-70.541,-69.71,-69.82,-69.992,-70.18,-69.537,-70.039,-70.118,-69.663,-70.039
81,-70.165,-70.322,-70.212,-70.243,-70.494,-70.557,-70.557,-70.871,-70.212,-70.29,-70.431,-70.573,-70.086,-70.478,-70.541,-70.212,-70.494
82,-69.114,-69.333,-69.192,-69.239,-69.584,-69.663,-69.663,-69.992,-69.161,-69.271,-69.443,-69.616,-69.004,-69.569,-69.647,-69.192,-69.584
83,-69.929,-70.133,-70.008,-70.039,-70.353,-70.416,-70.431,-70.635,-69.898,-69.992,-70.165,-70.29,-69.788,-70.306,-70.369,-69.992,-70.353
84,-69.271,-69.49,-69.365,-69.412,-69.757,-69.835,-69.835,-70.275,-69.459,-69.569,-69.741,-69.914,-69.255,-69.804,-69.898,-69.365,-69.757
85,-69.929,-70.102,-69.992,-70.024,-70.306,-70.353,-70.369,-70.588,-69.898,-69.976,-70.133,-70.259,-69.788,-70.243,-70.306,-69.976,-70.306
86,-70.369,-70.494,-70.416,-70.447,-70.651,-70.698,-70.714,-70.855,-70.369,-70.416,-70.525,-70.62,-70.29,-70.604,-70.667,-70.416,-70.651
87,-69.851,-69.992,-69.914,-69.929,-70.165,-70.212,-70.212,-70.494,-69.867,-69.945,-70.071,-70.196,-69.773,-70.149,-70.212,-69.898,-70.165
88,-69.569,-69.788,-69.647,-69.694,-70.055,-70.133,-70.133,-70.384,-69.616,-69.71,-69.882,-70.039,-69.475,-70.024,-70.102,-69.647,-70.055
89,-69.286,-69.475,-69.349,-69.396,-69.694,-69.773,-69.773,-70.165,-69.365,-69.475,-69.631,-69.804,-69.208,-69.71,-69.788,-69.349,-69.694
90,-69.506,-69.71,-69.6,-69.647,-69.976,-70.055,-70.055,-70.635,-69.788,-69.914,-70.071,-70.275,-69.553,-70.086,-70.165,-69.6,-69.976
91,-69.631,-69.788,-69.694,-69.725,-69.992,-70.055,-70.055,-70.447,-69.725,-69.804,-69.961,-70.102,-69.584,-70.039,-70.118,-69.694,-69.992
92,-69.725,-69.929,-69.804,-69.82,-70.149,-70.227,-70.227,-70.369,-69.6,-69.694,-69.867,-70.008,-69.522,-70.039,-70.118,-69.773,-70.165
