seed,LC,12H,1D,2D,7D
1,4.341,3.875,4.314,3.051,1.376
2,2.804,2.584,2.831,2.173,1.02
3,4.314,3.875,4.341,3.133,1.376
4,3.188,2.804,3.161,2.173,0.8
5,3.435,3.106,3.435,2.529,1.184
6,3.875,3.49,3.875,2.776,1.129
7,4.918,4.424,4.89,3.6,1.733
8,3.298,3.051,3.325,2.529,1.075
9,3.847,3.49,3.847,2.859,1.267
10,4.149,3.71,4.122,2.941,1.239
11,4.039,3.573,4.039,2.804,1.102
12,3.353,3.024,3.353,2.447,1.02
13,4.506,4.012,4.506,3.216,1.459
14,4.643,4.149,4.616,3.325,1.514
15,3.765,3.38,3.765,2.667,1.157
16,3.408,3.106,3.435,2.529,1.02
17,3.545,3.188,3.573,2.529,0.91
18,3.243,2.996,3.243,2.529,1.267
19,2.667,2.475,2.722,2.09,0.91
20,3.875,3.518,3.902,2.886,1.294
21,4.067,3.627,4.067,2.859,1.129
22,3.38,2.996,3.38,2.337,0.91
23,4.835,4.369,4.808,3.518,1.678
24,3.6,3.188,3.573,2.475,0.91
25,2.612,2.365,2.612,1.925,0.8
26,4.643,4.204,4.671,3.408,1.459
27,2.694,2.475,2.722,2.063,0.965
28,4.204,3.82,4.204,3.051,1.404
29,3.463,3.161,3.49,2.639,1.047
30,4.259,3.847,4.286,3.106,1.239
31,4.067,3.627,4.067,2.886,1.157
32,4.89,4.451,4.89,3.655,1.816
33,3.518,3.188,3.518,2.584,1.047
34,3.6,3.271,3.627,2.612,1.075
35,3.188,2.859,3.161,2.31,1.047
36,3.765,3.325,3.737,2.584,1.047
37,4.122,3.765,4.176,3.133,1.404
38,3.408,2.996,3.38,2.227,0.773
39,3.655,3.298,3.655,2.694,1.212
40,4.478,4.039,4.506,3.271,1.569
41,4.835,4.369,4.835,3.545,1.678
42,4.259,3.82,4.231,2.996,1.184
43,4.067,3.627,4.067,2.914,1.184
44,4.478,3.984,4.424,3.188,1.624
45,3.71,3.408,3.737,2.859,1.239
46,3.902,3.518,3.875,2.776,1.294
47,2.529,2.31,2.557,1.898,0.745
48,3.984,3.545,3.957,2.804,1.184
49,4.176,3.792,4.176,3.133,1.431
50,3.71,3.408,3.737,2.859,1.212
51,4.424,3.984,4.424,3.216,1.459
52,3.051,2.722,3.051,2.118,0.69
53,3.408,3.078,3.408,2.447,0.992
54,3.875,3.545,3.875,2.941,1.376
55,3.243,2.831,3.216,2.145,0.663
56,4.561,4.012,4.478,3.106,1.431
57,4.231,3.792,4.176,2.996,1.431
58,3.078,2.804,3.078,2.282,0.91
59,3.984,3.6,3.984,2.914,1.239
60,3.82,3.49,3.82,2.831,1.349
61,3.298,3.024,3.298,2.502,1.102
62,4.588,4.204,4.616,3.49,1.514
63,3.682,3.435,3.737,3.024,1.624
64,3.984,3.545,3.929,2.804,1.212
65,2.886,2.529,2.859,1.925,0.58
66,3.38,3.106,3.408,2.557,1.075
67,3.984,3.655,4.012,2.996,1.267
68,5,4.78,5,3.929,1.788
69,2.749,2.502,2.804,2.09,0.8
70,2.969,2.667,2.969,2.09,0.8
71,4.314,3.847,4.314,3.051,1.294
72,3.435,2.969,3.353,2.2,0.745
73,3.82,3.408,3.792,2.667,1.047
74,4.067,3.737,4.039,3.133,1.596
75,4.808,4.369,4.808,3.573,1.569
76,4.094,3.792,4.149,3.188,1.459
77,2.612,2.365,2.639,1.98,0.745
78,4.039,3.6,4.012,2.831,1.184
79,3.957,3.573,3.957,2.886,1.212
80,3.106,2.804,3.106,2.255,0.965
81,3.71,3.408,3.737,2.804,1.184
82,3.792,3.408,3.792,2.722,0.992
83,2.859,2.557,2.859,2.035,0.718
84,3.82,3.518,3.847,2.941,1.349
85,3.271,2.941,3.243,2.337,0.91
86,3.161,2.804,3.133,2.173,0.8
87,2.475,2.227,2.502,1.788,0.69
88,3.929,3.655,3.957,3.106,1.569
89,3.765,3.435,3.792,2.804,1.184
90,2.749,2.529,2.804,2.145,1.02
91,4.259,3.847,4.286,3.161,1.294
92,3.82,3.49,3.792,2.831,1.294
93,3.957,3.573,3.957,2.859,1.075
94,4.671,4.149,4.588,3.216,1.404
95,3.765,3.435,3.82,2.804,1.075
96,3.49,3.051,3.435,2.31,0.827
97,4.094,3.737,4.122,3.051,1.294
98,3.435,3.078,3.408,2.447,1.047
99,3.161,2.776,3.106,2.09,0.745
100,5,4.753,5,3.682,1.514
