seed,LC,12H,1D,2D,7D
1,-70.051,-69.996,-69.914,-69.831,-70.133
2,-70.902,-70.765,-70.737,-70.518,-70.71
3,-70.463,-70.408,-70.325,-70.243,-70.463
4,-70.38,-70.243,-70.188,-69.996,-70.353
5,-70.188,-70.078,-70.078,-69.859,-69.776
6,-70.545,-70.49,-70.408,-70.271,-70.518
7,-70.737,-70.627,-70.573,-70.353,-70.6
8,-69.584,-69.529,-69.475,-69.392,-69.557
9,-70.325,-70.298,-70.188,-70.161,-70.518
10,-69.722,-69.694,-69.557,-69.612,-70.106
11,-70.161,-70.078,-70.078,-69.859,-69.749
12,-70.463,-70.353,-70.243,-70.051,-70.49
13,-70.078,-70.051,-69.914,-69.914,-70.435
14,-71.561,-71.561,-71.478,-71.588,-72
15,-69.612,-69.612,-69.447,-69.557,-70.216
16,-70.353,-70.271,-70.216,-70.078,-70.38
17,-70.271,-70.188,-70.106,-69.941,-70.325
18,-69.475,-69.447,-69.337,-69.365,-69.859
19,-70.435,-70.353,-70.243,-70.078,-70.518
20,-70.518,-70.408,-70.38,-70.188,-70.325
21,-70.49,-70.435,-70.353,-70.216,-70.518
22,-71.094,-70.984,-70.957,-70.737,-70.875
23,-70.161,-70.078,-69.996,-69.886,-70.243
24,-69.639,-69.612,-69.557,-69.502,-69.584
25,-69.502,-69.502,-69.42,-69.475,-69.804
26,-70.627,-70.518,-70.573,-70.298,-70.051
27,-71.122,-71.067,-71.039,-70.929,-70.984
28,-70.106,-70.024,-69.914,-69.831,-70.243
29,-70.161,-70.078,-69.996,-69.859,-70.161
30,-70.573,-70.49,-70.435,-70.325,-70.573
31,-69.31,-69.282,-69.2,-69.227,-69.475
32,-70.435,-70.38,-70.325,-70.216,-70.49
33,-69.914,-69.886,-69.776,-69.804,-70.271
34,-70.518,-70.408,-70.353,-70.161,-70.38
35,-71.286,-71.314,-71.204,-71.396,-71.835
36,-69.42,-69.447,-69.282,-69.42,-70.024
37,-70.737,-70.655,-70.71,-70.435,-70.161
38,-69.282,-69.255,-69.2,-69.118,-69.255
39,-71.012,-70.847,-70.792,-70.463,-70.682
40,-70.325,-70.216,-70.243,-70.024,-69.914
41,-69.749,-69.722,-69.667,-69.612,-69.859
42,-70.655,-70.573,-70.518,-70.353,-70.573
43,-71.424,-71.341,-71.314,-71.122,-71.094
44,-70.847,-70.71,-70.682,-70.463,-70.682
45,-70.325,-70.188,-70.133,-69.886,-70.271
46,-70.38,-70.325,-70.243,-70.161,-70.463
47,-70.024,-69.941,-69.886,-69.776,-70.078
48,-71.533,-71.561,-71.451,-71.561,-71.973
49,-69.502,-69.475,-69.42,-69.365,-69.612
50,-69.804,-69.722,-69.694,-69.557,-69.831
51,-70.298,-70.243,-70.161,-70.106,-70.408
52,-71.396,-71.424,-71.314,-71.478,-71.973
53,-69.886,-69.859,-69.776,-69.776,-70.161
54,-70.902,-70.765,-70.71,-70.463,-70.71
55,-70.847,-70.71,-70.682,-70.408,-70.627
56,-70.71,-70.627,-70.573,-70.38,-70.573
57,-70.161,-70.106,-70.024,-69.969,-70.325
58,-70.627,-70.573,-70.49,-70.408,-70.71
59,-69.749,-69.749,-69.667,-69.749,-70.051
60,-70.984,-70.902,-70.902,-70.737,-70.792
61,-69.667,-69.667,-69.584,-69.667,-70.024
62,-71.286,-71.231,-71.176,-71.067,-71.204
63,-70.298,-70.243,-70.188,-70.106,-70.353
64,-70.682,-70.627,-70.518,-70.463,-70.765
65,-70.573,-70.435,-70.408,-70.161,-70.38
66,-70.216,-70.161,-70.078,-70.024,-70.408
67,-70.271,-70.161,-70.024,-69.914,-70.38
68,-70.573,-70.49,-70.435,-70.325,-70.6
69,-70.792,-70.655,-70.6,-70.38,-70.655
70,-70.271,-70.216,-70.106,-70.024,-70.353
71,-70.49,-70.38,-70.298,-70.133,-70.435
72,-71.341,-71.424,-71.231,-71.561,-72
73,-69.831,-69.804,-69.749,-69.722,-69.941
74,-70.545,-70.49,-70.435,-70.353,-70.573
75,-70.161,-70.106,-70.051,-69.914,-70.161
76,-70.682,-70.6,-70.545,-70.408,-70.627
77,-71.149,-70.957,-70.902,-70.573,-70.792
78,-70.408,-70.298,-70.188,-69.996,-70.408
79,-71.259,-71.314,-71.176,-71.396,-71.863
80,-69.475,-69.42,-69.337,-69.282,-69.502
81,-70.435,-70.38,-70.325,-70.243,-70.49
82,-71.918,-71.89,-71.835,-71.863,-72
83,-71.643,-71.671,-71.561,-71.725,-72
84,-70.737,-70.627,-70.573,-70.353,-70.627
85,-70.024,-69.969,-69.941,-69.831,-70.078
86,-69.447,-69.392,-69.282,-69.255,-69.749
87,-70.655,-70.573,-70.49,-70.38,-70.71
88,-69.996,-69.969,-69.886,-69.859,-70.161
89,-70.106,-70.051,-69.941,-69.886,-70.325
90,-70.216,-70.188,-70.106,-70.106,-70.463
91,-69.914,-69.886,-69.831,-69.776,-70.078
92,-71.698,-71.698,-71.616,-71.698,-72
93,-70.353,-70.271,-70.188,-70.051,-70.325
94,-71.588,-71.616,-71.506,-71.588,-72
95,-70.957,-70.792,-70.765,-70.463,-70.6
96,-71.067,-70.957,-70.902,-70.682,-70.957
97,-70.078,-70.051,-69.941,-69.886,-70.271
98,-70.051,-70.051,-69.941,-69.969,-70.408
99,-70.82,-70.655,-70.655,-70.298,-70.38
100,-70.024,-69.996,-69.914,-69.886,-70.216
