seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
1,-68.376,-68.376,-68.129,-68.459,-68.514,-68.569,-68.431,-68.404,-68.624,-67.416,-66.071
2,-68.596,-68.541,-68.294,-68.651,-68.733,-68.788,-68.624,-68.624,-68.871,-67.663,-66.263
3,-68.569,-68.596,-68.322,-68.651,-68.706,-68.733,-68.624,-68.596,-68.788,-67.608,-66.125
4,-68.459,-68.431,-68.184,-68.514,-68.569,-68.624,-68.486,-68.459,-68.678,-67.525,-66.235
5,-68.349,-68.322,-67.992,-68.404,-68.486,-68.541,-68.376,-68.349,-68.624,-66.922,-65
6,-68.404,-68.404,-68.047,-68.459,-68.541,-68.596,-68.431,-68.404,-68.678,-66.976,-65
7,-68.871,-68.843,-68.624,-68.925,-68.98,-69.035,-68.898,-68.871,-69.09,-67.992,-66.729
8,-68.349,-68.376,-68.102,-68.404,-68.486,-68.514,-68.404,-68.376,-68.569,-67.416,-66.016
9,-68.816,-68.816,-68.596,-68.871,-68.925,-68.953,-68.843,-68.843,-69.008,-68.02,-66.784
10,-68.651,-68.596,-68.404,-68.706,-68.733,-68.788,-68.651,-68.651,-68.843,-67.882,-66.757
