study,name,Run,BioSample,sample,type,year,pH
UKD+18.water,"Pennsylvania Streams Water",SRR5929924,SAMN07486547,UNTTW.S11.2012,MSA+,2012,6.94
UKD+18.water,"Pennsylvania Streams Water",SRR5929908,SAMN07486530,UDBWL.S9.2012,MSA-,2012,7.41
UKD+18.water,"Pennsylvania Streams Water",SRR5929900,SAMN07486522,TRTRWL.S2.2012,MSA+,2012,6.99
UKD+18.water,"Pennsylvania Streams Water",SRR5929855,SAMN07486477,LWRWL.S22.2012,MSA+,2012,7.32
UKD+18.water,"Pennsylvania Streams Water",SRR5929842,SAMN07486459,LiLRWL.S21.2012,MSA+,2012,4.5
UKD+18.water,"Pennsylvania Streams Water",SRR5929825,SAMN07486438,EBRW.S25.2012,MSA+,2012,7.99
UKD+18.water,"Pennsylvania Streams Water",SRR5929802,SAMN07486414,DCW.S19.2012,MSA-,2012,5.57
UKD+18.water,"Pennsylvania Streams Water",SRR5929783,SAMN07486395,BCWL.S16.2012,MSA-,2012,7.71
UKD+18.water,"Pennsylvania Streams Water",SRR5929772,SAMN07486383,C13069WAL,MSA-,2013,5.95
UKD+18.water,"Pennsylvania Streams Water",SRR5929769,SAMN07486380,C13061WAL,MSA+,2013,7.62
UKD+18.water,"Pennsylvania Streams Water",SRR5929755,SAMN07486366,C13024WAL,MSA-,2013,7.36
UKD+18.water,"Pennsylvania Streams Water",SRR5929749,SAMN07486360,C13021WAL,MSA+,2013,5.19
UKD+18.water,"Pennsylvania Streams Water",SRR5929733,SAMN07486344,C13016WAL,MSA+,2013,6.28
UKD+18.water,"Pennsylvania Streams Water",SRR5929730,SAMN07486341,C13015WAL.S1,MSA+,2013,6.71
UKD+18.water,"Pennsylvania Streams Water",SRR5929724,SAMN07486335,C13014WAL,MSA+,2013,6.54
UKD+18.water,"Pennsylvania Streams Water",SRR5929713,SAMN07486324,C13008WAL,MSA+,2013,6
UKD+18.water,"Pennsylvania Streams Water",SRR5929706,SAMN07486317,C13005WAL,MSA+,2013,6.67
UKD+18.water,"Pennsylvania Streams Water",SRR5929703,SAMN07486314,C13004WAL,MSA-,2013,7.75
UKD+18.water,"Pennsylvania Streams Water",SRR5929699,SAMN07486310,C13001WAL,MSA+,2013,4.57
UKD+18.water,"Pennsylvania Streams Water",SRR5929942,SAMN07486565,VRWL.2014,MSA-,2014,7.12
UKD+18.water,"Pennsylvania Streams Water",SRR5929936,SAMN07486559,UWEFWL.2014,MSA-,2014,5.38
UKD+18.water,"Pennsylvania Streams Water",SRR5929932,SAMN07486555,UTRWL.2014,MSA+,2014,5.6
UKD+18.water,"Pennsylvania Streams Water",SRR5929929,SAMN07486552,UTCWL.2014,MSA-,2014,7.57
UKD+18.water,"Pennsylvania Streams Water",SRR5929919,SAMN07486542,UNHWL.2014,MSA-,2014,5.88
UKD+18.water,"Pennsylvania Streams Water",SRR5929914,SAMN07486536,UEEFWL.2014,MSA-,2014,6.46
UKD+18.water,"Pennsylvania Streams Water",SRR5929909,SAMN07486531,UDBWL.2014,MSA+,2014,6.85
