study,name,Run,BioSample,sample,lake
ZLM+16,"Tibetan lakes salinity gradient",SRR2310551,SAMN04038008,D10,Dasugan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310555,SAMN04038011,D11,Dasugan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310553,SAMN04038010,D3,Dasugan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310557,SAMN04038013,D4,Dasugan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310556,SAMN04038012,D6,Dasugan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310549,SAMN04038007,D7,Dasugan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310552,SAMN04038009,D8,Dasugan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310548,SAMN04038006,D9,Dasugan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310564,SAMN04038018,G1,Gahai
ZLM+16,"Tibetan lakes salinity gradient",SRR2310567,SAMN04038020,G3,Gahai
ZLM+16,"Tibetan lakes salinity gradient",SRR2310560,SAMN04038015,G4,Gahai
ZLM+16,"Tibetan lakes salinity gradient",SRR2310563,SAMN04038017,G6,Gahai
ZLM+16,"Tibetan lakes salinity gradient",SRR2310561,SAMN04038016,G7,Gahai
ZLM+16,"Tibetan lakes salinity gradient",SRR2310565,SAMN04038019,G8,Gahai
ZLM+16,"Tibetan lakes salinity gradient",SRR2310559,SAMN04038014,G9,Gahai
ZLM+16,"Tibetan lakes salinity gradient",SRR2310185,SAMN04037992,K11,Keluke
ZLM+16,"Tibetan lakes salinity gradient",SRR2310046,SAMN04037990,K12,Keluke
ZLM+16,"Tibetan lakes salinity gradient",SRR2310161,SAMN04037991,K13Q,Keluke
ZLM+16,"Tibetan lakes salinity gradient",SRR2309963,SAMN04037988,K14,Keluke
ZLM+16,"Tibetan lakes salinity gradient",SRR2310000,SAMN04037989,K15,Keluke
ZLM+16,"Tibetan lakes salinity gradient",SRR2310250,SAMN04037993,K16,Keluke
ZLM+16,"Tibetan lakes salinity gradient",SRR2310580,SAMN04038030,M1,Gasikule
ZLM+16,"Tibetan lakes salinity gradient",SRR2310581,SAMN04038031,M2,Gasikule
ZLM+16,"Tibetan lakes salinity gradient",SRR2310582,SAMN04038032,M3,Gasikule
ZLM+16,"Tibetan lakes salinity gradient",SRR2310579,SAMN04038029,M4,Gasikule
ZLM+16,"Tibetan lakes salinity gradient",SRR2310577,SAMN04038028,M5,Gasikule
ZLM+16,"Tibetan lakes salinity gradient",SRR2310583,SAMN04038033,M6,Gasikule
ZLM+16,"Tibetan lakes salinity gradient",SRR2310386,SAMN04037997,Q2,Qing
ZLM+16,"Tibetan lakes salinity gradient",SRR2310264,SAMN04037994,Q3,Qing
ZLM+16,"Tibetan lakes salinity gradient",SRR2310319,SAMN04037995,Q4,Qing
ZLM+16,"Tibetan lakes salinity gradient",SRR2310344,SAMN04037996,Q5,Qing
ZLM+16,"Tibetan lakes salinity gradient",SRR2310397,SAMN04037998,T1,Tuosu
ZLM+16,"Tibetan lakes salinity gradient",SRR2310474,SAMN04038000,T10,Tuosu
ZLM+16,"Tibetan lakes salinity gradient",SRR2310508,SAMN04038001,T12,Tuosu
ZLM+16,"Tibetan lakes salinity gradient",SRR2310540,SAMN04038003,T13,Tuosu
ZLM+16,"Tibetan lakes salinity gradient",SRR2310440,SAMN04037999,T2,Tuosu
ZLM+16,"Tibetan lakes salinity gradient",SRR2310546,SAMN04038005,T3,Tuosu
ZLM+16,"Tibetan lakes salinity gradient",SRR2310509,SAMN04038002,T3K,Tuosu
ZLM+16,"Tibetan lakes salinity gradient",SRR2310545,SAMN04038004,T3N,Tuosu
ZLM+16,"Tibetan lakes salinity gradient",SRR2310569,SAMN04038022,X1,Xiaochaidan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310573,SAMN04038025,X11,Xiaochaidan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310576,SAMN04038027,X12,Xiaochaidan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310575,SAMN04038026,X13,Xiaochaidan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310568,SAMN04038021,X14,Xiaochaidan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310571,SAMN04038023,X15,Xiaochaidan
ZLM+16,"Tibetan lakes salinity gradient",SRR2310572,SAMN04038024,X2,Xiaochaidan
