Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4678,557,2737,2742,2001,3770,1071,2964,2600,4787,1086,2146,2251,1800,2634,3320,2914,3652,654,1569
4730,530,2715,2887,2016,3698,1047,3077,2608,4744,1085,2088,2347,1866,2740,3060,2986,3645,662,1492
4670,513,2813,2871,2036,3607,1071,3054,2574,4789,1128,2178,2341,1775,2808,3182,2845,3601,631,1578
4572,508,2868,2935,2025,3770,1084,3092,2627,4651,1108,2094,2230,1853,2693,3224,2935,3633,654,1565
4731,528,2767,2861,2027,3820,1038,2935,2589,4803,1069,2058,2370,1780,2821,3163,2815,3576,662,1502
4675,492,2831,2946,1968,3882,1062,2963,2536,4912,1133,2066,2309,1808,2749,3117,2867,3652,664,1459
4729,568,2787,2761,1920,3681,1082,3167,2449,4731,1090,2054,2343,1806,2855,3282,2863,3493,652,1598
4695,562,2907,2926,2068,3685,1046,3044,2632,4889,1058,2119,2250,1804,2748,3246,2843,3513,691,1562
4786,496,2736,2826,1982,3872,1107,3003,2557,4844,1061,2055,2277,1813,2823,3227,3029,3551,699,1485
4655,547,2787,2863,2017,3848,1021,3135,2527,4804,1097,2099,2270,1801,2778,3153,2947,3576,715,1469
4740,513,2780,2857,2016,3780,1016,3021,2503,4716,1116,2185,2234,1816,2744,3261,2914,3583,663,1551
4495,525,2808,2927,2006,3705,1079,3043,2709,4731,1051,2098,2263,1859,2824,3179,2873,3592,632,1620
4625,546,2765,2984,2017,3738,1068,3064,2634,4626,1090,2096,2328,1771,2756,3210,2979,3465,619,1528
4649,515,2737,2923,2037,3783,986,3050,2526,4786,1039,2247,2235,1862,2671,3251,2902,3563,665,1533
4695,515,2793,2820,2032,3839,1104,2964,2496,4610,1103,2074,2328,1782,2722,3118,3057,3581,657,1460
4669,551,2805,2851,2030,3717,997,3023,2458,4813,1033,2132,2281,1838,2767,3114,2878,3598,676,1602
4625,544,2834,3013,2009,3851,1091,2981,2634,4724,992,2130,2295,1781,2707,3287,2958,3521,659,1561
