Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4655,576,2765,3094,1961,3589,1049,3028,2734,4854,1084,2175,2306,1950,2823,3206,2854,3506,630,1533
4481,540,2677,2924,2117,3664,1056,3095,2663,4728,1047,2208,2237,1941,2852,3256,2882,3688,733,1514
4604,536,2704,2938,2053,3652,1063,2996,2757,4776,1077,2140,2193,1824,2667,3172,2814,3483,668,1612
4571,527,2741,2942,2081,3733,1093,3060,2700,4782,1067,2196,2220,1877,2777,3208,2904,3520,718,1543
4555,511,2819,2972,2036,3705,1066,3046,2549,4692,1027,2196,2244,1970,2793,3218,2976,3519,632,1530
4456,557,2730,2999,2088,3648,1086,3009,2639,4736,1092,2136,2260,1821,2778,3169,2815,3548,676,1539
4541,536,2731,2908,2044,3660,1156,3065,2673,4774,1048,2161,2245,1915,2637,3240,2929,3624,683,1580
4539,568,2762,2912,2078,3669,1067,3080,2619,4862,1097,2186,2233,1951,2648,3261,2952,3407,669,1590
4607,557,2826,2983,1982,3689,1059,2997,2754,4859,1093,2058,2259,1880,2712,3128,2997,3601,667,1574
4484,495,2685,2896,2003,3573,1062,2990,2669,4860,1036,2157,2267,1891,2775,3331,3025,3492,659,1661
4688,583,2720,2865,2054,3757,1035,3036,2550,4805,1102,2180,2231,1906,2661,3288,2939,3557,734,1537
4629,560,2640,2806,2052,3762,1026,3096,2589,4712,1041,2254,2240,1934,2592,3282,2951,3526,605,1496
4421,583,2801,2862,2062,3706,1087,3055,2712,4827,1084,2241,2270,1973,2651,3197,2840,3556,677,1681
4577,560,2720,2811,1959,3674,1087,2926,2539,4817,1066,2165,2229,1932,2676,3254,2963,3622,706,1527
4525,507,2780,2843,2001,3776,1086,2942,2718,4819,1038,2160,2291,1862,2718,3283,2868,3598,634,1558
4554,569,2766,2903,2059,3567,1109,3072,2683,4725,1118,2161,2412,1922,2710,3222,2889,3449,623,1569
4523,568,2675,2975,2116,3418,1041,3009,2696,4964,1155,2224,2322,1895,2629,3172,2943,3439,652,1489
4491,584,2735,2911,2011,3679,1087,2994,2584,4716,1120,2106,2318,1928,2735,3193,2934,3570,682,1611
4609,490,2653,2926,2051,3708,1128,3079,2611,4784,1012,2169,2258,1916,2694,3127,2872,3460,665,1587
4565,542,2698,2913,2024,3794,1065,2987,2580,4811,1054,2186,2245,1845,2665,3260,2971,3497,663,1512
4447,545,2732,2985,2007,3591,1014,3054,2669,4867,1133,2191,2283,1863,2741,3317,2878,3624,682,1519
4586,541,2798,2868,2081,3663,1038,3017,2673,4758,1052,2211,2205,1831,2672,3225,2928,3516,641,1625
4557,528,2714,2874,2029,3726,1015,2976,2662,4812,1076,2115,2243,1863,2756,3304,2992,3567,638,1420
4543,531,2818,2883,2104,3775,1089,2978,2593,4705,1094,2210,2298,1842,2735,3195,3061,3510,689,1618
4565,549,2727,2955,1972,3643,1145,3076,2647,4692,1039,2201,2212,1841,2676,3223,2936,3451,649,1562
4514,532,2652,2830,2032,3729,1072,3217,2576,4813,1044,2123,2231,1859,2602,3252,2958,3527,678,1516
4563,525,2680,2882,2160,3724,1137,3007,2641,4695,1105,2156,2256,1796,2715,3330,2992,3553,671,1534
4642,559,2741,2844,2045,3620,1092,3026,2559,4703,1024,2084,2241,1901,2690,3318,2935,3495,648,1568
4635,534,2771,2872,2051,3618,1038,3037,2608,4810,1050,2186,2296,1944,2796,3168,2948,3612,691,1590
4631,492,2711,2891,2024,3757,1077,3042,2708,4836,1070,2138,2191,1934,2723,3108,2860,3486,692,1543
4528,572,2624,2849,2140,3701,1016,3112,2573,4806,1074,1992,2274,1923,2624,3321,2908,3563,667,1630
4536,565,2684,2943,2111,3774,1087,3062,2583,4763,1044,2133,2328,1905,2787,3234,2841,3672,667,1501
4565,575,2729,2890,2029,3720,1026,2946,2610,4776,1075,2142,2337,1884,2723,3256,2829,3576,659,1550
4620,549,2652,2965,2061,3783,1140,2951,2600,4987,1108,2082,2273,1866,2751,3146,2960,3470,663,1627
4531,502,2798,2923,2067,3713,1111,3005,2668,4743,1065,2231,2303,1919,2736,3220,2940,3538,673,1546
4448,560,2777,2879,2182,3712,1082,3008,2583,4792,1070,2178,2407,1921,2655,3239,2951,3501,666,1575
4461,577,2780,2882,2027,3584,1101,2983,2585,4736,1091,2148,2276,1960,2629,3175,2890,3503,666,1591
4633,544,2767,2877,2006,3688,1110,2983,2584,4823,1064,2186,2261,1823,2727,3260,2954,3565,679,1541
4486,542,2750,2782,2061,3619,1070,3106,2630,4715,1069,2211,2365,1985,2776,3171,2848,3448,716,1568
4372,526,2739,2873,1986,3726,1138,3055,2565,4704,1069,2156,2217,1818,2658,3171,2991,3501,707,1554
4625,559,2734,2801,2075,3701,1065,3049,2624,4896,1095,2115,2236,1838,2719,3276,3016,3591,694,1506
4576,477,2651,2924,1969,3715,1068,3115,2763,4741,1087,2061,2163,1816,2548,3251,2986,3640,694,1508
4446,536,2686,2843,2106,3614,1099,3196,2585,4841,1127,2190,2294,1885,2772,3236,2967,3616,692,1559
4693,475,2701,2921,2023,3641,1132,3079,2516,4738,1075,2225,2205,1820,2722,3335,2947,3563,685,1552
4441,580,2706,2910,2099,3681,1135,2930,2618,4861,1126,2106,2333,1888,2722,3346,2899,3446,681,1517
4509,525,2658,2945,2140,3709,1109,3028,2657,4777,1083,2066,2218,1851,2742,3247,2898,3420,703,1600
4557,504,2878,2861,2029,3632,1016,2984,2654,4887,1078,2147,2265,1909,2753,3224,2937,3590,697,1500
4515,530,2743,2806,2018,3735,1073,3103,2475,4788,1116,2069,2327,1854,2632,3213,2990,3580,649,1554
4464,509,2750,2860,2038,3620,1189,3024,2642,4875,1089,2049,2267,2015,2811,3270,2869,3530,643,1554
4564,527,2811,3032,1986,3648,1088,2918,2507,4719,1007,2149,2308,1911,2800,3226,2845,3549,639,1576
4644,551,2801,2953,2106,3659,1068,3063,2718,4664,1020,2137,2225,1922,2725,3206,2903,3481,681,1599
4700,490,2706,2953,1982,3661,1080,3004,2645,4739,1121,2058,2221,1819,2789,3181,2936,3507,621,1634
4579,526,2731,2795,2073,3633,1117,2892,2543,4845,1053,2124,2351,1831,2779,3191,2852,3619,684,1556
4461,581,2742,2888,2052,3699,1088,3018,2562,4695,1045,2160,2209,1911,2673,3251,2929,3442,678,1563
4558,552,2704,2892,2051,3833,1089,3071,2754,4619,1100,2145,2236,1808,2757,3080,3003,3437,653,1543
4523,515,2759,2954,2019,3610,1171,3058,2643,4799,1080,2153,2253,1962,2734,3231,2835,3640,702,1549
4422,488,2740,2932,2155,3654,1084,3040,2664,4716,1048,2209,2304,1901,2670,3233,2992,3499,639,1531
4442,555,2713,2971,2091,3576,1093,3108,2706,4882,1077,2149,2348,1872,2760,3294,2861,3516,690,1513
4640,538,2692,2880,1952,3797,1091,3063,2647,4845,1135,2134,2332,1930,2596,3012,2923,3552,674,1495
4589,533,2745,2891,2101,3749,1056,3081,2545,4731,1094,2225,2292,1885,2679,3129,2924,3465,649,1552
4511,533,2738,2901,2031,3550,1076,2987,2755,4860,1087,2176,2345,1876,2669,3196,2883,3599,670,1526
4447,509,2695,2906,2033,3537,1023,3036,2628,4809,1047,2249,2333,1885,2695,3175,3033,3611,701,1570
4621,523,2765,2893,2010,3729,1124,3012,2626,4826,973,2137,2255,1764,2715,3250,2929,3436,674,1590
4616,543,2713,2883,2083,3718,1166,2963,2597,4830,1023,2176,2242,1911,2732,3273,2943,3494,738,1542
4545,534,2794,2811,1975,3701,1022,3116,2633,4749,1046,2148,2274,1880,2693,3283,2845,3599,638,1531
4610,552,2717,2844,2122,3733,1091,2923,2550,4764,1012,2112,2254,1938,2716,3322,3035,3565,699,1561
4613,578,2616,2975,2089,3637,1075,2960,2574,4900,1017,2112,2235,1874,2728,3198,2932,3553,683,1598
4667,505,2766,2875,2031,3707,1086,3073,2709,4797,1139,2207,2266,1843,2734,3288,2879,3581,605,1506
4558,546,2723,2842,2062,3729,1020,3133,2486,4800,1064,2169,2210,2018,2685,3272,3032,3526,677,1550
4516,518,2773,2933,2126,3634,1059,3094,2653,4690,1078,2234,2225,1848,2612,3172,2889,3454,706,1590
4511,594,2767,2892,2040,3674,1123,3001,2589,4701,1094,2175,2271,1884,2627,3258,2889,3610,654,1539
4620,529,2679,2840,2110,3640,1141,3035,2596,4743,1075,2163,2271,1867,2702,3236,2934,3583,718,1567
4438,518,2767,2978,2055,3698,1040,3030,2591,4826,1071,2191,2274,1874,2716,3240,3027,3538,647,1564
4606,526,2678,2859,1990,3627,1091,3109,2551,4804,1128,2116,2284,1837,2789,3320,3051,3432,636,1613
4512,505,2649,2863,2083,3670,1069,3110,2599,4725,1089,2204,2334,1955,2790,3231,3003,3519,724,1558
4457,538,2763,2925,2065,3746,1061,2943,2671,4704,1033,2196,2278,1883,2654,3307,2894,3618,739,1635
4531,544,2768,2857,2071,3666,1061,3083,2668,4878,1078,2185,2238,1853,2606,3160,3064,3489,664,1575
4678,577,2725,2927,2072,3799,1050,2855,2593,4790,1104,2068,2377,1858,2713,3116,2823,3504,675,1600
4346,461,2804,2828,2122,3623,1039,3058,2681,4786,1087,2117,2298,1918,2647,3248,2933,3528,718,1586
4673,556,2807,2938,2015,3762,1120,3176,2617,4654,1048,2176,2296,1838,2769,3354,2893,3579,707,1440
4453,576,2737,2912,2054,3666,1151,3064,2635,4775,1043,2162,2291,1832,2869,3187,2794,3444,663,1493
4591,503,2813,2892,2079,3646,1092,2988,2586,4972,1131,2216,2209,1830,2603,3191,2932,3490,649,1565
4465,564,2856,2960,2097,3612,1092,2892,2598,4817,1073,2129,2253,1923,2711,3247,2863,3623,660,1570
4457,533,2719,2977,2013,3641,1055,3011,2805,4860,1036,2201,2259,1911,2690,3062,2953,3589,622,1616
4571,566,2755,3013,1959,3675,1068,3054,2726,4724,1092,2202,2202,1784,2720,3287,2917,3554,657,1578
4419,542,2759,2871,1993,3727,1053,3098,2621,4700,1090,2155,2312,1898,2732,3176,2766,3550,635,1491
4550,559,2729,2836,2086,3684,1077,3183,2601,4797,1100,2162,2218,1831,2678,3185,3006,3502,691,1538
4519,479,2789,2900,2039,3718,1074,3041,2611,4621,1119,2197,2201,1941,2728,3180,2972,3560,716,1602
4572,577,2816,2865,2084,3697,1108,2992,2630,4833,1091,2201,2296,1915,2588,3185,2982,3630,664,1568
4537,467,2742,2947,2024,3712,1140,3042,2765,4795,1062,2168,2268,1908,2698,3152,2908,3509,663,1575
4498,521,2813,2890,2075,3719,1092,3059,2599,4739,1079,2095,2337,1836,2741,3172,2892,3558,662,1513
4554,520,2629,2931,2113,3610,1080,3101,2688,4727,1084,2155,2203,1955,2816,3241,2891,3496,630,1597
4650,532,2702,2920,2017,3747,1048,2952,2595,4831,1106,2102,2298,1951,2702,3192,2910,3551,662,1604
4628,575,2716,2920,2065,3709,1094,3075,2652,4799,1076,2204,2403,1856,2723,3149,2888,3497,636,1609
4654,534,2762,2999,2003,3584,1054,2985,2666,4765,1073,2113,2236,1952,2721,3321,2824,3520,695,1479
4658,511,2692,2877,2213,3700,1015,2961,2555,4895,1079,2164,2225,1864,2770,3212,2950,3539,637,1495
4461,531,2773,2925,2025,3666,1099,3041,2700,4812,1100,2258,2198,1885,2817,3234,2989,3449,648,1678
4446,484,2798,3071,2072,3673,1034,2965,2570,4768,1045,2103,2269,1917,2740,3134,3005,3578,667,1490
4682,520,2644,2901,2008,3626,1116,3027,2550,4611,1077,2117,2245,1943,2667,3216,2880,3609,659,1531
4665,514,2745,2864,2049,3703,1106,2871,2678,4805,1082,2075,2328,1942,2750,3179,2926,3582,667,1543
