Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4716,586,2562,2803,1978,3866,1039,2579,2385,4505,1009,2028,2252,1782,2791,3604,3285,3783,662,1302
4855,598,2469,2631,2045,3810,1024,2644,2428,4665,981,2126,2286,1797,2719,3610,3304,3922,616,1316
4887,587,2667,2714,1986,3797,990,2580,2495,4509,1001,2022,2397,1862,2775,3641,3257,3860,628,1364
4886,560,2513,2800,2138,3782,1053,2543,2446,4575,977,2054,2359,1912,2749,3687,3172,3886,606,1382
4666,630,2537,2718,2010,3936,1040,2620,2436,4679,968,1991,2372,1851,2783,3627,3275,3887,615,1331
4793,604,2514,2715,1926,3872,1047,2617,2318,4627,904,2028,2373,1856,2801,3756,3276,3889,615,1353
4593,589,2493,2677,2081,3865,1111,2681,2507,4762,1030,2044,2335,1886,2797,3516,3271,3919,674,1437
4775,572,2538,2756,1992,3750,1031,2506,2539,4573,1006,1980,2365,1927,2682,3600,3264,3873,616,1346
4839,581,2575,2732,1951,3842,1012,2607,2547,4532,988,2001,2305,1825,2787,3663,3437,3941,609,1436
4691,554,2550,2828,2027,3829,1042,2723,2481,4643,963,2065,2362,1853,2770,3783,3370,3956,587,1345
4581,612,2452,2805,2002,3994,1071,2616,2426,4650,939,2098,2282,1884,2781,3625,3457,3850,596,1336
4739,598,2592,2769,2028,3823,1068,2703,2471,4554,1036,2023,2410,1761,2827,3626,3394,3841,644,1351
4728,553,2541,2763,2041,3977,1054,2682,2457,4480,1002,2011,2345,1814,2697,3584,3377,3932,626,1387
4760,559,2464,2803,2051,3936,1002,2560,2509,4653,994,2056,2313,1782,2819,3533,3178,3782,590,1371
4754,599,2476,2701,2018,3915,1041,2573,2521,4593,1066,1984,2346,1841,2912,3652,3315,3921,694,1402
4694,615,2451,2742,2003,3818,1018,2736,2422,4555,998,2057,2353,1845,2729,3561,3320,3826,612,1382
4801,499,2511,2742,1991,3901,1044,2646,2537,4713,959,2008,2280,1863,2807,3681,3266,3960,595,1369
4705,618,2488,2708,1989,3995,1034,2601,2312,4619,966,2068,2262,1878,2843,3585,3359,3762,636,1371
4751,545,2503,2769,2016,3923,1034,2542,2477,4594,1004,2114,2293,1919,2740,3633,3312,3922,604,1390
4828,630,2472,2754,1968,3740,1035,2666,2380,4670,978,1952,2357,1967,2840,3641,3239,3812,603,1301
4675,553,2544,2911,1939,3795,999,2716,2571,4722,965,2043,2367,1845,2831,3698,3239,3887,626,1369
