Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3871,907,2502,2896,2090,3072,1459,2943,2825,4785,1044,2134,2438,1969,2892,3918,2922,3325,728,1474
3795,972,2462,2754,2094,3181,1376,2787,2803,4867,1072,2122,2525,2103,2913,3732,2930,3316,701,1529
3872,1046,2617,2893,2127,3223,1411,2893,2746,4945,1058,2078,2312,2068,2916,3711,2904,3288,753,1462
3819,979,2520,2828,2056,3251,1408,2777,2754,4699,1070,2115,2348,2011,2924,3660,2998,3449,742,1476
3775,928,2578,2826,2093,3155,1408,2809,2679,4979,1065,2069,2317,1979,2870,3847,2998,3374,694,1482
3730,971,2444,2892,2128,3040,1529,2858,2765,4908,1068,2151,2469,2037,2837,3623,2906,3312,787,1474
3882,905,2559,2904,1991,3223,1411,2818,2794,4934,1002,2175,2367,2057,2846,3716,2783,3306,759,1487
3869,937,2484,2854,2086,3308,1481,2807,2776,4940,1076,2139,2361,2028,2807,3669,2869,3211,791,1467
3989,936,2617,2877,2026,3224,1410,2859,2792,4830,1066,2119,2378,2014,2873,3691,2868,3494,729,1501
3821,970,2476,2828,2076,3249,1461,2797,2739,5147,1116,2074,2359,2084,2886,3763,2917,3262,775,1547
4015,949,2485,2774,2098,3198,1408,2792,2801,4866,1081,2122,2311,2114,2800,3828,2788,3238,728,1580
3857,880,2574,2880,2002,3196,1508,2736,2682,4913,1072,2082,2442,2029,3013,3654,2889,3221,726,1464
3994,907,2460,2749,2031,3383,1390,2849,2908,4950,1119,2086,2305,1935,2865,3807,3037,3392,714,1441
3876,957,2514,2915,2078,3192,1403,2810,2796,4915,1019,2143,2219,1924,2919,3675,2933,3315,742,1473
3862,911,2579,2871,2106,3116,1491,2875,2802,4881,1082,2122,2396,1987,2848,3551,2958,3207,714,1483
3976,992,2613,2898,2075,3299,1410,2738,2879,4889,1124,2027,2428,2041,3037,3678,2972,3345,702,1431
3875,858,2436,2891,2142,3279,1395,2885,2685,4892,1097,2045,2385,1952,2876,3666,2856,3333,696,1533
3795,949,2498,2982,2065,3320,1384,2756,2729,4926,1008,2162,2296,2037,2874,3785,2934,3303,751,1494
3849,897,2614,2897,2071,3133,1444,2887,2852,4845,1048,2137,2380,2051,2819,3648,2948,3237,685,1563
3857,915,2481,2892,2030,3241,1444,2826,2763,4756,1109,2078,2330,2004,2930,3724,2886,3281,736,1520
3806,991,2491,2877,2046,3280,1345,2815,2801,4787,1060,2088,2363,2069,2882,3664,2881,3298,688,1509
3817,919,2530,2957,2111,3269,1508,2808,2818,4893,1001,2111,2363,1987,2959,3725,2927,3180,746,1558
3718,930,2525,2934,2148,3232,1478,2831,2789,4911,1120,2160,2315,1974,2853,3775,2943,3332,729,1478
3905,1002,2589,2810,2056,3094,1446,2724,2759,5074,1074,2100,2393,1996,2956,3692,3008,3402,677,1471
