Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4763,596,2720,2761,2040,3745,1173,2767,2278,4975,1052,1880,2450,1882,2952,3251,3027,3791,699,1381
4637,655,2779,2797,1974,3754,1113,2725,2401,4977,999,1940,2345,1812,2918,3359,2964,3668,664,1436
4763,681,2811,2809,1912,3693,1187,2707,2205,4905,1022,1849,2504,1893,3065,3280,2929,3641,734,1413
4554,654,2715,2790,1962,3750,1067,2772,2186,4848,977,1927,2379,1840,3022,3338,2913,3696,698,1363
4670,629,2733,2858,1959,3688,1098,2834,2266,4898,970,1946,2332,1856,3006,3330,2920,3652,678,1403
4673,688,2777,2709,1899,3823,1174,2816,2372,4687,977,1948,2505,1820,2988,3289,3003,3718,686,1383
4811,709,2705,2871,2038,3648,1159,2717,2364,4873,983,1968,2406,1768,3007,3308,2898,3681,701,1361
4751,574,2665,2784,2033,3817,1083,2700,2204,4967,1074,1978,2412,1903,2995,3286,2912,3696,679,1460
4887,619,2682,2756,2006,3827,1197,2727,2290,4757,966,1977,2396,1834,3072,3336,3011,3606,738,1341
4674,647,2697,2865,1955,3768,1122,2924,2182,4959,1068,1967,2468,1849,3094,3316,2855,3652,685,1379
4817,628,2710,2829,2004,3841,1138,2799,2214,4890,999,1934,2503,1807,2955,3382,3039,3690,718,1400
4942,643,2650,2805,1909,3776,1218,2685,2248,5022,1003,1900,2455,1817,3062,3192,2917,3745,683,1386
4886,624,2758,2795,1919,3889,1166,2775,2278,4967,1004,1917,2439,1929,2949,3296,2926,3694,673,1445
4744,602,2729,2848,1948,3774,1222,2810,2275,4852,1015,1997,2386,1882,3119,3257,2963,3585,654,1396
4706,669,2824,2751,2111,3808,1157,2724,2300,4784,1033,1993,2537,1769,2886,3333,2958,3750,702,1452
4779,612,2692,2893,1961,3709,1201,2739,2307,4847,985,2075,2382,1924,3037,3200,2979,3681,739,1365
4646,635,2740,2844,2012,3740,1165,2662,2246,4818,1083,1916,2344,1883,2982,3339,3008,3655,707,1449
4623,640,2655,2846,2068,3684,1110,2834,2340,5042,989,1924,2412,1851,3133,3284,2849,3715,659,1405
4807,576,2712,2744,2060,3859,1138,2732,2228,4977,1033,1973,2480,1890,2955,3378,2912,3593,676,1494
4695,598,2733,2898,1961,3811,1094,2738,2327,4840,1010,1921,2449,1830,3102,3273,2843,3692,668,1411
4676,563,2758,2808,1984,3725,1156,2771,2234,4941,1018,1979,2389,1927,3106,3387,2940,3788,709,1521
4806,649,2823,2881,1968,3696,1179,2752,2252,4879,999,1956,2402,1837,3026,3425,2942,3608,685,1355
4651,676,2715,2852,1997,3803,1165,2763,2302,4866,1013,1959,2412,1821,3068,3293,2951,3539,755,1407
4728,637,2625,2778,1975,3813,1154,2782,2328,4752,1023,1960,2510,1817,2934,3300,2990,3635,735,1438
4670,630,2676,2866,2058,3822,1110,2787,2155,4855,997,1865,2361,1927,2982,3325,2981,3685,701,1457
4743,604,2712,2833,1928,3748,1221,2816,2352,5074,964,1950,2416,1850,3045,3265,3010,3573,743,1348
4650,619,2743,2815,2003,3826,1054,2762,2336,4928,966,1928,2422,1810,3055,3350,2948,3686,720,1396
4778,674,2737,2781,2031,3822,1148,2786,2274,4992,955,1957,2457,1851,3077,3320,2807,3646,713,1379
4548,605,2726,2861,1983,3593,1172,2808,2299,4798,989,2041,2430,1885,3026,3381,2949,3566,716,1401
4675,646,2647,2777,2050,3821,1169,2749,2310,4733,1045,1927,2425,1905,3089,3273,2848,3595,705,1403
4612,609,2779,2791,1961,3789,1122,2699,2226,4896,979,1921,2534,1753,2919,3301,2867,3702,703,1287
4686,615,2698,2826,2003,3830,1133,2730,2143,5013,1027,2007,2436,1857,2968,3345,3044,3579,755,1474
4679,582,2662,2738,2031,3667,1152,2774,2327,4858,993,2009,2435,1814,2916,3364,2959,3672,667,1450
4685,635,2706,2747,2048,3729,1099,2858,2179,4909,1029,2010,2576,1788,3020,3207,2971,3683,701,1420
4638,587,2770,2762,2028,3730,1104,2855,2279,4974,1009,1944,2467,1785,2919,3449,2928,3544,741,1408
4659,584,2658,2831,2065,3779,1132,2795,2360,4888,924,1972,2452,1826,2996,3226,2868,3769,646,1403
4878,605,2685,2817,2018,3654,1168,2729,2298,5017,1007,1924,2428,1866,3048,3247,3009,3627,706,1324
