Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
5012,614,2574,2536,1923,3993,1063,2447,2059,4699,1020,1880,2577,1880,2992,3543,3259,3883,757,1284
4860,629,2584,2585,1951,4174,1124,2526,2101,4827,990,1828,2624,1874,2998,3580,3114,3853,704,1217
4860,597,2578,2510,1957,4155,1130,2465,2099,4750,966,1788,2508,1828,2905,3491,3163,3871,684,1378
4900,613,2645,2551,1995,4089,1070,2543,2190,4837,1001,1799,2539,1872,3038,3539,3081,3901,718,1343
4945,651,2535,2512,1890,4108,1115,2487,2011,4741,951,1853,2536,1933,3037,3451,3212,3861,689,1293
4814,567,2535,2516,1895,4093,1044,2503,2147,4607,954,1850,2567,1921,2944,3520,3253,3845,707,1357
4899,592,2558,2506,1989,4019,1080,2494,2060,4726,1008,1851,2554,1929,2951,3495,3207,3839,693,1339
4859,649,2665,2685,1996,4025,1090,2523,2066,4725,1000,1769,2578,1914,3038,3557,3214,3836,722,1304
4858,591,2561,2558,1983,4115,1088,2568,2073,4624,1001,1896,2542,1826,3015,3523,3216,3903,755,1361
4804,634,2591,2563,1977,4267,1091,2512,2076,4716,1001,1857,2520,1797,3078,3495,3229,3863,737,1370
4911,678,2582,2647,1952,3990,1100,2477,2109,4734,1021,1791,2634,1878,2970,3509,3200,3904,674,1409
4823,605,2533,2633,1955,3946,1153,2587,2157,4584,1044,1863,2557,1917,2936,3468,3120,3758,691,1372
4864,570,2582,2584,1971,3989,1113,2505,2050,4824,954,1898,2568,1868,2977,3471,3182,3842,719,1309
4868,639,2521,2586,1987,3952,1139,2504,2115,4676,1047,1872,2528,1852,3058,3547,3155,3843,764,1355
4873,619,2544,2527,1968,3972,1129,2468,2047,4692,1023,1812,2457,1915,3022,3633,3302,3908,718,1400
4989,625,2515,2583,2008,4087,1033,2527,2062,4704,1017,1889,2583,1825,2951,3562,3240,3787,716,1330
4811,606,2572,2566,2014,4023,1131,2492,2027,4798,938,1870,2488,1986,3118,3533,3146,3883,758,1351
4885,639,2477,2546,1920,4044,1064,2484,2161,4659,956,1872,2542,1871,2988,3491,3122,3823,687,1333
4782,644,2593,2629,2029,4139,1161,2573,2022,4656,1010,1834,2527,1861,2874,3460,3302,3964,754,1366
4858,627,2545,2501,2001,4000,1090,2404,2099,4950,1032,1785,2549,1860,3075,3540,3190,3831,683,1384
4865,643,2567,2570,1905,4139,1093,2585,2057,4733,1026,1876,2600,1827,3001,3515,3241,3854,772,1288
4810,643,2763,2657,2020,3958,1165,2490,2054,4784,970,1842,2525,1867,3101,3493,3119,3794,754,1377
4776,632,2552,2645,1954,4089,1128,2650,2203,4787,1026,1874,2519,1862,2952,3507,3178,3798,707,1378
4738,655,2654,2509,2021,4119,1050,2630,2095,4668,1036,1939,2555,1802,3041,3420,3158,3832,706,1325
4790,623,2444,2529,2085,4145,1094,2433,2058,4662,980,1876,2577,1904,2932,3545,3146,3890,750,1352
4854,630,2558,2569,1978,4058,1102,2435,2029,4645,986,1894,2685,1871,3045,3521,3159,3940,708,1321
4981,639,2571,2673,1985,3928,1077,2525,2141,4806,1033,1835,2567,1919,2980,3540,3234,3751,750,1388
4939,645,2588,2631,1999,4085,1131,2442,2068,4747,977,1804,2612,1986,3004,3516,3203,3843,716,1374
4865,631,2582,2576,1975,4058,1125,2641,2051,4616,1037,1923,2535,1955,2959,3539,3155,3821,736,1400
4826,611,2574,2630,2019,4007,1081,2520,1978,4790,962,1791,2594,1903,3023,3516,3112,3843,730,1356
4860,629,2604,2539,1994,4069,1083,2501,2140,4719,1020,1782,2590,1885,3110,3511,3149,3925,692,1326
4925,658,2527,2616,1939,3974,1128,2548,2101,4685,1005,1813,2474,1865,3018,3435,3175,3825,707,1356
4940,599,2488,2627,1964,4184,1134,2593,2154,4753,1038,1832,2433,1876,2948,3430,3302,3876,702,1366
4941,625,2579,2607,1991,3975,1077,2484,2142,4825,1005,1773,2628,1968,2992,3489,3211,3815,695,1376
4943,664,2638,2586,2008,4131,1097,2508,2063,4690,979,1842,2515,1883,2905,3449,3263,3831,741,1395
4784,602,2553,2574,1927,4034,1094,2550,2127,4801,1002,1857,2555,1885,2970,3572,3000,3886,755,1366
4884,640,2578,2558,1927,3979,1087,2487,2087,4710,972,1785,2557,1853,2864,3665,3166,3910,700,1355
4923,647,2617,2630,1893,3982,1111,2495,2160,4808,1043,1872,2505,1846,3056,3340,3091,3734,685,1358
4862,650,2565,2638,1931,3999,1126,2434,2165,4713,980,1858,2555,1860,2962,3514,3179,3884,705,1419
4857,638,2573,2667,1959,4116,1084,2544,2027,4684,1039,1843,2516,1825,2990,3505,3106,3859,713,1324
4832,607,2585,2579,1996,4056,1146,2597,2140,4699,983,1873,2556,1794,2868,3499,3146,3706,679,1348
4837,657,2557,2484,1967,4004,1106,2547,2174,4779,1044,1923,2563,1865,2968,3422,3169,3833,729,1363
4807,630,2526,2563,2018,3899,1095,2554,2073,4757,1040,1834,2567,1831,2972,3426,3175,3776,753,1367
4841,636,2578,2457,1927,4017,1135,2560,1975,4792,999,1922,2586,1946,3012,3560,3180,3763,767,1385
4719,576,2534,2543,1943,3978,1080,2561,2145,4587,1034,1826,2575,1888,3000,3459,3205,3890,770,1299
4876,660,2605,2470,1980,4046,1077,2534,2000,4842,1026,1881,2492,1869,3039,3532,3188,3842,729,1337
4833,597,2666,2566,1988,4079,1156,2577,2132,4621,1019,1877,2483,1877,2962,3550,3233,3782,752,1369
4837,617,2568,2569,1986,4157,1077,2561,2019,4755,1040,1853,2578,1801,3078,3493,3192,3826,735,1365
4925,624,2480,2651,1956,3993,1084,2493,2036,4633,999,1799,2435,1798,2974,3344,3131,3783,751,1346
4922,621,2560,2531,2003,3977,1117,2463,2152,4746,1031,1832,2658,1810,2971,3607,3201,3889,732,1370
