Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4321,630,2418,2851,2023,3588,1088,2667,2627,4925,921,2096,2320,1932,2848,3739,3202,3709,536,1435
4268,624,2504,2862,2206,3593,1025,2717,2646,4877,981,2064,2376,1816,2724,3766,3145,3647,607,1478
4441,660,2493,2724,2223,3618,1070,2774,2582,4738,886,2133,2332,1855,2728,3799,3263,3676,589,1412
4265,673,2451,2765,2149,3568,1115,2790,2685,4923,939,2125,2368,1973,2804,3720,3108,3589,538,1461
4362,665,2483,2713,2205,3507,1074,2798,2747,4865,974,2126,2374,1947,2744,3794,3209,3609,545,1434
4374,635,2417,2734,2240,3477,1111,2769,2883,4781,941,2191,2314,1854,2837,3758,3161,3697,578,1441
4470,640,2374,2626,2247,3618,1075,2770,2672,4814,1006,2065,2432,1798,2649,3715,3088,3655,605,1545
4486,636,2454,2711,2202,3571,1066,2783,2761,4841,964,2102,2288,1920,2668,3766,3151,3638,590,1448
4280,623,2377,2723,2188,3685,1063,2757,2675,4998,933,2056,2361,1845,2824,3691,3026,3693,586,1391
4216,614,2542,2798,2161,3449,1051,2750,2766,4903,960,2183,2341,1895,2670,3762,3139,3595,585,1461
4376,606,2354,2862,2200,3525,1117,2813,2751,4822,955,2114,2331,1899,2889,3753,3085,3533,610,1436
4455,646,2400,2633,2144,3654,1103,2779,2755,4933,982,2033,2414,1797,2807,3782,3169,3638,548,1459
4361,633,2483,2735,2127,3613,1078,2708,2789,4917,959,2109,2450,1914,2804,3753,3181,3649,578,1381
4330,552,2399,2802,2139,3543,1075,2839,2761,4852,983,2153,2322,1842,2743,3753,3077,3611,618,1515
4389,630,2466,2751,2134,3666,1028,2659,2738,4743,950,2051,2347,1898,2757,3719,3234,3660,553,1464
4284,618,2471,2807,2152,3483,1042,2775,2688,4781,945,2162,2385,1941,2692,3684,3175,3693,550,1396
4471,653,2478,2752,2229,3556,1069,2796,2761,4839,958,2011,2435,1860,2695,3655,3176,3783,616,1463
4212,640,2528,2738,2140,3590,1055,2739,2684,4783,955,2136,2423,1900,2860,3661,3178,3705,666,1382
4433,674,2365,2853,2203,3481,1062,2769,2716,4759,966,2088,2390,1851,2806,3742,3055,3688,568,1435
4234,674,2521,2729,2224,3543,1100,2701,2713,4826,1007,2115,2390,1837,2856,3916,3055,3673,592,1389
4297,615,2415,2576,2067,3538,1122,2799,2813,4810,874,2129,2340,1879,2834,3779,3187,3541,585,1486
4279,579,2383,2792,2276,3502,1095,2804,2801,4879,859,2141,2352,1873,2762,3799,3130,3654,625,1431
4385,585,2411,2674,2169,3619,1081,2820,2865,4854,997,2070,2391,1856,2748,3793,3146,3596,578,1424
4355,636,2442,2742,2175,3557,1104,2855,2716,4878,998,2113,2439,1829,2728,3830,3168,3675,592,1490
4200,669,2454,2740,2262,3759,1056,2681,2556,4909,937,2154,2466,1919,2823,3802,3127,3626,546,1474
4497,587,2452,2672,2159,3478,1095,2894,2797,4927,919,2139,2384,1915,2672,3792,3237,3610,597,1403
4347,601,2501,2761,2180,3568,1029,2801,2696,4851,912,2108,2436,1933,2785,3753,3119,3664,559,1417
4286,666,2445,2701,2227,3542,1125,2824,2751,4871,931,2160,2378,1857,2709,3813,3290,3590,614,1450
4401,674,2426,2776,2162,3611,1103,2893,2725,4856,942,2145,2346,1901,2862,3667,3075,3758,603,1419
4318,619,2339,2734,2209,3633,1133,2835,2774,4877,948,2152,2356,1888,2779,3800,3160,3547,625,1504
4338,625,2408,2742,2167,3471,1052,2798,2715,5010,947,2026,2473,1899,2809,3659,3063,3685,552,1444
4346,620,2505,2851,2152,3483,1089,2779,2889,4873,941,2078,2297,1939,2789,3738,3124,3660,536,1405
4286,620,2554,2709,2242,3556,1086,2758,2723,4877,1004,2099,2357,1970,2741,3723,3187,3561,571,1517
4437,646,2312,2675,2218,3583,1081,2706,2613,4905,950,2035,2394,1874,2762,3777,3177,3547,548,1411
4496,694,2448,2811,2223,3593,1081,2849,2704,4807,959,2131,2373,1842,2862,3732,2928,3646,556,1391
4279,663,2368,2809,2190,3620,1042,2730,2639,4963,942,2096,2473,1849,2744,3636,3080,3581,593,1437
4287,616,2400,2742,2237,3524,1079,2776,2684,4908,876,2110,2462,1899,2816,3813,3021,3604,577,1524
4319,631,2503,2675,2156,3423,1111,2825,2679,4776,896,2129,2352,1836,2853,3721,3195,3750,555,1411
