Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3810,686,2643,2758,2231,3555,1168,3115,2636,5114,1214,2215,2224,1845,2724,3467,2728,3599,686,1381
3990,707,2691,2785,2234,3631,1137,3083,2739,5161,1176,2036,2320,1905,2793,3554,2813,3500,715,1328
3879,786,2547,2677,2313,3610,1264,3151,2656,5255,1079,2178,2228,1808,2755,3540,2813,3514,699,1357
4019,733,2631,2764,2318,3535,1172,3139,2768,5193,1202,2173,2209,1792,2789,3458,2771,3490,702,1271
4022,726,2652,2611,2243,3521,1246,3024,2775,4986,1146,2086,2240,1910,2803,3544,2877,3529,717,1406
3960,730,2552,2690,2248,3550,1168,3087,2530,5168,1139,2092,2230,1709,2745,3631,2734,3540,650,1379
4022,765,2700,2676,2198,3691,1254,3149,2728,4987,1147,2152,2132,1822,2795,3417,2739,3444,695,1445
3913,727,2575,2815,2202,3586,1209,3129,2769,5199,1091,2167,2255,1819,2784,3457,2789,3403,710,1392
4017,709,2600,2695,2158,3599,1136,3042,2766,5083,1130,2209,2163,1810,2833,3451,2772,3436,683,1346
4035,753,2586,2768,2139,3534,1156,3128,2812,5150,1105,2162,2082,1867,2822,3623,2765,3541,687,1406
3980,711,2613,2699,2276,3661,1298,3156,2652,5266,1166,2255,2186,1747,2774,3408,2731,3444,758,1433
3861,748,2677,2814,2307,3526,1138,3121,2719,5093,1068,2206,2230,1814,2759,3449,2788,3597,731,1382
3901,749,2559,2721,2207,3535,1267,3026,2820,5127,1172,2171,2158,1854,2810,3504,2742,3460,710,1387
3947,749,2740,2631,2302,3726,1222,3169,2676,5132,1251,2137,2118,1772,2755,3479,2860,3538,733,1378
4066,723,2619,2703,2257,3734,1262,3129,2761,5004,1135,2169,2220,1814,2731,3502,2794,3519,682,1379
4057,754,2629,2731,2277,3640,1247,3161,2769,5065,1179,2139,2232,1737,2785,3459,2798,3516,683,1354
3953,759,2595,2695,2310,3641,1256,3116,2742,5122,1217,2185,2156,1835,2739,3524,2738,3601,728,1329
3903,790,2642,2743,2204,3654,1201,3031,2639,5178,1093,2165,2226,1926,2786,3518,2740,3526,709,1421
3850,724,2681,2730,2261,3550,1221,3223,2648,5267,1168,2101,2248,1800,2806,3532,2811,3567,727,1378
3994,712,2680,2735,2200,3511,1202,3094,2671,5123,1185,2163,2281,1902,2747,3362,2787,3511,701,1340
3946,717,2658,2758,2227,3726,1196,3085,2627,5045,1129,2064,2186,1732,2726,3560,2809,3504,720,1395
3903,732,2675,2705,2192,3628,1172,3041,2720,4977,1125,2172,2128,1827,2851,3492,2796,3464,693,1369
4008,730,2660,2871,2201,3556,1263,3028,2715,5202,1157,2057,2172,1898,2815,3531,2661,3420,743,1335
3969,688,2687,2852,2206,3604,1225,3102,2743,4994,1192,2149,2118,1803,2812,3526,2754,3432,687,1326
3839,756,2539,2730,2229,3620,1229,3137,2673,5154,1145,2145,2182,1838,2782,3437,2828,3415,666,1462
3833,693,2728,2750,2256,3563,1238,3118,2680,5005,1161,2231,2216,1816,2776,3449,2851,3497,700,1427
3858,712,2658,2785,2230,3472,1265,3181,2827,5098,1142,2175,2254,1801,2898,3537,2725,3486,692,1371
3878,783,2593,2713,2210,3540,1238,3083,2662,5018,1166,2232,2188,1799,2765,3557,2714,3505,724,1355
4011,816,2708,2710,2203,3622,1226,3066,2722,5030,1141,2178,2209,1810,2689,3520,2736,3464,697,1420
4039,755,2578,2737,2221,3609,1164,3120,2705,5079,1137,2207,2201,1778,2863,3452,2816,3420,663,1310
4021,796,2666,2753,2203,3596,1177,3052,2710,5056,1128,2164,2146,1807,2803,3494,2855,3469,732,1325
3784,698,2612,2759,2327,3623,1253,3233,2636,5164,1157,2191,2148,1880,2792,3676,2852,3485,632,1373
3999,759,2747,2745,2295,3615,1193,3096,2660,5122,1154,2171,2287,1690,2934,3424,2636,3486,667,1381
3851,689,2652,2660,2390,3673,1179,3127,2815,5222,1181,2144,2246,1838,2849,3346,2754,3507,728,1384
3804,710,2684,2732,2236,3572,1200,3131,2691,5028,1171,2092,2293,1874,2772,3459,2794,3538,679,1379
3937,705,2588,2799,2218,3682,1244,3170,2851,4973,1138,2290,2187,1813,2812,3444,2747,3291,670,1350
3903,748,2608,2858,2149,3604,1241,3147,2662,5158,1170,2041,2213,1732,2859,3577,2846,3489,700,1337
4031,767,2671,2670,2265,3597,1264,3193,2669,5139,1188,2161,2275,1793,2743,3382,2839,3526,733,1414
3979,736,2592,2687,2248,3620,1203,3077,2733,5147,1111,2182,2200,1748,2810,3536,2824,3431,685,1410
4017,718,2624,2599,2179,3547,1223,3253,2691,5102,1088,2165,2184,1893,2695,3399,2874,3438,669,1353
3854,751,2541,2845,2126,3663,1184,3052,2792,5069,1166,2112,2231,1919,2738,3460,2774,3529,707,1389
3871,767,2597,2815,2211,3542,1235,2969,2724,5042,1152,2214,2163,1773,2736,3514,2714,3451,660,1396
3982,721,2655,2780,2164,3589,1211,3101,2688,5189,1145,2261,2191,1906,2814,3458,2726,3412,709,1395
4029,684,2735,2839,2246,3562,1120,3193,2834,5075,1088,2227,2203,1835,2815,3534,2725,3387,656,1339
4024,709,2611,2687,2255,3615,1213,3140,2615,5036,1132,2152,2212,1863,2829,3538,2699,3475,692,1402
4141,774,2622,2718,2162,3586,1221,3122,2612,5038,1149,2183,2247,1827,2876,3449,2809,3444,701,1278
3806,729,2753,2792,2310,3715,1197,3131,2790,5046,1122,2256,2162,1876,2764,3601,2787,3510,715,1386
3947,705,2684,2683,2250,3541,1248,3146,2615,5172,1118,2229,2228,1825,2842,3458,2844,3463,658,1442
3877,747,2652,2862,2252,3541,1214,3097,2671,5207,1166,2131,2168,1873,2688,3435,2773,3415,706,1314
4009,705,2535,2706,2216,3627,1135,3050,2628,4992,1180,2155,2190,1758,2772,3462,2674,3636,708,1345
4038,735,2650,2778,2232,3493,1172,3078,2732,5174,1124,2076,2223,1883,2868,3563,2829,3521,636,1453
3851,748,2570,2849,2198,3566,1261,3071,2581,5044,1098,2129,2209,1862,2849,3562,2809,3574,669,1368
3969,759,2712,2819,2282,3620,1290,3167,2721,5163,1155,2182,2225,1830,2704,3436,2759,3483,699,1333
3954,723,2754,2705,2195,3575,1243,3095,2764,4964,1188,2208,2186,1764,2693,3469,2822,3410,650,1377
4003,732,2589,2695,2220,3597,1183,3069,2647,5160,1214,2089,2208,1780,2740,3641,2781,3397,733,1301
3940,774,2820,2907,2259,3593,1170,3026,2650,5093,1116,2076,2275,1804,2751,3478,2671,3497,735,1309
3931,738,2623,2764,2256,3571,1203,3023,2645,5025,1054,2030,2262,1787,2821,3468,2760,3581,725,1412
3843,753,2701,2657,2171,3548,1179,3057,2770,5100,1191,2163,2301,1842,2937,3427,2754,3424,702,1353
