Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3925,505,2950,3291,1973,4052,995,2964,2667,4629,1177,2233,2440,1784,2229,3320,3038,3552,670,1734
3871,508,2863,3260,1911,3995,940,3073,2829,4568,1145,2321,2438,1833,2159,3273,3149,3606,630,1633
3752,507,3020,3222,1980,4104,967,3130,2712,4509,1098,2370,2287,1787,2190,3312,3074,3622,686,1705
3892,460,2976,3213,1868,4143,970,3019,2639,4547,1193,2359,2326,1866,2179,3341,3000,3647,675,1681
3853,494,2927,3277,1951,4090,943,3121,2707,4640,1167,2291,2240,1644,2175,3334,2958,3716,690,1704
3845,533,2987,3276,1944,4188,991,3082,2639,4477,1053,2376,2344,1744,2197,3224,2994,3695,692,1667
3915,476,2906,3310,2004,3967,994,3054,2699,4528,1099,2354,2261,1831,2128,3297,3028,3764,656,1719
3984,424,2945,3239,1959,4105,935,3147,2611,4508,1137,2332,2231,1807,2135,3297,3134,3611,673,1740
3921,503,2977,3376,1858,3945,1004,3070,2842,4566,1136,2317,2292,1733,2218,3338,2975,3658,677,1603
3969,491,2918,3286,1873,4093,971,3161,2651,4596,1129,2274,2252,1861,2166,3343,2998,3672,673,1674
3883,490,2943,3196,1865,4078,1030,3132,2657,4501,1094,2306,2452,1804,2177,3310,3104,3536,671,1746
3822,509,2971,3330,1935,4026,981,2989,2632,4547,1065,2397,2374,1819,2236,3236,3154,3622,668,1695
3886,511,2934,3339,1874,3846,1009,3072,2726,4602,1153,2265,2351,1843,2257,3313,2978,3718,625,1717
3925,509,2885,3222,1914,4206,1000,3147,2712,4515,1119,2291,2153,1833,2246,3364,3010,3721,678,1668
3949,478,2883,3203,1930,3922,945,3143,2731,4529,1143,2439,2287,1883,2260,3345,2970,3515,676,1712
3942,518,2853,3227,1849,4071,1006,2969,2702,4492,1092,2351,2254,1847,2197,3347,3094,3720,697,1787
3851,494,2783,3236,1918,4015,1006,3104,2786,4575,1143,2298,2360,1810,2224,3342,3020,3769,618,1668
3996,462,2918,3357,1891,4158,969,3163,2689,4587,1113,2375,2362,1753,2159,3242,2980,3593,627,1634
4019,495,2980,3322,1896,4030,930,3061,2689,4481,1143,2366,2316,1836,2315,3220,3068,3667,649,1624
3793,502,2921,3407,1842,4095,1021,3096,2696,4490,1156,2339,2411,1843,2217,3260,2896,3680,651,1668
3883,491,2988,3272,1878,4032,1044,3084,2645,4506,1194,2315,2342,1890,2185,3169,3005,3736,683,1683
3868,496,2897,3308,1981,4008,975,2965,2725,4424,1196,2312,2246,1789,2236,3209,3078,3737,710,1777
3839,446,3006,3351,1822,3943,948,3024,2783,4559,1130,2323,2429,1787,2259,3198,2947,3643,689,1744
