Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4766,561,2893,3248,2036,3779,1099,2956,2486,4798,1192,1967,2242,1908,2560,3278,2899,3468,631,1360
4374,536,2826,3078,2041,3718,1132,2871,2589,5011,1056,2024,2192,2008,2660,3363,2730,3268,644,1398
4550,623,3021,3075,2053,3774,1155,2906,2530,4912,1096,2025,2144,1943,2816,3392,2828,3475,633,1433
4528,554,2995,3194,2025,3819,1223,2962,2559,4996,1095,2183,2368,1974,2684,3573,2973,3423,603,1582
4438,529,2857,2967,1979,3710,1123,2903,2522,4951,1070,2036,2101,1986,2648,3461,2697,3379,706,1423
4335,600,2803,3264,1927,3704,1044,2817,2434,4813,1078,2039,2235,1895,2701,3446,2835,3506,575,1405
4540,596,2825,3063,1960,3690,1107,2897,2425,4914,1037,2027,2290,1923,2612,3473,2924,3456,634,1357
4448,626,2828,3086,1941,3707,1109,2836,2471,4758,1051,2018,2234,1907,2721,3435,2859,3345,644,1490
4470,612,2880,3159,2018,3908,1120,3049,2584,5033,1106,2203,2152,2006,2574,3634,2867,3614,653,1493
4601,593,2789,3046,2030,3718,1103,2971,2497,4915,1074,2043,2241,1812,2463,3436,2920,3398,663,1430
4495,557,3005,3077,2045,3745,1187,2957,2475,5087,1040,2103,2242,1857,2565,3416,2957,3386,673,1463
4502,521,2891,3119,1963,3730,1103,2744,2395,4789,1032,1908,2216,1837,2603,3275,2845,3337,618,1404
4511,574,3030,3205,2063,3835,1052,3128,2701,5042,1111,2349,2201,1962,2658,3535,2909,3556,616,1476
4520,642,2925,3124,2075,3941,1103,2985,2581,5052,1070,2231,2250,1986,2598,3463,2901,3468,690,1490
4487,552,3104,3300,2031,3798,1114,2992,2370,4850,1123,2121,2189,1961,2771,3468,2859,3329,657,1478
4725,548,2955,3183,2028,3779,1130,2869,2569,5078,1112,2120,2339,1951,2713,3575,2898,3414,693,1384
4699,555,2867,3070,1993,3928,1173,2787,2381,4783,1088,2005,2154,1888,2560,3318,2849,3413,672,1398
4342,521,2987,3367,2066,3676,1019,3069,2677,4872,1119,2221,2229,2009,2571,3413,2906,3577,618,1537
4354,607,2834,3013,2048,3629,1087,2932,2559,4825,1094,2030,2163,1875,2554,3281,2850,3418,653,1482
4393,548,2925,3125,2115,3701,1154,3023,2575,4888,1089,2222,2241,1905,2769,3623,3067,3335,672,1433
4242,559,2963,3149,2013,3585,1063,2797,2666,4737,1036,2123,2095,1901,2362,3362,2921,3320,673,1473
4547,588,2906,3111,2087,3765,1137,2965,2537,5034,1045,2184,2307,2018,2737,3505,2850,3509,606,1500
4463,549,2956,3104,2056,3587,1155,2921,2526,4761,1004,2105,2181,1948,2557,3383,2782,3368,566,1392
4524,590,2870,3168,2078,3880,1092,2874,2638,4812,1043,2078,2175,1917,2648,3480,2901,3482,620,1464
4568,559,2901,3270,1969,3851,1068,2966,2645,4655,1100,2143,2227,1950,2669,3385,2903,3424,701,1424
4614,674,2853,3184,2073,3660,1140,2950,2625,5083,1044,2058,2225,2017,2641,3536,2933,3503,642,1417
4412,532,2822,3159,1920,3577,1072,2931,2619,4843,1092,2053,2157,1911,2537,3249,2758,3464,669,1440
4538,612,2829,3014,2095,3769,1003,2964,2402,4860,1015,2031,2250,1906,2616,3392,2783,3350,662,1479
4719,622,2954,3157,2114,3788,1183,3087,2615,5158,1040,2109,2234,1938,2735,3434,2994,3392,637,1449
4458,595,2889,2874,1952,3744,1154,2804,2434,4892,1057,2089,2284,1901,2521,3352,2961,3499,688,1556
4185,554,3036,3068,1890,3565,1059,2803,2471,4834,1103,2050,2163,1869,2569,3353,2950,3481,636,1334
4583,597,2902,3018,2058,3633,1126,2920,2491,5105,1112,2112,2209,1998,2668,3362,2894,3526,667,1461
4552,636,2870,3175,2001,3904,1132,2967,2499,4810,1071,1964,2176,1891,2677,3407,2779,3562,597,1410
4802,568,2954,3140,2084,3825,1132,2888,2533,4919,1121,2027,2367,2007,2744,3564,2903,3571,664,1552
