Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4459,674,2698,3091,2015,3726,1019,2850,2719,4714,1085,2134,2149,1836,2525,3614,3016,3423,619,1499
4260,587,2723,3058,2049,3736,1083,2918,2847,4678,1023,2219,2180,1878,2572,3628,3045,3539,618,1450
4470,627,2673,3056,2021,3575,1044,2968,2639,4770,1070,2125,2086,1839,2597,3596,3012,3640,629,1468
4280,662,2700,3115,2000,3617,1040,2852,2722,4711,1033,2272,2163,1894,2578,3597,2982,3630,617,1507
4397,628,2682,3023,2093,3642,1054,2846,2789,4717,1090,2173,2133,1810,2545,3687,3027,3583,609,1501
4272,665,2582,3140,2020,3634,1108,2779,2824,4693,1099,2162,2174,1871,2532,3516,3081,3553,658,1540
4338,643,2761,3054,2077,3618,1101,2843,2918,4732,1044,2131,2196,1853,2530,3536,3009,3539,631,1519
4406,630,2681,3032,2063,3811,1086,2909,2682,4704,1113,2241,2181,1812,2490,3485,2991,3560,640,1501
4295,658,2736,2952,2057,3679,1075,2751,2754,4935,1062,2101,2110,1861,2559,3602,3104,3621,597,1503
4378,690,2589,3087,2066,3690,1146,2810,2749,4785,1046,2156,2169,1927,2516,3495,3112,3395,606,1481
4378,679,2594,3112,2099,3643,1094,2881,2742,4856,1029,2072,2141,1844,2521,3690,3066,3584,637,1462
4450,666,2639,3182,1980,3676,1041,2779,2680,4677,1038,2183,2104,1916,2617,3600,3061,3615,639,1477
4356,606,2712,3029,2042,3669,1053,2810,2826,4806,1075,2133,2184,1929,2475,3506,3107,3569,603,1454
4535,622,2676,2919,2054,3845,1047,2877,2676,4620,1081,2154,2199,1804,2614,3567,3171,3492,666,1456
4381,674,2734,3097,2122,3758,1075,2835,2761,4670,1059,2177,2124,1816,2479,3560,3055,3540,635,1504
4390,667,2656,2908,2047,3631,1116,2834,2724,4840,1051,2151,2044,1936,2503,3619,3147,3646,586,1461
4301,638,2707,3031,2101,3628,988,2934,2805,4546,1052,2283,2131,1972,2577,3635,2929,3512,611,1578
4351,672,2646,3020,2051,3641,1112,2855,2776,4575,1059,2169,2195,1863,2562,3602,3173,3484,654,1539
4415,586,2612,3130,2103,3612,1125,2744,2755,4756,1067,2119,2206,1890,2500,3647,3187,3404,626,1499
4225,613,2563,3029,2126,3747,1058,2809,2865,4812,1077,2218,2133,1839,2620,3636,2936,3451,629,1525
4403,644,2664,3042,2018,3620,1069,2900,2763,4771,1049,2237,2195,1880,2463,3569,3146,3465,640,1450
4283,623,2794,3024,2094,3717,1054,2760,2703,4633,1035,2157,2170,1896,2599,3558,3177,3560,610,1536
4383,654,2686,3091,1999,3535,1042,2889,2752,4739,1061,2199,2225,1859,2505,3605,3224,3485,614,1464
4327,607,2690,2983,2033,3669,1151,2791,2653,4767,1044,2118,2211,1951,2506,3640,3074,3417,676,1511
4313,658,2678,3131,2031,3639,1032,2834,2750,4806,1125,2145,2195,1940,2571,3557,2978,3561,652,1378
4442,674,2672,3009,2072,3651,1134,2901,2707,4762,1104,2195,2141,1805,2525,3403,3210,3615,622,1490
4313,682,2720,2938,2045,3536,1103,2909,2735,4842,1000,2182,2213,1870,2619,3539,3079,3496,585,1461
4334,637,2702,3011,2010,3715,1039,2859,2777,4608,1040,2254,2173,1915,2532,3575,3087,3703,604,1489
4260,657,2727,2987,2068,3702,1045,2901,2892,4791,1065,2164,2209,1936,2498,3563,3125,3474,645,1450
