Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3980,660,2779,3114,2191,3385,1289,2995,2769,4781,1058,2360,2185,2105,2430,3534,3085,3475,571,1594
3883,646,2805,3147,2067,3423,1157,3105,2862,4763,1059,2344,2065,2066,2457,3411,3000,3368,604,1561
3986,650,2795,3212,2004,3349,1212,2968,2936,4840,1070,2288,2207,2249,2536,3402,3076,3479,648,1606
3921,653,2886,3183,2007,3357,1212,3062,2943,4607,1084,2350,2078,2033,2430,3572,3162,3382,603,1722
3881,699,2815,3106,1979,3430,1195,2986,2923,4735,1019,2363,2079,2030,2651,3421,2988,3463,625,1649
3774,631,2653,3075,2017,3236,1203,3109,2857,4598,923,2226,2122,2062,2506,3364,3028,3195,651,1638
4150,667,2855,3215,2082,3503,1296,3173,3007,4832,1123,2346,2257,2125,2518,3534,3136,3406,690,1678
3926,550,2872,3092,1952,3369,1217,3060,2711,4820,1051,2341,2125,2096,2624,3532,2975,3455,675,1666
3952,589,2641,3148,1964,3284,1158,3024,2821,4585,1110,2191,2138,1995,2439,3441,2919,3349,608,1599
3713,661,2806,3098,2081,3364,1134,3041,3025,4564,1055,2345,2127,1967,2381,3528,2998,3291,612,1659
4047,670,2824,3350,2120,3376,1220,3002,2920,4828,1083,2390,2275,2040,2486,3499,3080,3471,592,1704
3855,598,2798,3082,1984,3397,1132,2907,2721,4652,1045,2255,2179,2095,2491,3390,2868,3280,625,1541
3946,621,2742,3149,2078,3437,1189,3093,2852,4750,1077,2284,2247,2005,2522,3600,3156,3483,595,1635
3977,633,2810,3255,1994,3471,1235,3018,2800,4798,1118,2227,2078,2041,2575,3468,3047,3330,581,1633
4112,636,3008,3407,2100,3575,1248,3131,2937,4862,1095,2355,2166,2094,2545,3599,3186,3444,632,1660
3888,639,2645,2959,2069,3391,1195,3058,2916,4853,1045,2062,2198,2052,2481,3517,3050,3339,593,1581
4054,675,2802,2982,2080,3277,1136,3050,2625,4804,1044,2264,2063,2081,2589,3394,3061,3589,607,1672
