Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4616,590,3045,3113,1982,4048,1127,2873,2130,4929,998,1641,2436,1655,3407,2996,2656,3588,723,1464
4598,538,3058,3380,2050,3994,1124,2835,2030,4864,1011,1672,2481,1817,3345,2921,2667,3686,716,1488
4584,578,3076,3247,2011,4014,1032,2705,2049,4861,961,1583,2502,1678,3353,2886,2616,3523,684,1505
4488,590,3044,3273,2032,4077,1098,2918,2144,4812,1020,1707,2495,1751,3229,3101,2651,3602,756,1439
4442,547,2999,3321,2056,4195,1113,2832,2180,5030,1050,1783,2426,1820,3286,3057,2735,3468,727,1499
4649,555,3141,3343,1972,4038,1125,2763,2003,4871,974,1666,2466,1752,3431,3019,2681,3595,681,1473
4616,598,3029,3096,2039,4047,1103,2745,1983,4748,1035,1760,2500,1661,3222,2971,2661,3623,646,1437
4620,525,3060,3279,1981,3973,1104,2778,1933,4783,998,1733,2490,1739,3232,3000,2689,3530,669,1440
4690,587,2952,3243,1964,3941,1094,2788,1987,4754,976,1687,2510,1725,3439,3006,2599,3512,659,1412
4430,581,2985,3138,2142,3937,1085,2868,2053,4682,1059,1707,2412,1787,3361,3119,2610,3624,633,1390
4478,509,2924,3181,2097,4132,1080,2866,2048,4809,987,1774,2422,1618,3392,3008,2677,3623,716,1450
4483,577,3059,3322,2049,3975,1079,2884,2181,4790,1058,1734,2457,1741,3392,2979,2704,3494,714,1536
4512,560,3057,3366,1948,4072,1072,2878,2029,4715,1035,1617,2520,1708,3199,3015,2641,3555,671,1518
4702,524,2893,3299,2024,4069,1110,2838,2062,5198,1047,1746,2462,1732,3418,2929,2672,3598,658,1397
4545,519,2973,3213,2031,4036,1003,2931,2057,4899,977,1683,2472,1747,3242,3043,2595,3574,703,1519
4572,543,3030,3259,2120,3857,1130,2902,2049,4917,1029,1656,2632,1740,3389,3030,2732,3398,706,1538
4572,520,3003,3177,1984,3932,1091,2759,1928,4829,980,1693,2487,1670,3228,2996,2673,3640,684,1432
4375,531,2914,3113,2128,4027,1048,2815,2009,4899,1044,1771,2379,1688,3120,3118,2616,3509,689,1501
4530,535,2995,3240,2160,3958,1062,2848,2038,4641,1046,1783,2462,1733,3264,3016,2763,3500,683,1461
4664,569,3139,3263,2018,4057,1032,2781,2052,4933,1026,1739,2463,1762,3221,3043,2658,3598,718,1513
4362,606,2994,3184,2085,3895,1076,2756,2090,4743,1072,1645,2289,1636,3200,3039,2589,3486,639,1463
4446,555,2884,3199,2134,3962,1094,2867,2095,4712,976,1749,2421,1699,3163,3028,2636,3494,626,1413
4591,566,3056,3287,2032,3915,1087,2801,2113,4850,954,1772,2456,1642,3359,2976,2704,3499,674,1469
4522,588,3058,3282,2180,4053,1134,2819,1992,4922,1015,1754,2558,1708,3445,3011,2706,3566,738,1534
4577,601,2964,3210,2100,3990,1148,2795,2022,4873,1077,1751,2469,1716,3323,3057,2685,3526,660,1537
4527,563,3055,3361,1983,3940,1087,2874,2142,4870,1053,1666,2458,1817,3593,3038,2715,3524,687,1459
4583,596,3146,3334,2102,4083,1047,2865,1983,4834,1003,1642,2553,1764,3422,3149,2674,3637,752,1564
4639,524,3079,3236,2084,3949,1097,2900,2045,4880,1073,1739,2490,1733,3397,3035,2666,3698,694,1433
4416,559,3165,3417,2113,3769,1141,2755,2052,4783,1075,1726,2561,1794,3320,2978,2754,3588,698,1450
4269,563,3057,3299,2185,3945,1121,2940,2198,4744,1005,1813,2399,1701,3281,3021,2685,3517,693,1500
4646,549,3003,3287,2062,4070,1023,2892,2030,4738,1001,1722,2510,1687,3214,2975,2679,3497,666,1437
4477,582,2953,3199,2094,3843,1089,2804,2062,4772,1008,1772,2522,1696,3187,3015,2776,3611,686,1441
4515,579,3081,3236,1996,3980,1091,2865,2209,4840,1110,1757,2387,1705,3389,3084,2665,3453,704,1587
4534,575,2943,3263,2067,3853,1139,2946,2137,4805,1048,1719,2411,1698,3321,2969,2713,3609,748,1529
4761,605,3137,3341,2163,4202,1090,2843,2021,4969,1048,1735,2527,1725,3493,3191,2653,3683,727,1503
