Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
5072,518,2822,2840,2125,3807,1095,3066,2540,4951,1149,2070,2118,1950,2748,3312,2938,3614,664,1341
5022,513,2708,2706,2057,3699,1125,3201,2584,5037,1013,2130,2139,1849,2561,3231,2915,3690,623,1352
5045,529,2814,2746,1953,3917,1084,3084,2414,4948,1112,1934,2357,1902,2735,3262,2882,3755,640,1332
4901,569,2783,2801,2051,3840,1081,3240,2611,5085,1112,2147,2263,1783,2497,3515,3144,3734,631,1500
4709,513,2719,2892,1956,3741,1113,3070,2405,5075,1032,2113,2250,1839,2560,3344,2838,3604,629,1381
4664,571,2675,2861,1890,3539,1138,3090,2366,4770,1080,1949,2099,1815,2414,3201,2784,3553,594,1342
4983,491,2708,2924,1876,3655,1121,3152,2425,5024,1095,2133,2194,1981,2692,3291,3013,3694,629,1369
4905,496,2663,2857,1888,3658,1112,2974,2420,4833,1085,1908,2202,1915,2652,3176,2854,3463,614,1416
4951,538,2787,2976,2001,3846,1121,3159,2633,4982,1230,2125,2327,1936,2608,3261,2843,3798,668,1384
4834,556,2854,2897,2111,3887,1111,3160,2588,5133,1189,2150,2299,1975,2639,3367,2896,3655,687,1459
4770,497,2761,2721,1920,3448,1044,2954,2296,4893,1050,1952,2107,1859,2578,3080,2881,3446,564,1353
4982,551,2664,2887,1938,3773,1134,3142,2393,5168,1062,2017,2243,1970,2622,3432,3072,3753,661,1306
5006,512,2697,2878,1980,3652,1093,3099,2493,5116,1112,2040,2335,1881,2537,3280,2884,3830,605,1350
4933,569,2747,2672,2023,3910,1087,3154,2424,5131,1116,2032,2382,1917,2644,3359,2917,3738,639,1407
4842,590,2825,2903,1945,3831,1168,3158,2556,4896,1112,2129,2347,1886,2620,3346,2943,3551,621,1397
4949,488,2803,2820,2023,3818,1127,3179,2643,5111,1159,2042,2349,1860,2582,3349,2951,3816,655,1444
4885,510,2640,2868,1964,3856,1099,3126,2475,4847,1040,2029,2354,1861,2482,3252,2840,3658,602,1362
5058,523,2670,2883,1872,3695,1057,3057,2482,4928,1106,2058,2208,1983,2462,3311,2867,3733,583,1346
4779,517,2616,2677,1888,3523,1128,3000,2300,4716,1035,1922,2111,1826,2439,3148,2789,3455,540,1247
4904,546,2699,2685,1958,3806,1033,3109,2368,4811,1158,2073,2228,1904,2520,3314,2858,3651,613,1426
4744,485,2644,2804,1922,3644,1134,3074,2511,4866,1059,1959,2085,1859,2487,3194,2796,3513,580,1371
5038,549,2777,2955,2075,3993,1152,3147,2434,5114,1129,2103,2302,1902,2652,3346,2974,3770,662,1419
4875,577,2623,2825,1943,3728,1064,3117,2566,5011,1092,2010,2203,1795,2505,3421,2936,3615,581,1439
5013,562,2721,3066,2081,3846,1118,3145,2535,5229,1165,2031,2346,1944,2843,3338,2953,3584,678,1414
4850,524,2676,2803,1912,3667,1124,3029,2529,4943,1027,2034,2149,1866,2473,3322,3016,3503,597,1408
5242,567,2724,2882,2036,3858,1041,3109,2540,5036,1158,2052,2292,1912,2776,3331,2942,3762,671,1419
5152,511,2731,2713,1983,4057,1131,3045,2425,5123,1021,1989,2302,1847,2728,3236,2969,3792,615,1363
4928,517,2685,2961,2001,3838,1172,3117,2533,5122,1079,2041,2250,1913,2561,3293,2832,3781,623,1375
4904,512,2719,2631,1864,3480,1088,2996,2250,4683,1086,2015,2069,1820,2537,3153,2624,3484,599,1337
4973,517,2661,2899,1890,3576,1090,3052,2489,4944,1061,1960,2260,1861,2649,3140,2782,3641,603,1280
4979,541,2695,2904,2116,3669,1109,3092,2539,5031,1158,2074,2285,1940,2650,3295,2874,3612,628,1431
5219,505,2765,2770,2056,3914,1130,3008,2330,5022,1124,2000,2299,1986,2512,3410,2968,3666,678,1322
4890,597,2786,2944,2056,3790,1068,3192,2651,4914,1194,2045,2279,1941,2577,3128,2874,3645,638,1508
4874,528,2656,2917,1997,3853,1091,3108,2542,4950,1081,1930,2189,1908,2579,3264,2744,3645,584,1352
4984,507,2708,2818,2014,3888,1054,2921,2278,5104,1087,1890,2257,1890,2696,3264,2992,3748,623,1432
4963,522,2785,2933,2114,3847,1188,3151,2532,4910,1062,2063,2298,1985,2682,3333,3025,3649,645,1444
4823,552,2691,2902,1952,3588,1050,3067,2393,4894,1094,1896,2200,1849,2438,3142,2723,3713,581,1328
5064,524,2583,2722,1900,3787,1130,3048,2454,4914,1125,1933,2224,1898,2608,3093,2782,3645,634,1333
4953,517,2770,2871,1969,3783,1109,3192,2511,4910,1108,1904,2292,1914,2701,3125,2834,3617,678,1421
4932,492,2539,2842,1972,3795,1052,3127,2496,4880,1096,2001,2187,1839,2522,3286,2742,3681,625,1358
4830,514,2716,2819,2052,3772,1141,3052,2366,4989,1071,2014,2182,1854,2415,3269,2818,3624,707,1367
4956,535,2632,2810,2069,3726,1090,2941,2465,4841,1046,2067,2197,1927,2610,3244,2978,3549,648,1351
5005,553,2668,2807,1941,3681,1141,2940,2393,4921,1163,1937,2183,1848,2599,3151,2808,3635,585,1348
4760,494,2571,2838,2000,3564,1012,3133,2384,4928,1023,1968,2184,1822,2499,3161,2632,3479,689,1279
4828,535,2622,2841,1830,3776,1117,3086,2571,5038,1080,1989,2217,1816,2554,3135,2913,3685,559,1296
5306,567,2826,2927,1995,3949,1139,3064,2459,5163,1122,1951,2319,1922,2658,3395,2876,3839,673,1375
