Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4682,510,2795,2909,2093,3719,1140,3041,2527,4890,1047,2038,2220,1732,2658,3233,2811,3472,665,1360
4579,522,2618,2676,1904,3611,1033,2999,2424,4804,952,1913,2190,1830,2574,3239,2804,3562,629,1295
4842,493,2778,2932,2035,3738,1097,3234,2635,4950,1019,2070,2128,1876,2632,3246,2888,3581,597,1364
4825,535,2720,3040,2086,3812,1151,3162,2629,4941,1074,2052,2278,1744,2673,3194,2740,3721,626,1385
4763,515,2617,2952,2027,3605,1143,3046,2412,5012,1098,1885,2247,1780,2667,3237,2765,3566,676,1273
4734,538,2838,2997,1961,3779,1091,3192,2511,4951,972,1999,2185,1841,2641,3217,2710,3608,661,1280
4934,537,2655,2877,2051,3810,1135,2988,2521,4832,1063,2042,2281,1853,2703,3188,2732,3722,620,1354
5168,592,2734,2967,2168,3842,1204,3042,2390,5210,1073,1916,2425,1868,2845,3355,2859,3683,626,1353
4661,521,2645,2829,1952,3824,1078,3075,2569,4846,1070,2051,2089,1813,2474,3220,2919,3563,632,1325
4637,496,2719,2934,2095,3580,1114,3174,2712,4897,1041,2022,2188,1932,2472,3209,2790,3488,576,1403
4930,549,2879,2928,2002,3836,1102,3119,2502,5090,1108,1998,2307,1902,2731,3363,2958,3684,649,1462
4763,511,2720,2938,2139,3716,1158,2999,2540,4975,1077,1991,2219,1897,2723,3298,2874,3611,594,1407
4866,467,2667,2816,2007,3666,1035,3008,2451,4968,1025,1974,2257,1870,2648,3432,2875,3634,643,1416
5100,471,2739,2866,2009,3948,1053,3115,2538,5118,1031,2033,2252,1928,2803,3279,2972,3789,655,1321
4603,527,2549,2657,2017,3640,1095,3067,2419,4705,1005,1976,2215,1876,2530,3207,2853,3434,591,1343
4684,522,2842,2937,2038,3737,1151,3152,2560,4934,1053,2169,2174,1777,2693,3194,2829,3636,561,1433
4858,473,2712,2927,1932,3707,1057,3019,2435,4947,1089,1946,2342,1877,2655,3136,2794,3580,632,1265
5019,449,2824,3003,2040,3824,985,3271,2764,5156,999,2212,2347,1865,2651,3411,2968,3588,645,1446
