Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
5072,653,2592,2732,1768,3602,1138,2486,2215,4917,1013,1630,2306,2017,2744,3129,2619,3479,626,1212
5246,622,2632,2880,1937,3643,1197,2524,2280,4981,1050,1687,2410,2102,2920,3290,2625,3446,638,1133
5179,688,2614,3009,2016,3684,1249,2634,2290,5072,1063,1794,2347,1973,2821,3359,2789,3548,586,1129
4789,593,2520,3001,1836,3428,1061,2472,2179,4732,983,1737,2296,1893,2631,3038,2606,3349,631,1099
5130,642,2480,2752,1907,3805,1221,2518,2168,4954,1042,1759,2407,2047,2856,3329,2758,3509,690,1096
5127,730,2565,2817,1951,3807,1208,2638,2296,5146,1107,1791,2333,2040,2885,3276,2856,3680,676,1192
4979,657,2591,2949,1943,3640,1170,2613,2277,4911,1101,1761,2459,2133,2938,3351,2773,3380,652,1234
5013,612,2557,2880,1883,3499,1129,2567,2236,5026,1018,1736,2403,2067,3071,3248,2636,3349,662,1115
5157,618,2720,2966,1860,3977,1112,2693,2402,5143,1144,1826,2436,2097,2893,3300,2940,3594,685,1246
5004,653,2678,3041,1877,3618,1114,2688,2344,5001,1125,1818,2380,2197,2812,3210,2673,3499,650,1181
5479,688,2690,3025,1997,3811,1292,2587,2344,5249,1162,1749,2558,2235,3131,3459,2810,3597,735,1230
4979,652,2495,2867,1845,3564,1258,2523,2312,5023,1114,1765,2413,2059,2935,3112,2647,3500,612,1172
5294,675,2773,3008,1971,3739,1262,2600,2318,5264,1142,1840,2476,2148,2854,3391,2919,3614,701,1274
5167,688,2710,3059,2080,3796,1193,2745,2446,5347,1081,1826,2392,2146,2966,3479,2778,3620,720,1240
5306,630,2582,2973,1989,3668,1188,2697,2306,5148,1041,1809,2406,2046,3011,3406,2793,3474,661,1147
5098,593,2714,2868,1903,3704,1191,2698,2292,5090,1096,1824,2403,2048,2907,3360,2822,3553,689,1237
5058,657,2636,2856,1953,3574,1251,2521,2299,5096,1080,1815,2407,2056,2994,3441,2796,3466,679,1213
5121,597,2646,2845,1901,3679,1163,2639,2309,5010,1087,1768,2359,2047,2830,3178,2781,3356,675,1143
5170,611,2663,2917,1872,3887,1139,2609,2299,5004,1040,1792,2385,1999,3003,3368,2873,3634,686,1155
5205,679,2670,2892,1911,3704,1251,2562,2342,4926,1049,1797,2412,1972,2924,3235,2767,3420,630,1271
4969,674,2601,2688,1877,3632,1181,2677,2244,4977,1141,1828,2395,1989,2833,3295,2690,3571,684,1147
5239,615,2757,2940,1930,3776,1270,2661,2269,5144,1119,1901,2511,1889,2878,3391,2791,3630,676,1208
5259,633,2676,2921,1882,3724,1155,2553,2153,5077,1068,1684,2401,2004,2929,3300,2728,3522,673,1165
5091,670,2599,3017,1866,3667,1253,2469,2292,4858,1069,1728,2365,1954,2823,3267,2799,3584,658,1151
5115,618,2665,2967,2006,3724,1210,2679,2388,5064,1081,1882,2382,2016,2881,3349,2734,3555,670,1275
4893,653,2632,2898,1954,3503,1175,2784,2231,5013,1042,1860,2452,2059,2907,3443,2898,3392,576,1170
5036,634,2565,2978,1927,3779,1217,2648,2271,4985,1110,1795,2422,2013,2952,3154,2777,3515,693,1196
5121,609,2601,2984,1956,3602,1169,2626,2132,5072,1040,1816,2374,2071,2885,3305,2828,3560,681,1177
5470,731,2722,3092,2057,3877,1212,2639,2651,5282,1055,1906,2467,2138,3101,3294,3007,3685,721,1287
5019,604,2709,2862,1779,3770,1130,2595,2292,4962,981,1736,2474,2019,3019,3325,2997,3598,584,1138
5178,718,2643,2936,1985,3700,1185,2660,2244,5006,1070,1820,2307,1958,2875,3461,2737,3515,664,1251
5258,710,2708,2936,2001,3771,1232,2596,2354,5063,1117,1851,2423,2026,2892,3320,2862,3585,724,1201
5263,689,2652,2973,1908,3715,1169,2551,2242,5155,1084,1742,2425,1903,2919,3242,2779,3441,664,1160
4915,636,2546,2852,1876,3720,1254,2473,2161,4836,1042,1763,2371,2109,2902,3147,2750,3586,699,1137
5169,628,2559,2918,1978,3855,1152,2527,2220,4922,1116,1718,2371,1986,2896,3296,2742,3500,722,1149
