Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4009,596,2810,3293,2183,3869,1098,3239,2759,4793,1070,2216,2344,1755,2661,3461,2727,3559,646,1411
4074,619,2916,3114,2087,3881,1127,3085,2511,4686,1010,2165,2392,1760,2599,3553,2781,3395,662,1456
4078,614,2694,3136,2008,3903,1146,2975,2749,4786,1095,2104,2310,1788,2591,3384,2832,3505,641,1402
4092,643,2787,3283,2088,3802,1168,3045,2539,4813,1023,2183,2350,1791,2605,3482,2820,3458,661,1374
4305,625,2877,3166,2073,3738,1136,3064,2503,4845,1062,1973,2395,1790,2604,3294,2616,3436,679,1381
4047,615,2851,3329,2035,3917,1097,2944,2616,4642,1015,2104,2312,1787,2752,3428,2716,3564,671,1310
4043,683,2857,3301,2165,3885,1166,3216,2748,4630,1070,2225,2293,1829,2581,3471,2789,3602,694,1463
3969,651,2844,3316,2029,3925,1118,3164,2673,4870,1021,2099,2327,1730,2685,3406,2819,3461,700,1465
4096,654,2953,3235,2205,3875,1214,3008,2662,4855,1048,2081,2304,1871,2681,3496,2769,3533,688,1452
3905,584,2909,3293,2071,3715,1148,3093,2651,4618,1035,2027,2220,1794,2539,3405,2647,3281,691,1397
3967,620,2831,3136,2097,3745,1103,3153,2653,4860,1030,1975,2385,1743,2593,3423,2686,3530,646,1364
4041,622,2835,3121,2105,3913,1099,3114,2650,4862,1095,2189,2311,1731,2562,3461,2780,3462,711,1420
4187,606,2889,3285,2145,3777,1125,3100,2660,4856,1156,2111,2285,1802,2657,3394,2850,3441,646,1329
4168,643,2911,3230,2099,3749,1112,3144,2690,4582,1041,2126,2211,1654,2637,3328,2696,3339,677,1370
3941,586,3002,3247,2080,3922,1142,3158,2704,4805,1060,2025,2340,1817,2577,3399,2775,3396,670,1291
4097,599,3002,3127,2057,3865,1139,2947,2466,4792,1018,2138,2169,1878,2628,3434,2968,3480,646,1388
4019,616,2948,3196,2026,3742,1215,3048,2618,4737,1042,2146,2431,1705,2701,3419,2667,3513,691,1388
4097,640,2814,3364,2011,3835,1194,2926,2564,4752,968,2028,2327,1923,2769,3412,2642,3481,634,1350
4163,564,2898,3111,2052,3968,1123,3146,2823,4759,1083,2192,2292,1746,2611,3572,2880,3603,615,1414
4069,585,2739,3288,2086,3952,1190,3060,2675,4779,953,2055,2290,1738,2550,3457,2735,3421,682,1406
3974,653,2918,3162,2191,3910,1157,3041,2642,4896,1094,2057,2361,1721,2605,3482,2781,3436,677,1403
4145,635,2740,3285,2092,3700,1227,3171,2575,4734,1072,2113,2325,1801,2587,3318,2716,3397,663,1394
4066,585,2828,3236,2115,3838,1193,3125,2706,4546,1068,2296,2263,1726,2494,3384,2831,3564,682,1454
4112,627,2835,3152,2049,3867,1142,3012,2584,4771,1064,2152,2327,1797,2647,3454,2826,3482,658,1341
4047,641,2835,3327,2167,3933,1115,3048,2548,4753,1042,2191,2324,1871,2727,3390,2709,3428,711,1415
4099,597,2672,3433,2025,3778,1118,2966,2668,4661,1120,2067,2198,1699,2659,3469,2739,3523,640,1435
4011,608,2820,3187,2079,3733,1092,3192,2639,4854,1023,2195,2238,1824,2570,3397,2760,3424,684,1384
3992,671,2892,3339,2065,3839,1199,3140,2637,4745,1082,2125,2363,1821,2552,3513,2813,3451,671,1435
4224,602,2871,3378,2131,3769,1139,3060,2784,4790,1093,2142,2461,1864,2615,3507,2778,3457,722,1325
4065,639,2821,3223,2105,3866,1143,3186,2818,4768,1090,2242,2347,1869,2595,3469,2780,3362,697,1433
4105,648,2899,3274,2074,3871,1169,3120,2759,4803,1024,2194,2311,1850,2593,3476,2797,3417,726,1422
4163,563,2861,3332,2035,3894,1202,2967,2635,4761,1023,2062,2239,1825,2726,3405,2823,3527,705,1471
4047,563,2873,3175,2119,3794,1119,3197,2729,4964,1027,2158,2356,1802,2599,3367,2664,3431,676,1395
4025,576,2899,3326,2118,3681,1180,3034,2734,4710,1096,2212,2267,1759,2617,3480,2806,3424,693,1522
4025,615,2861,3354,2132,3898,1192,3028,2556,4818,997,2080,2365,1723,2676,3374,2743,3501,725,1405
