Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3716,567,2770,3179,2301,3503,1016,3632,3606,4681,1066,2728,2045,1766,2268,3533,2705,3146,602,1490
3579,528,2851,3243,2258,3301,1037,3556,3455,4752,1026,2699,1956,1824,2147,3436,2602,3046,583,1587
3521,580,2776,3313,2306,3414,1043,3773,3473,4801,1007,2602,1944,1681,2256,3506,2585,3158,587,1500
3727,642,2800,3132,2299,3531,1076,3492,3324,4731,1054,2579,2064,1695,2256,3557,2691,3103,624,1463
3574,570,2787,3187,2228,3544,947,3621,3402,4905,957,2685,2076,1698,2293,3501,2549,3260,634,1466
3587,571,2666,3403,2279,3472,1006,3433,3403,4762,1070,2702,2014,1820,2167,3607,2696,3074,634,1436
3641,539,2802,3194,2138,3534,994,3559,3354,4768,976,2631,2084,1730,2221,3591,2747,3291,575,1432
3607,628,2858,3374,2340,3667,1020,3792,3675,4891,1079,2618,2096,1746,2229,3543,2834,3284,635,1509
3677,573,2817,3199,2226,3484,960,3461,3446,4756,961,2586,2046,1757,2296,3627,2640,3127,629,1472
3678,597,2824,3144,2251,3720,1062,3687,3534,4765,1038,2562,2015,1738,2159,3542,2734,3101,614,1488
3559,543,2849,3230,2139,3549,945,3689,3447,4611,1003,2637,2008,1810,2184,3491,2696,3070,559,1477
3724,497,2850,3164,2221,3489,1027,3582,3406,4987,1009,2669,2070,1734,2161,3607,2635,3220,610,1469
3763,615,2764,3201,2407,3663,1076,3687,3431,4824,1033,2649,2043,1789,2255,3556,2810,3140,619,1535
3655,594,2693,3073,2231,3484,1053,3532,3328,4774,1091,2535,2021,1729,2225,3421,2629,3078,584,1461
3693,557,2763,3218,2271,3557,983,3629,3442,4660,1024,2630,2049,1689,2138,3424,2547,3088,542,1443
3732,577,2783,3121,2315,3543,1028,3524,3265,4932,1021,2435,2118,1739,2269,3615,2784,3225,598,1505
3629,573,2653,3282,2245,3501,1083,3673,3522,4928,986,2733,2037,1649,2233,3536,2615,3229,637,1492
3649,581,2879,3276,2359,3488,1033,3668,3460,4974,1021,2565,2136,1777,2249,3531,2675,3212,662,1489
3639,589,2796,3191,2297,3597,966,3663,3428,4777,1033,2719,2044,1695,2183,3452,2647,3302,583,1447
3699,609,2775,3250,2189,3495,1090,3514,3333,4807,1132,2440,1973,1746,2202,3571,2643,3136,614,1439
3624,566,2858,3355,2321,3492,1066,3728,3476,5002,1030,2601,2067,1610,2263,3582,2590,3109,607,1418
3667,594,2764,3388,2337,3506,1029,3561,3392,4728,1075,2607,2098,1678,2207,3598,2793,3199,639,1501
3726,574,2811,3172,2250,3643,999,3537,3237,4824,1037,2558,2039,1711,2272,3492,2712,3235,555,1469
3700,595,2792,3112,2327,3588,1005,3683,3376,4827,1051,2670,2094,1690,2214,3645,2700,3208,600,1517
