Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3506,549,2734,2998,2419,3523,1147,3606,3357,4944,1088,2752,2009,1932,2180,3515,2868,3191,595,1774
3531,545,2762,3111,2389,3455,1135,3745,3314,4900,1142,2710,1989,1954,2201,3529,2930,3171,598,1805
3541,538,2656,3073,2397,3245,1114,3816,3478,4914,1139,2799,1930,2006,2098,3610,3040,3063,572,1743
3534,579,2761,2970,2290,3437,1139,3664,3300,4743,1135,2665,1989,1984,2171,3486,2947,3243,621,1724
3430,538,2552,2881,2414,3266,1096,3713,3300,4639,1087,2589,1926,1815,2002,3465,2653,3096,556,1728
3612,581,2712,2928,2469,3402,1158,3781,3201,5001,1206,2648,2051,1846,2047,3543,2901,3090,580,1703
3348,535,2708,3034,2345,3274,1052,3787,3334,4709,1121,2763,2030,1881,1982,3571,2853,3159,558,1734
3438,539,2662,2906,2300,3295,1098,3744,3299,4692,1064,2746,1943,1919,2009,3525,2745,3038,603,1635
3463,584,2719,3121,2315,3313,1100,3688,3281,4783,1126,2626,1854,1870,2139,3507,2876,3194,570,1717
3355,580,2602,3051,2325,3389,1203,3872,3359,4838,1124,2648,1990,1881,2052,3539,2759,3144,601,1795
3327,596,2658,2942,2471,3311,1170,3771,3359,4852,1107,2651,1936,1892,2000,3519,2883,3115,581,1692
3366,565,2834,2992,2356,3440,1084,3799,3362,4755,1080,2798,1961,1937,1953,3641,2924,3117,582,1754
3457,542,2697,3113,2336,3245,1090,3703,3468,4907,1104,2727,1988,2019,1989,3580,2841,3146,523,1653
3470,579,2757,3108,2297,3356,1144,3807,3411,4836,1040,2769,1956,1896,2096,3528,2829,3011,580,1760
3464,522,2622,3001,2237,3191,1138,3537,3253,4605,1098,2616,1936,1930,2087,3410,2836,3066,575,1645
3252,493,2580,2979,2294,3116,1100,3603,3207,4482,1017,2657,1897,1777,1936,3307,2797,3063,549,1632
3422,523,2688,3003,2369,3227,1068,3631,3405,4669,1063,2698,1918,1852,1998,3560,2865,3116,565,1685
3204,544,2712,2862,2318,3407,1100,3647,3298,4452,1129,2627,1873,1901,1993,3499,2767,3035,541,1721
3206,559,2738,3018,2286,3175,1104,3736,3531,4699,1034,2691,1926,1823,1972,3503,2767,3077,585,1788
3342,601,2714,3041,2278,3153,1136,3760,3446,4781,1077,2544,1919,1921,2041,3605,2708,3131,621,1663
3474,575,2694,2975,2387,3280,1065,3745,3309,4691,1043,2472,1931,1854,1996,3433,2736,3019,548,1710
3424,603,2653,2929,2362,3375,1202,3727,3395,4803,1077,2691,1982,1886,1999,3444,2714,3076,586,1713
3261,541,2672,3137,2360,3194,1113,3857,3657,4944,1085,2704,1982,1988,2145,3556,2784,3086,585,1713
