Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4283,625,3420,3742,1817,3639,1194,2652,1525,4818,902,1560,2226,1693,2888,3360,3149,4095,635,1423
4320,645,3387,3830,1826,3680,1184,2716,1671,4773,869,1673,2277,1689,2991,3475,3186,4004,600,1538
4274,704,3507,3705,1842,3625,1139,2695,1651,4789,935,1659,2213,1763,2822,3493,3145,4024,641,1457
4328,657,3245,3732,1889,3557,1155,2650,1558,4865,885,1631,2292,1725,2944,3414,3056,4001,641,1516
4133,647,3483,3664,1825,3663,1229,2665,1616,4908,887,1593,2305,1733,2994,3459,3235,3901,604,1467
4182,732,3468,3852,1869,3609,1268,2645,1671,4700,871,1673,2238,1764,2908,3397,3029,4013,612,1451
4380,687,3437,3680,1850,3532,1144,2569,1553,4696,872,1643,2275,1730,3003,3438,3129,4043,634,1459
4299,694,3454,3803,1839,3632,1209,2665,1656,4762,857,1604,2248,1734,2999,3443,3167,4003,641,1468
4267,691,3527,3804,1812,3569,1172,2650,1605,4752,831,1594,2226,1732,2988,3345,3219,4052,639,1490
4302,657,3406,3705,1868,3664,1223,2738,1613,4886,890,1618,2220,1742,2877,3426,3115,3973,623,1434
4264,665,3439,3813,1780,3669,1179,2661,1588,4538,883,1644,2227,1660,2933,3339,3093,3984,638,1487
4286,677,3365,3781,1809,3687,1200,2654,1682,4659,867,1639,2293,1673,2953,3487,3197,4127,593,1458
4259,642,3580,3905,1810,3569,1187,2640,1586,4729,852,1656,2359,1675,2975,3493,3117,3883,610,1414
4171,741,3533,3885,1948,3541,1146,2698,1634,4753,921,1572,2293,1783,2996,3388,3127,3956,619,1470
4304,741,3415,3749,1904,3513,1231,2654,1623,4812,853,1647,2316,1660,2872,3364,3248,3997,618,1456
4295,668,3455,3856,1804,3591,1206,2780,1561,4747,861,1635,2263,1787,2955,3422,3261,3877,679,1536
4249,707,3501,3655,1805,3725,1272,2704,1581,4761,822,1609,2224,1733,2912,3459,3151,4028,627,1492
4239,670,3517,3834,1775,3717,1259,2666,1559,4800,863,1640,2268,1683,2888,3538,3084,4064,609,1403
4171,665,3568,3763,1917,3608,1290,2600,1592,4724,842,1608,2289,1745,2994,3362,3076,4055,662,1500
4378,686,3444,3686,1862,3639,1270,2586,1618,4840,802,1639,2259,1650,3024,3599,3112,4101,662,1475
4487,665,3395,3706,1857,3677,1249,2755,1530,4717,922,1605,2200,1754,2970,3503,3106,4004,577,1457
4418,673,3409,3753,1773,3737,1224,2581,1702,4736,847,1594,2290,1736,2957,3379,3112,4033,667,1430
4302,711,3411,3684,1813,3704,1235,2661,1586,4853,928,1613,2220,1821,2979,3506,3150,4016,688,1515
4303,682,3396,3818,1887,3594,1240,2655,1593,4843,903,1618,2258,1733,2892,3495,3146,4106,563,1512
4317,735,3482,3733,1844,3720,1189,2605,1604,4719,873,1655,2235,1753,2968,3487,3093,4111,611,1461
4088,668,3471,3854,1819,3589,1305,2666,1556,4780,861,1655,2374,1748,2914,3479,3215,4007,602,1502
4264,702,3448,3838,1858,3719,1258,2650,1580,4723,915,1576,2218,1754,2899,3495,3198,3884,617,1430
4317,642,3393,3920,1816,3660,1236,2783,1613,4873,905,1592,2355,1707,2846,3375,3109,3979,645,1495
4267,661,3463,3757,1895,3682,1189,2540,1586,4743,787,1568,2308,1713,2999,3390,3196,4050,566,1378
4296,723,3512,3824,1826,3742,1202,2552,1647,4886,857,1567,2289,1715,2922,3410,3219,3974,637,1436
4199,699,3363,3790,2017,3642,1279,2604,1527,4850,891,1649,2335,1760,2928,3388,3172,4017,637,1474
4385,734,3460,3690,1875,3627,1296,2684,1596,4887,874,1674,2331,1762,2963,3482,3167,4032,633,1448
4318,679,3552,3722,1836,3690,1210,2699,1620,4713,857,1642,2213,1691,3017,3478,3105,4103,640,1421
4271,669,3458,3699,1901,3720,1211,2640,1676,4797,923,1631,2329,1773,2948,3346,3112,3998,696,1474
4301,679,3382,3785,1749,3627,1207,2681,1646,4692,799,1653,2195,1761,2858,3500,3183,4068,664,1471
4251,705,3553,3818,1803,3565,1204,2684,1630,4791,865,1624,2327,1780,2876,3454,3038,3977,604,1478
4278,622,3402,3847,1922,3655,1163,2622,1576,4882,798,1651,2287,1650,2997,3433,3083,3889,624,1476
4288,656,3431,3827,1830,3542,1227,2633,1720,4760,902,1679,2362,1772,2912,3460,3160,3953,666,1437
4427,663,3342,3795,1798,3634,1233,2695,1671,4843,883,1639,2282,1699,2998,3434,3130,3934,635,1486
4358,695,3434,3709,1809,3604,1191,2651,1645,4721,848,1510,2158,1745,2969,3279,3156,4107,601,1516
4232,652,3534,3748,1885,3471,1156,2697,1571,4824,855,1629,2341,1761,2955,3529,3055,3931,620,1481
4276,612,3314,3779,1886,3573,1124,2721,1625,4783,866,1606,2295,1698,2943,3496,3105,4042,678,1533
4218,708,3384,3698,1912,3500,1235,2751,1712,4882,899,1640,2297,1746,2960,3457,3160,3933,630,1526
4174,672,3424,3777,1952,3667,1161,2710,1567,4869,869,1596,2287,1744,2892,3495,3173,4050,606,1459
4162,700,3432,3746,1853,3612,1167,2754,1534,4708,888,1620,2234,1707,2877,3372,3252,4068,623,1435
4307,737,3418,3674,1865,3627,1220,2604,1613,4805,897,1654,2292,1756,2876,3423,3160,3989,626,1521
4233,654,3487,3743,1823,3545,1216,2621,1669,4808,827,1667,2365,1682,2875,3381,3107,3915,637,1423
4342,671,3409,3771,1749,3653,1252,2687,1598,4817,860,1625,2286,1751,3058,3340,3043,4014,640,1390
4249,676,3403,3802,1877,3692,1217,2712,1590,4778,869,1585,2290,1762,2956,3538,3246,4071,656,1456
4464,659,3493,3804,1895,3710,1222,2632,1545,4744,811,1620,2271,1675,2957,3460,3143,4080,605,1452
4285,654,3454,3695,1938,3571,1193,2609,1570,4768,804,1603,2262,1690,2964,3377,3050,4062,602,1543
4281,624,3593,3691,1853,3648,1210,2587,1540,4833,881,1704,2292,1782,2930,3447,3114,4219,623,1445
4253,667,3385,3874,1747,3676,1293,2554,1601,4737,888,1729,2317,1721,2969,3481,3240,4008,597,1466
4224,663,3442,3828,1836,3640,1272,2672,1561,4767,836,1584,2217,1691,2975,3352,3086,3961,639,1506
4194,682,3326,3705,1832,3704,1217,2643,1545,4861,885,1573,2309,1666,2906,3373,3166,4093,627,1511
4320,665,3584,3810,1799,3594,1232,2690,1601,4753,847,1622,2265,1756,2986,3515,3141,4067,650,1531
4059,706,3492,3928,1822,3479,1207,2570,1611,4698,857,1605,2387,1691,2989,3511,3085,4018,634,1437
4197,680,3461,3813,1911,3702,1293,2640,1576,4705,811,1599,2287,1745,2989,3506,3241,3983,684,1497
4227,702,3441,3745,1824,3547,1190,2565,1548,4750,889,1551,2284,1769,3045,3470,3071,4055,621,1433
4279,694,3502,3754,1806,3608,1231,2620,1620,4606,903,1687,2321,1728,2895,3417,3084,4079,595,1510
4359,735,3492,3728,1907,3604,1219,2582,1642,4730,898,1700,2205,1723,2976,3500,3104,3923,648,1455
4349,676,3408,3747,1848,3597,1175,2594,1772,4770,817,1599,2266,1734,2965,3525,2994,3826,711,1488
4409,663,3380,3744,1881,3689,1225,2758,1645,4836,827,1651,2268,1686,2919,3431,3191,3864,628,1475
