Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4599,591,2885,3315,1917,3861,1239,2717,1901,4935,1045,1708,2415,1868,3263,3075,2742,3652,699,1357
4674,608,2899,3118,1967,3843,1377,2629,1858,5062,1030,1762,2504,1912,3201,3080,2768,3628,691,1382
4622,613,2979,3166,1950,3824,1283,2755,1954,4930,1084,1790,2452,1943,3255,3132,2770,3540,682,1428
4635,575,2962,3160,1893,3884,1245,2784,1954,5105,1106,1734,2426,1945,3195,3102,2776,3525,682,1307
4768,596,2844,3213,1969,3966,1259,2773,1923,5146,1060,1706,2477,1881,3197,3165,2746,3490,691,1341
4813,592,2900,3179,1898,3916,1268,2731,1923,5182,1029,1772,2458,1992,3251,3133,2774,3555,679,1317
4742,664,2869,3264,1903,3912,1286,2704,1841,4975,1023,1680,2516,1929,3187,3209,2779,3668,668,1366
4690,609,2940,3282,1880,3901,1376,2601,1929,5023,1083,1776,2419,1919,3278,3095,2843,3549,702,1377
4669,579,2872,3224,1910,3827,1373,2796,1913,5039,1101,1772,2439,1961,3247,3031,2819,3477,641,1343
4680,535,2839,3346,1796,3882,1296,2794,1878,4999,1061,1808,2421,1967,3154,3042,2761,3695,683,1349
4640,615,2863,3279,1931,3863,1287,2715,1966,5078,981,1750,2576,1853,3199,2989,2680,3559,658,1363
4621,590,2962,3318,2000,3839,1286,2777,1942,5058,1065,1785,2460,1976,3210,3040,2859,3491,651,1367
4639,599,2895,3213,1856,3882,1281,2691,1904,5173,1099,1799,2479,1980,3289,3121,2771,3667,667,1339
4620,532,2894,3300,1960,3836,1247,2806,1949,5131,1061,1796,2403,1914,3114,3100,2644,3460,682,1342
4553,654,2886,3219,1863,3799,1245,2781,1944,4931,1083,1753,2518,1955,3256,3161,2723,3646,740,1357
4672,598,2959,3185,1938,3830,1269,2764,1893,5142,1008,1767,2485,1965,3310,3068,2697,3554,687,1396
4775,659,2960,3220,1842,3885,1255,2820,1838,5047,1095,1711,2549,1992,3253,3121,2749,3590,689,1387
4651,543,2944,3047,2014,3819,1145,2827,1904,5072,1065,1783,2491,1951,3145,3160,2737,3428,674,1400
4564,600,2903,3178,1852,3898,1309,2624,1782,4943,1024,1762,2457,1919,3213,3121,2795,3590,707,1298
4792,650,2920,3231,2003,3818,1277,2719,1951,5264,1105,1764,2486,1947,3304,3043,2725,3547,645,1365
4731,621,2811,3153,1952,3858,1264,2750,1874,5021,1012,1736,2522,1957,3178,3059,2736,3507,701,1375
4741,647,3007,3281,1879,3867,1324,2734,1892,5108,1027,1713,2468,1900,3341,3178,2777,3547,706,1344
4618,579,2724,3241,1970,3914,1289,2751,1936,5182,1078,1681,2521,1884,3225,3112,2725,3607,713,1405
4784,582,2841,3204,1972,3932,1304,2843,1927,5130,1078,1676,2482,1974,3264,3166,2803,3580,692,1298
4719,604,2841,3232,1971,3920,1222,2779,1894,5034,1003,1732,2415,1858,3266,3168,2670,3709,725,1312
4645,651,2858,3203,1932,3891,1270,2767,1949,5027,1055,1721,2422,1949,3287,3024,2668,3575,698,1427
4554,615,2899,3370,1891,3736,1385,2673,1803,5077,1104,1686,2420,1946,3178,3156,2792,3491,668,1367
4563,628,2857,3201,1963,3916,1244,2852,1879,5110,1085,1705,2450,1836,3245,3062,2812,3560,721,1371
4648,642,2935,3102,1881,3784,1275,2738,1894,5022,1052,1780,2482,1911,3201,3135,2722,3544,701,1353
4794,578,2841,3185,1855,3769,1255,2799,1874,4986,1033,1677,2616,1974,3144,3100,2723,3610,645,1286
4645,620,2867,3229,1905,3864,1318,2720,1956,5050,1069,1807,2411,1918,3217,3040,2823,3451,726,1392
4702,548,2982,3040,2036,3925,1147,2742,1872,5241,1054,1629,2450,1867,3232,3006,2699,3607,668,1421
4605,665,2955,3225,1848,3770,1208,2751,1823,5147,1052,1649,2498,1914,3323,3090,2669,3458,694,1308
4563,617,2894,3217,1966,3825,1264,2826,1893,5015,1089,1764,2427,1924,3155,3023,2745,3594,677,1426
4723,622,3041,3353,1971,3897,1242,2782,1905,5171,1064,1768,2423,1904,3309,3076,2703,3627,687,1389
4606,585,2956,3281,1948,3937,1213,2771,1847,5031,1065,1864,2471,1958,3230,3020,2656,3534,678,1292
4692,577,2953,3067,1927,3864,1333,2737,1912,5168,1060,1818,2511,1986,3173,3045,2739,3519,655,1360
4525,664,2837,3294,1945,3887,1305,2818,2045,4980,1073,1817,2539,1909,3189,3238,2767,3653,609,1387
4639,653,2927,3311,1828,3815,1297,2668,1918,5106,1005,1713,2480,1947,3223,3200,2745,3482,678,1382
4500,604,3040,3278,2000,3739,1274,2836,1975,4858,1060,1774,2361,1904,3189,3085,2686,3512,691,1434
4754,672,2830,3227,1848,3867,1311,2624,1836,5055,1068,1675,2548,1998,3226,3080,2893,3633,654,1329
4732,627,2929,3295,1904,3900,1315,2810,1984,5025,1083,1754,2377,1952,3168,3117,2803,3669,719,1356
4671,622,2887,3249,1986,4020,1266,2652,1915,5052,1020,1769,2515,1950,3218,3146,2818,3555,643,1348
4539,610,2807,3090,1970,3949,1296,2760,1915,5120,1127,1649,2579,1914,3196,3174,2752,3560,702,1342
4660,660,2775,3175,1946,3884,1300,2780,1839,5255,1024,1675,2394,1911,3263,2995,2705,3652,668,1375
