Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4849,555,3068,2987,1771,4159,1067,2837,1663,4890,942,1555,2554,1810,3582,3286,3136,3851,681,1319
5090,531,3188,3108,1755,4272,1158,2561,1602,4872,1040,1479,2533,1741,3790,3301,3210,3994,708,1342
4892,538,3106,3131,1731,4058,1081,2772,1605,4811,1009,1526,2529,1779,3706,3308,3167,3984,706,1297
5113,590,3169,3015,1686,4187,1157,2704,1634,4677,933,1489,2589,1822,3844,3241,3274,4049,727,1387
4716,557,2961,2877,1653,3993,1050,2562,1656,4662,930,1552,2518,1737,3553,3307,3197,3794,667,1344
4823,507,3129,2912,1609,3951,1076,2577,1696,4455,1022,1504,2360,1783,3492,3107,3090,3705,703,1271
5103,591,3098,2937,1708,4024,1166,2621,1529,4714,921,1499,2583,1724,3638,3163,3049,3872,698,1315
4730,527,3032,2900,1555,3840,999,2452,1630,4519,876,1441,2452,1660,3576,3161,2936,3693,596,1309
5009,551,3154,2979,1796,4221,1102,2699,1596,4754,1027,1620,2532,1732,3674,3359,3165,3900,669,1354
5008,574,3051,2935,1765,4109,1137,2729,1558,4777,997,1561,2569,1766,3708,3290,3163,3870,722,1330
5022,558,3071,2910,1750,4079,1160,2720,1573,4882,1003,1483,2638,1729,3696,3334,3063,3883,725,1325
4633,529,3136,2934,1751,4008,1169,2763,1466,4794,929,1571,2526,1770,3598,3341,3225,3855,632,1354
4810,576,2908,2961,1669,4080,1126,2607,1560,4787,989,1472,2533,1744,3677,3313,3078,3783,715,1306
5151,572,3204,2905,1798,4160,1141,2620,1609,4849,1002,1550,2557,1869,3748,3443,3301,3849,697,1378
4658,521,2985,2827,1652,3817,1019,2561,1601,4513,996,1603,2485,1712,3531,3209,3021,3792,665,1309
4944,546,3092,2994,1783,3908,1144,2561,1568,4730,956,1616,2682,1829,3634,3350,3231,3861,706,1501
5134,511,3210,3025,1762,4061,1087,2720,1567,4856,1009,1501,2599,1839,3844,3401,3262,4074,692,1419
4739,588,3110,3045,1834,4079,1214,2728,1719,4696,1013,1566,2511,1828,3757,3259,3190,3825,714,1372
4925,528,3190,2792,1758,4124,1096,2635,1585,4862,957,1549,2632,1814,3726,3121,2990,3838,661,1281
4985,551,3174,2907,1818,4233,1270,2657,1621,4917,939,1492,2566,1839,3776,3326,3005,3897,696,1368
4705,491,2854,2843,1658,3910,1067,2491,1523,4566,925,1451,2336,1631,3398,3190,2871,3635,682,1254
4896,560,3138,2955,1806,4182,1143,2801,1573,4830,1042,1480,2624,1803,3660,3179,3090,3837,697,1425
4705,538,2936,2953,1622,3867,1107,2525,1566,4532,892,1495,2592,1703,3459,3191,2999,3791,586,1285
4916,504,3146,2923,1700,4102,1046,2656,1632,4777,1010,1525,2412,1988,3649,3146,2971,3808,689,1292
5049,588,3096,2872,1795,3973,1125,2640,1699,4855,1007,1472,2573,1732,3795,3313,3097,3834,678,1363
5032,548,3123,2992,1689,4105,1094,2684,1566,4837,1010,1462,2527,1752,3774,3170,3106,3960,723,1342
4749,572,3160,2947,1731,4071,1134,2767,1522,4777,947,1543,2654,1810,3677,3237,3160,3769,670,1381
4921,580,3055,2991,1818,4021,1069,2643,1732,4670,949,1526,2519,1778,3770,3271,3052,4057,683,1320
4945,567,3001,2878,1645,4082,1052,2697,1514,4694,950,1488,2538,1764,3641,3164,3062,3897,671,1299
4920,574,3098,2985,1738,4024,1118,2665,1649,4756,931,1516,2555,1793,3676,3337,3114,3878,665,1366
4849,597,3107,2997,1674,4011,1122,2608,1496,4581,1000,1478,2539,1701,3539,3181,3171,3945,637,1383
5014,564,3181,3019,1721,4153,1109,2656,1664,4781,982,1477,2682,1763,3847,3299,3126,3907,664,1365
4825,554,3062,3015,1736,3917,1103,2650,1585,4527,926,1522,2561,1724,3658,3200,3197,3725,697,1302
4902,559,3001,2975,1761,4028,1100,2508,1662,4684,1042,1469,2534,1759,3759,3105,2967,3865,735,1393
4745,515,3056,2801,1585,3761,1042,2455,1560,4550,926,1280,2421,1686,3478,3026,2929,3638,629,1240
4630,554,2926,2835,1644,4044,1133,2592,1619,4520,960,1520,2516,1767,3612,3210,3080,3584,647,1280
4947,567,3036,2903,1737,4140,1143,2670,1658,4894,965,1500,2526,1794,3695,3286,3039,3927,699,1328
4936,545,3170,2965,1707,4103,1091,2697,1671,4837,955,1560,2665,1794,3636,3257,3255,3954,695,1366
4899,565,3114,2968,1715,4025,1123,2590,1563,4650,982,1460,2444,1870,3702,3142,3137,3935,694,1300
4883,527,3026,2861,1667,3957,1092,2473,1546,4502,927,1445,2520,1751,3564,3272,3046,3771,665,1267
5107,559,3330,2949,1774,4178,1121,2755,1718,4805,957,1578,2577,1781,3864,3363,3143,3976,695,1448
5124,533,3266,3066,1713,4228,1214,2741,1624,4922,1056,1504,2610,1906,3881,3214,3241,4046,719,1380
4904,554,3023,3032,1812,4099,1084,2584,1545,4811,954,1437,2587,1753,3669,3185,3050,3917,733,1360
4901,554,3081,3034,1755,4046,1155,2668,1626,4753,930,1481,2595,1737,3707,3278,3017,3908,665,1357
5203,610,3176,3018,1787,4031,1105,2747,1539,4868,1053,1465,2517,1783,3722,3283,3103,3922,680,1335
4527,572,2953,2803,1662,3992,1092,2581,1618,4653,874,1600,2497,1635,3664,3262,3054,3709,693,1354
4837,565,3063,3004,1651,3953,1114,2603,1620,4594,985,1526,2554,1887,3763,3329,3022,3808,667,1354
4999,549,3191,3015,1757,4198,1144,2820,1761,4949,1021,1546,2566,1837,3677,3325,3231,4100,694,1412
4737,529,3056,2857,1776,3947,1024,2572,1568,4712,933,1422,2495,1728,3647,3273,3133,3938,631,1438
4799,540,3059,2924,1595,3913,1133,2618,1643,4751,978,1503,2488,1691,3629,3204,3145,3852,654,1311
4717,556,2928,2711,1680,3810,1075,2495,1557,4669,927,1493,2508,1776,3466,3196,2935,3725,643,1271
4905,534,3205,2973,1723,4020,1154,2644,1619,4906,1024,1557,2517,1763,3738,3172,3041,3980,679,1332
5045,545,3197,3188,1767,4004,1169,2811,1721,4889,998,1552,2561,1889,3803,3389,3191,4044,680,1362
4750,573,3114,3006,1681,3878,1179,2626,1678,4616,1043,1369,2499,1694,3618,3169,3054,3809,652,1365
4825,548,3044,2978,1718,3943,1106,2566,1699,4556,1001,1517,2464,1771,3682,3130,2867,3658,715,1371
4914,645,3255,3036,1720,3991,1179,2637,1627,4713,1046,1545,2557,1741,3877,3218,3115,3842,684,1433
4936,541,3045,3004,1748,3942,1204,2650,1567,4485,917,1501,2436,1744,3667,3170,3086,3717,660,1449
4852,566,3098,2962,1716,4016,1175,2555,1579,4628,918,1530,2454,1711,3681,3194,2868,3810,687,1358
4765,575,2980,2950,1743,4013,1047,2579,1684,4692,935,1578,2555,1687,3613,3232,3017,3932,687,1449
