Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4340,555,2930,3330,2033,3932,1178,2864,2025,5032,1069,1669,2620,1790,3000,2996,2729,3571,723,1611
4587,576,2919,3341,2002,3915,1129,2912,2017,5065,1027,1607,2574,1836,3104,3000,2611,3423,748,1544
4426,536,2925,3327,2091,4039,1132,2931,2057,5055,1069,1794,2460,1696,3064,3011,2492,3696,759,1597
4332,576,2976,3361,2001,4009,1147,3009,2123,5250,1028,1652,2486,1764,3088,3077,2674,3582,785,1449
4466,525,2832,3437,2076,3969,1068,2952,2113,5063,1011,1717,2421,1800,3031,2974,2608,3601,776,1555
4374,573,2925,3416,2003,3881,1124,2834,2011,5113,1089,1660,2495,1870,3131,3070,2570,3486,688,1566
4390,536,2966,3336,2100,3844,1110,2982,2021,5181,1046,1750,2582,1773,3120,3047,2610,3630,687,1505
4305,611,2889,3385,1929,3981,1096,2935,2123,5195,1017,1657,2575,1856,3060,2960,2640,3571,703,1524
4384,559,2844,3365,1949,4002,1135,2868,2035,5108,1051,1680,2642,1852,3144,3043,2540,3565,735,1525
4266,530,2893,3358,2063,4004,1097,2962,2085,5200,1051,1668,2559,1862,3075,3029,2603,3592,703,1518
4476,508,2887,3368,2116,3949,1035,3047,2083,5146,1035,1649,2510,1864,3001,3045,2501,3560,702,1563
4492,537,2756,3390,1981,4074,1083,2903,2063,5068,932,1605,2653,1815,3193,2934,2615,3671,679,1493
4314,544,2936,3380,1933,4000,1062,2965,1987,4996,1082,1545,2617,1762,3032,2973,2535,3495,734,1545
4421,596,2850,3188,2038,3958,1071,2928,1935,5108,1090,1607,2594,1811,3105,3033,2563,3671,702,1514
4483,562,2952,3223,2086,4001,1197,2896,1892,5193,1080,1681,2488,1725,3127,3009,2559,3542,794,1526
4585,554,2900,3334,1964,3963,1109,2942,2086,5000,1024,1700,2493,1768,2939,3132,2687,3538,720,1536
4406,507,2948,3385,1998,3953,1091,2905,2014,5069,1063,1681,2477,1742,3029,3013,2730,3669,717,1533
4442,619,2902,3279,1982,4032,1096,2858,1950,5095,1058,1616,2671,1882,2993,3087,2617,3518,734,1580
4463,520,2937,3274,1996,3980,1148,2938,2132,5080,1126,1646,2522,1795,3143,2976,2573,3531,724,1543
4412,574,2929,3260,2034,4006,1082,2887,2014,5136,1014,1644,2546,1727,3006,3009,2613,3545,773,1601
4408,525,2903,3255,1950,3997,1124,3133,2078,5140,979,1661,2509,1742,3019,3008,2642,3452,716,1548
4342,567,2902,3369,2044,3973,1138,2903,2148,5058,1087,1683,2531,1782,3097,3077,2634,3600,739,1434
4570,540,2833,3279,1996,3881,1131,3007,2075,5202,1095,1564,2416,1822,3130,3009,2672,3468,747,1518
4446,550,2933,3319,2041,3957,1115,2971,2164,5119,1053,1722,2517,1818,3127,2989,2557,3563,740,1549
4323,505,2929,3269,2104,3914,1099,2880,2068,5187,1096,1763,2602,1828,3023,3012,2661,3520,699,1536
4486,524,2975,3409,1963,3951,1087,2972,2004,5086,988,1745,2566,1779,3006,2961,2656,3528,749,1553
4436,543,2898,3341,2025,3999,1162,2908,1922,5210,1046,1595,2635,1821,3194,2941,2601,3594,695,1539
4302,531,2886,3325,2025,4029,1130,2862,2001,5162,1039,1679,2559,1798,3179,3050,2667,3556,694,1498
4237,524,2973,3380,2044,4014,1068,3010,2133,4931,1025,1770,2579,1831,3169,2947,2629,3525,730,1602
4437,543,2929,3235,1968,3958,1071,2965,2084,5094,1117,1684,2494,1850,3117,2975,2548,3572,714,1496
4461,576,2885,3307,1987,4122,1038,2841,1984,5004,1014,1636,2500,1786,3179,3078,2606,3644,706,1484
4428,505,2933,3318,1961,3881,1043,2978,2075,4968,1112,1659,2486,1779,2983,3129,2695,3521,718,1545
4310,548,2928,3307,2025,4028,1056,2938,1993,5102,1126,1740,2508,1789,3091,2963,2539,3596,759,1551
4460,517,2890,3313,2052,3967,1025,2847,2038,5175,1070,1658,2561,1764,3087,3120,2554,3644,700,1518
4398,578,2978,3377,1977,3972,1135,2943,2067,4956,1076,1678,2543,1845,3070,3004,2575,3633,710,1506
4363,565,2984,3375,1980,3944,1112,2867,1966,5072,1010,1541,2531,1765,3241,3020,2578,3613,756,1550
4424,580,2966,3428,2006,4017,1129,2915,2095,5100,1025,1600,2502,1779,3037,2986,2661,3520,752,1471
4480,533,3012,3383,1902,4003,1132,2850,2125,5055,1042,1687,2573,1719,3111,3000,2659,3526,774,1513
4424,543,2862,3326,2009,3816,1115,2957,2173,4994,1032,1640,2498,1861,3145,2962,2591,3553,676,1496
4433,517,2864,3246,2013,4037,1134,2833,2019,5108,1016,1629,2576,1661,3190,3019,2564,3638,725,1498
4462,537,2897,3281,1972,3775,1092,2942,2064,5184,1004,1703,2663,1836,3164,3154,2658,3704,735,1538
4357,553,2960,3360,1943,3910,1076,2986,2193,4987,1042,1759,2484,1821,3050,2924,2683,3554,798,1519
4410,561,2959,3283,2051,3914,1110,2924,2064,5178,1070,1647,2552,1711,3112,3038,2585,3588,727,1526
4450,533,2883,3315,1945,4040,1106,2919,2122,5099,1057,1664,2555,1852,3064,2934,2600,3554,688,1460
4536,553,2845,3320,1998,3994,1105,2868,2056,5154,1097,1683,2427,1777,2993,3097,2653,3550,751,1542
4362,561,2773,3315,2045,3967,1086,2988,2024,5212,1056,1677,2555,1847,3030,3007,2508,3488,712,1580
4393,563,2886,3279,2134,4046,1140,3161,2098,5106,1088,1679,2551,1763,2988,3146,2700,3644,654,1561
4413,501,2987,3297,1987,4006,1104,2902,1963,5085,1016,1692,2528,1834,3093,3030,2678,3675,719,1531
4425,540,2972,3431,2078,3949,1126,2965,2097,5147,1072,1675,2579,1825,3109,3055,2570,3620,735,1519
4456,552,2846,3308,2010,3950,1168,3022,2078,5114,1076,1683,2556,1812,3124,3137,2555,3637,723,1563
4331,492,2805,3301,1926,4033,1056,2920,2008,5074,1087,1728,2547,1864,3067,3096,2611,3598,729,1583
4419,572,2905,3303,2066,4105,1138,2934,2099,5059,1032,1706,2543,1734,2981,2995,2629,3599,721,1548
4388,512,3052,3453,1902,3968,1179,2906,2146,5164,1103,1769,2540,1790,3117,3051,2693,3736,692,1512
4415,592,2989,3317,1991,3902,1127,2999,2111,5150,1024,1742,2465,1809,3084,3074,2645,3588,739,1521
4575,539,2926,3430,2075,3942,1095,2876,2067,5020,1085,1691,2541,1748,3089,3015,2533,3600,726,1472
4423,532,2861,3368,2000,3957,1112,2883,1940,5126,1068,1644,2603,1857,3103,3098,2655,3564,735,1519
4409,568,2915,3343,2004,3970,1139,2858,2090,5089,1017,1682,2480,1792,3073,3054,2599,3593,742,1609
4347,579,2922,3262,2039,3991,1141,2948,2074,5029,973,1675,2439,1800,3093,3038,2578,3528,729,1511
4510,577,2821,3282,2107,3918,1175,3061,2067,5103,1083,1802,2594,1792,3123,3018,2510,3665,673,1488
4469,520,2831,3260,1931,3901,1121,2822,2041,5162,1104,1664,2531,1820,3106,2943,2571,3601,725,1414
4412,539,3035,3324,2037,3995,1114,2954,2099,5091,1100,1710,2529,1742,3093,3159,2595,3640,721,1533
4402,575,2880,3258,2132,3991,1129,2922,1955,5210,1065,1655,2509,1756,3145,2973,2573,3539,719,1585
4321,591,2961,3276,2117,3927,1110,2942,2142,5199,1051,1691,2513,1859,3099,3010,2652,3513,709,1563
4421,566,2822,3350,2020,3971,1085,2927,2088,5020,1023,1644,2568,1752,3066,3075,2541,3569,734,1542
4434,544,2887,3376,2027,4148,1095,2918,2064,4996,1074,1656,2436,1739,3041,3054,2589,3611,755,1452
4430,585,2876,3255,2066,4113,1100,2927,2054,5122,1076,1703,2507,1818,3120,3055,2546,3456,685,1510
4329,554,2971,3242,1948,3947,1100,2924,2057,5098,1081,1641,2532,1729,3117,2985,2508,3699,689,1496
4449,543,2928,3343,2004,3932,1143,2861,2087,5193,1074,1698,2519,1798,3154,3051,2612,3498,724,1508
4330,530,2868,3271,2080,4041,1115,2980,2119,5068,1034,1702,2478,1774,3019,2967,2606,3552,712,1500
4437,551,2972,3381,1983,3994,1084,2950,2130,4968,1037,1609,2531,1826,3081,2922,2584,3583,745,1513
4571,540,2915,3304,1969,4014,1098,2956,2085,5139,1093,1632,2597,1866,3019,3051,2487,3510,715,1445
4327,552,2861,3300,1978,3972,1105,3004,1973,5214,1074,1616,2605,1753,3126,2974,2573,3568,737,1520
4473,526,2867,3284,2035,3816,1152,2924,2091,5011,1045,1663,2568,1744,3101,3027,2500,3518,742,1533
4287,525,2899,3260,2085,3940,1068,2846,2118,5103,1034,1642,2570,1795,3106,2924,2651,3508,742,1551
4455,558,2866,3307,1978,4077,1074,2837,2087,5179,1043,1563,2556,1799,3169,3005,2578,3632,746,1496
4582,586,2875,3322,2046,4052,1123,2861,1973,5080,1097,1648,2553,1730,2986,3073,2516,3480,789,1490
4468,558,2822,3269,1971,3970,1137,2859,2082,5164,1041,1625,2573,1797,3052,2964,2592,3583,738,1478
4454,566,2874,3404,2070,3972,1137,2891,2071,5243,1109,1721,2484,1772,2996,3114,2574,3599,762,1586
4485,519,2867,3291,2071,3921,1120,2899,2059,5180,1088,1660,2559,1735,3048,3044,2642,3522,752,1474
4461,549,2868,3375,2084,3989,1122,2893,2062,5151,1024,1677,2500,1755,3084,3101,2520,3548,756,1569
4407,515,2825,3247,2023,4128,1060,2959,2080,5166,1012,1643,2507,1789,3067,3003,2633,3557,733,1542
4388,578,3058,3299,2001,3955,1134,2912,2084,5134,1020,1716,2574,1743,3013,3107,2531,3573,736,1556
