Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4874,508,3503,3655,1823,3981,1098,2264,1347,4637,851,1367,2472,1531,3289,3130,2910,4036,593,1430
4913,463,3533,3775,1786,3990,1068,2249,1404,4669,840,1436,2545,1479,3467,3108,3024,4213,610,1348
4774,469,3380,3893,1899,4097,1099,2249,1446,4828,770,1482,2558,1647,3456,3156,2940,4155,604,1430
4778,485,3559,3898,1854,4116,1019,2400,1431,4750,921,1486,2492,1580,3312,3140,3011,4074,608,1453
4727,482,3654,3817,1826,4056,1068,2210,1369,4622,785,1411,2562,1538,3315,3023,2941,4094,626,1455
4889,484,3741,3922,1764,3972,1094,2401,1435,4644,818,1457,2514,1595,3327,3131,3072,3950,630,1424
4813,503,3480,3751,1780,4014,1138,2307,1305,4713,888,1386,2624,1587,3374,3093,3018,4124,600,1340
4756,455,3586,3852,1820,4102,1108,2281,1426,4658,852,1377,2430,1604,3401,3156,3034,4008,627,1442
4777,475,3514,3823,1864,4064,1073,2328,1547,4761,931,1487,2558,1527,3384,3079,3034,3965,626,1376
4785,483,3438,3823,1840,4067,984,2309,1405,4815,813,1403,2579,1541,3475,3081,3005,4068,615,1344
4671,475,3565,3739,1889,4051,1084,2338,1363,4678,849,1449,2492,1625,3271,3131,3044,4201,602,1312
4807,523,3595,3726,1767,4009,1076,2243,1381,4828,826,1413,2539,1592,3309,3212,3064,4117,632,1360
4728,502,3588,3807,1790,4138,1069,2240,1364,4782,778,1415,2569,1610,3447,3107,3027,4147,619,1415
4643,489,3628,3736,1825,3916,1073,2337,1399,4795,816,1523,2599,1616,3288,3131,3029,4145,612,1450
4848,477,3577,3722,1869,4118,1126,2357,1336,4561,834,1375,2600,1531,3339,3048,3055,4032,598,1423
4794,482,3642,3859,1747,4003,1019,2253,1361,4846,784,1349,2490,1523,3324,3046,2996,3990,626,1381
4785,531,3664,3806,1818,4039,1092,2365,1488,4697,792,1497,2427,1588,3357,3094,3025,4027,596,1463
4811,475,3697,3739,1820,4075,1111,2392,1417,4645,884,1480,2589,1588,3406,3129,2873,4179,628,1439
4854,501,3570,3678,1745,4121,1015,2259,1454,4718,850,1443,2503,1578,3422,3219,3013,4001,627,1449
4797,476,3575,3809,1865,4143,1073,2394,1382,4647,782,1420,2558,1614,3558,3033,3054,4060,629,1459
4841,475,3695,3825,1800,4186,1100,2396,1419,4806,847,1490,2594,1569,3421,3042,3086,4115,617,1439
