Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4770,500,2796,3351,1862,3999,1058,2836,2316,4907,1011,1751,2491,1749,2849,2927,2821,3643,723,1517
4871,501,2884,3206,1837,4186,970,2789,2286,4669,1092,1857,2466,1752,2745,3058,2794,3658,695,1524
4909,493,2979,3311,1920,3988,1060,2762,2366,4733,1118,1782,2582,1767,2936,3085,2919,3697,772,1624
4778,538,2961,3229,1882,4003,1051,2806,2369,4739,1100,1806,2409,1779,2852,3106,2923,3639,744,1593
4743,497,2823,3228,1950,4117,1050,2829,2367,4575,1159,1901,2357,1781,2887,3041,3013,3646,721,1653
4769,479,2912,3185,1828,3947,1045,2873,2437,4718,1125,1840,2433,1751,2837,3053,2873,3577,745,1578
4614,539,2868,3171,1862,3925,1048,2824,2495,4785,1099,1869,2453,1773,2723,2978,2935,3519,749,1559
4741,518,2993,3386,1988,4111,1019,2820,2527,4890,1038,1788,2523,1752,2991,2934,2785,3603,722,1566
4607,491,2792,3262,1908,4043,1039,2832,2432,4611,1146,1791,2489,1848,2728,2974,2940,3670,741,1552
4752,561,2921,3132,1828,3997,1023,2784,2332,4761,1112,1807,2529,1803,2879,3030,2868,3681,760,1579
4729,528,2814,3306,1862,3935,1038,2784,2545,4672,1060,1798,2384,1731,2689,2963,2900,3712,759,1586
4752,525,2801,3256,1937,3939,1020,2805,2458,4677,1081,1809,2477,1772,2818,3003,2892,3677,761,1500
4820,525,2855,3263,1869,3999,1030,2691,2363,4721,1130,1774,2441,1833,2883,2892,2778,3629,710,1537
4814,526,2849,3289,1905,3926,1041,2738,2394,4792,1110,1756,2480,1844,2826,2895,2962,3536,755,1666
4625,522,2816,3178,1891,3962,996,2815,2439,4722,1037,1779,2460,1855,2876,2955,2802,3573,757,1558
4791,532,2800,3307,1826,3994,1116,2911,2440,4680,1098,1816,2515,1791,2761,3045,2951,3653,751,1576
4733,525,2969,3285,1902,3974,1015,2838,2309,4717,1141,1801,2525,1738,3001,3071,2998,3658,692,1525
4695,525,2797,3213,1919,4024,982,2785,2362,4818,1074,1776,2361,1775,2850,3031,2808,3597,717,1616
4654,528,2754,3195,1845,3946,1051,2644,2462,4533,1068,1723,2463,1728,2783,2939,2930,3593,710,1547
4697,534,2866,3175,1807,4073,1030,2923,2369,4581,1049,1907,2485,1725,2834,3018,2849,3669,740,1547
4760,482,2905,3161,1861,4124,1040,2732,2294,4729,1042,1891,2379,1794,2848,2969,2877,3692,751,1557
4852,543,2867,3249,1821,4126,1113,2788,2354,4761,1081,1753,2461,1855,2953,2862,2838,3640,738,1522
4714,547,2728,3204,1923,3935,1013,2726,2304,4588,1106,1828,2398,1801,2912,2892,2919,3470,753,1484
4621,501,2837,3161,1884,3998,1062,2818,2401,4684,1168,1733,2485,1823,2917,2966,2721,3671,747,1507
4627,477,2783,3177,1758,3965,1039,2736,2358,4703,1058,1738,2406,1795,2734,3063,3003,3570,698,1512
4656,511,2786,3161,1853,3957,1044,2828,2339,4793,994,1835,2457,1778,2752,3014,2909,3500,752,1605
4654,540,2983,3166,1843,3938,1021,2795,2408,4592,1128,1709,2364,1825,2900,3094,2845,3489,763,1500
4848,533,2790,3224,1900,4192,1003,2872,2440,4782,1069,1865,2447,1762,2876,3065,3008,3763,779,1532
4799,528,2846,3205,1903,4097,1039,2988,2446,4775,1045,1830,2465,1861,2805,3045,2973,3744,769,1684
4811,550,2835,3180,1895,4009,1020,2836,2354,4570,1124,1856,2351,1756,2925,3036,2842,3544,712,1648
4591,538,2923,3147,1876,3986,1086,2751,2417,4594,1083,1798,2518,1730,2872,2954,2808,3512,712,1562
4635,541,2942,3236,1846,4013,1011,2745,2284,4802,1084,1792,2442,1748,2866,3099,2863,3601,709,1648
4721,527,2818,3291,1917,3997,1004,2753,2334,4704,1094,1766,2431,1755,2817,3049,3007,3612,820,1598
4751,517,2916,3279,1929,3992,971,2806,2361,4577,1136,1763,2490,1724,2750,2942,2819,3632,719,1540
4658,563,2844,3209,1943,4139,1086,2738,2398,4738,1062,1757,2435,1758,2746,3015,2971,3579,773,1576
4745,489,2848,3119,1869,3908,1060,2754,2289,4751,1064,1854,2585,1728,2773,3052,2867,3779,720,1690
4625,520,2831,3214,1885,4008,997,2884,2348,4671,1093,1867,2502,1755,2719,3121,2993,3637,749,1609
5032,512,2911,3313,1899,4041,1054,2768,2406,4849,1121,1779,2553,1812,2939,3063,3032,3699,753,1612
4562,514,2836,3184,1846,3927,1036,2792,2285,4631,1077,1715,2518,1718,2771,2930,2819,3712,797,1558
4812,531,2928,3209,1877,4080,1096,2829,2421,4822,1088,1832,2470,1774,2905,3049,2880,3628,736,1627
4678,508,2833,3271,1797,4017,1087,2847,2347,4821,1084,1736,2510,1771,2951,3033,2822,3749,750,1564
4735,529,2813,3080,1803,3869,1043,2703,2357,4652,1024,1829,2474,1687,2825,2897,2853,3708,720,1539
4635,516,2840,3207,1848,3977,1030,2758,2349,4737,1115,1888,2447,1650,2816,3057,2888,3637,723,1564
4810,517,2884,3207,1903,4144,1011,2800,2363,4639,1075,1822,2494,1706,2909,3054,3064,3642,751,1599
4925,530,2907,3160,1893,4069,1049,2797,2410,4860,1039,1753,2336,1856,2864,3019,2877,3695,733,1571
4747,546,2844,3406,1903,4090,1043,2774,2459,4753,1112,1873,2501,1775,2903,2941,2936,3748,733,1581
4772,550,2771,3149,1905,3974,1029,2725,2231,4610,1046,1771,2407,1687,2718,3005,2865,3721,704,1556
5034,469,2806,3259,1829,3991,1046,2734,2352,4727,1111,1743,2422,1759,2875,2919,2825,3588,687,1457
4771,537,2975,3266,1850,4021,1045,2915,2326,4652,1026,1784,2449,1816,2852,3024,2939,3639,717,1583
4772,538,2887,3146,1861,3923,1040,2783,2354,4614,1096,1768,2384,1698,2904,2970,2898,3593,714,1501
4717,522,2946,3266,1896,4075,1012,2874,2431,4702,1049,1862,2556,1799,2934,3143,2940,3589,711,1568
4803,521,2885,3183,1896,4002,1051,2849,2365,4723,1159,1836,2509,1788,2842,3017,2995,3603,750,1562
4867,516,2851,3229,1874,4088,1021,2844,2238,4741,1116,1806,2609,1797,2806,2963,2828,3528,715,1471
4778,507,2895,3244,1887,4017,1036,2726,2407,4732,1044,1878,2497,1748,3002,2982,2842,3787,739,1561
4665,568,2836,3256,1878,4024,1125,2839,2405,4660,1094,1819,2501,1788,2760,3003,2901,3579,732,1539
4737,496,2932,3292,1959,4130,1011,2889,2438,4784,1064,1883,2645,1762,2877,3037,2869,3622,749,1607
4781,510,2829,3228,1871,4071,1044,2872,2296,4672,1123,1800,2307,1837,2864,2962,2896,3688,759,1510
4875,562,2886,3223,1881,4057,1009,2790,2314,4781,1042,1847,2549,1776,2888,2955,3104,3663,760,1536
4899,536,2839,3277,1917,3947,1041,2828,2387,4663,1120,1798,2550,1778,2842,2996,2813,3564,747,1537
4901,524,2893,3261,1896,3983,1039,2900,2403,4842,1080,1875,2449,1707,2975,2964,2823,3647,699,1580
4673,521,2762,3228,1860,4034,1037,2749,2409,4769,1052,1766,2476,1780,2814,2933,2835,3725,771,1634
4673,558,2873,3265,1884,4040,1142,2750,2406,4735,1076,1787,2426,1752,2790,2990,2870,3656,745,1601
4611,527,2919,3191,1896,4181,1021,2876,2342,4682,1096,1800,2556,1800,2759,3085,2919,3634,697,1560
4679,533,2986,3229,1925,4111,1001,2954,2336,4594,1074,1822,2317,1756,2849,2924,2914,3673,738,1570
4764,567,2806,3183,1983,4095,1065,2817,2402,4644,1130,1875,2506,1730,2885,2958,2878,3514,769,1590
4794,522,2827,3137,1890,4054,977,2797,2249,4644,1075,1730,2480,1756,2952,2976,2824,3668,720,1535
4703,505,2859,3228,1927,4106,1021,2856,2333,4684,1072,1818,2463,1686,2889,2934,2957,3643,740,1524
4733,545,2771,3218,1919,4041,998,2828,2355,4698,1075,1841,2517,1797,2807,2959,2712,3573,792,1526
4728,498,2806,3151,1862,4078,956,2819,2311,4769,1072,1757,2396,1713,2854,3049,2874,3437,756,1519
4675,547,2816,3235,1851,4044,1042,2794,2350,4758,1064,1870,2495,1689,2937,2965,2897,3661,744,1552
4816,489,2877,3158,1826,3971,1037,2825,2363,4582,1035,1790,2425,1712,2781,2963,2835,3565,705,1513
4609,490,2894,3104,1794,3915,1059,2704,2315,4653,1097,1769,2467,1734,2817,2888,2800,3682,717,1561
4784,527,2883,3252,1817,3843,1097,2815,2353,4804,1132,1852,2487,1789,2870,3106,2849,3695,740,1536
4765,501,2826,3175,1820,3908,1013,2876,2260,4695,1064,1760,2398,1730,2875,2825,2972,3611,698,1542
4747,527,2891,3095,1920,4058,1072,2818,2424,4723,1059,1801,2432,1791,2827,3031,2903,3529,769,1515
4650,508,2859,3176,1900,4068,1035,2775,2416,4731,1063,1823,2471,1718,2883,2949,2818,3504,696,1567
4777,523,2829,3266,1904,4020,1045,2756,2386,4887,1036,1810,2576,1798,2753,3040,2932,3706,701,1571
