Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3858,570,2629,3244,2122,3627,1006,3737,3172,4846,1115,2193,2260,1714,2548,3229,2757,3343,678,1791
3741,585,2629,3182,2283,3580,985,3783,3202,4906,1044,2194,2180,1682,2486,3307,2756,3296,645,1840
3654,619,2587,3199,2202,3445,1023,3592,3072,4778,1056,2249,2167,1748,2532,3154,2776,3270,652,1805
3800,594,2595,3256,2159,3535,973,3577,3160,4732,1080,2201,2197,1766,2402,3239,2738,3323,631,1815
3852,600,2698,3224,2278,3593,996,3683,3350,4942,1072,2347,2111,1704,2493,3396,2800,3409,645,1725
3717,582,2746,3268,2214,3614,960,3585,3205,4732,1068,2145,2121,1753,2451,3203,2813,3412,629,1755
3803,685,2644,3234,2161,3679,968,3758,3257,4720,1093,2194,2204,1734,2547,3202,2789,3226,648,1757
3697,629,2728,3229,2094,3725,976,3786,3168,4666,986,2274,2139,1712,2421,3316,2796,3404,590,1824
3697,666,2645,3140,2153,3438,1024,3696,3160,4784,1016,2186,2179,1755,2443,3195,2749,3168,640,1754
3596,629,2648,3222,2161,3452,984,3636,3232,4855,1079,2115,2222,1746,2527,3317,2783,3417,579,1711
3658,609,2536,3155,2230,3604,959,3693,3270,4757,1069,2194,2137,1755,2481,3217,2702,3277,668,1760
3596,594,2664,3236,2132,3588,984,3628,3105,4728,1116,2100,2077,1692,2551,3240,2689,3270,623,1725
3731,634,2576,3165,2157,3574,979,3741,3070,4690,1084,2250,2145,1696,2470,3164,2810,3136,611,1736
3766,647,2503,3242,2244,3571,939,3753,3125,4791,1150,2159,2162,1699,2506,3202,2765,3305,647,1711
3732,580,2697,3191,2185,3552,987,3694,3224,4699,1068,2262,2149,1724,2405,3283,2724,3330,572,1866
3682,619,2572,3306,2154,3483,986,3696,3228,4813,1077,2138,2199,1749,2488,3254,2666,3263,625,1827
3656,668,2671,3210,2155,3553,865,3740,3229,4921,1029,2221,2206,1666,2452,3180,2849,3339,619,1696
3714,658,2701,3113,2260,3469,1039,3744,3176,4763,1069,2245,2205,1744,2535,3331,2915,3288,688,1881
3659,641,2662,3160,2214,3508,980,3845,3294,4734,1070,2245,2234,1703,2461,3088,2736,3406,616,1703
3712,680,2613,3092,2183,3725,977,3672,3137,4770,1050,2146,2153,1724,2560,3239,2818,3360,643,1714
3747,648,2736,3346,2224,3663,989,3834,3241,4904,1159,2240,2270,1819,2504,3285,2579,3448,612,1817
3632,620,2534,3073,2220,3633,1043,3639,3065,4859,1122,2252,2230,1651,2521,3212,2827,3210,601,1741
3632,639,2695,3162,2239,3479,1000,3786,3191,4672,985,2215,2114,1755,2438,3266,2835,3301,610,1759
3653,645,2653,3164,2228,3598,1041,3704,3220,4844,1045,2225,2150,1825,2433,3181,2810,3362,631,1808
3735,626,2672,3246,2276,3517,1031,3723,3121,4717,1015,2153,2219,1767,2486,3329,2724,3367,623,1823
3701,659,2640,3265,2218,3604,1025,3642,3158,4833,1038,2142,2171,1661,2511,3163,2703,3174,685,1814
3673,631,2670,3191,2201,3707,976,3782,3239,4828,1080,2114,2203,1790,2528,3281,2778,3368,691,1775
3832,640,2709,3283,2158,3586,1012,3863,3204,4739,1059,2242,2295,1789,2420,3253,2807,3428,654,1769
3617,637,2700,3289,2199,3534,987,3699,3271,4724,1040,2128,2258,1761,2613,3256,2683,3305,653,1889
3631,577,2697,3153,2124,3524,955,3590,3117,4876,1069,2154,2097,1818,2446,3231,2821,3259,661,1737
3679,579,2666,3116,2206,3498,937,3469,3194,4729,988,2148,2218,1674,2405,3202,2682,3333,625,1696
3715,651,2655,3275,2198,3685,983,3726,3333,4721,1042,2305,2053,1797,2607,3246,2733,3313,628,1800
3617,632,2618,3135,2137,3566,1009,3784,3014,4783,969,2212,2117,1667,2499,3265,2742,3298,632,1835
3887,682,2655,3205,2237,3599,979,3752,3235,4901,1123,2245,2174,1748,2572,3358,2806,3372,643,1784
3688,620,2623,3231,2251,3516,1025,3701,3244,4698,1126,2210,2104,1696,2518,3218,2753,3350,611,1804
3781,589,2707,3281,2154,3511,988,3731,3190,4791,1129,2143,2276,1805,2575,3281,2824,3342,712,1857
3814,609,2685,3127,2176,3588,1002,3697,3340,4878,1119,2226,2292,1726,2560,3227,2709,3293,586,1687
3741,672,2650,3304,2221,3595,1018,3741,3347,4942,1071,2145,2167,1754,2526,3230,2806,3269,611,1745
3492,613,2665,3262,2187,3623,979,3622,3205,4698,1052,2171,2183,1688,2370,3125,2795,3294,599,1793
3761,596,2744,3087,2187,3604,940,3727,3158,4814,1072,2189,2210,1761,2420,3282,2785,3410,616,1655
3802,625,2649,3328,2088,3525,983,3649,3226,4799,1068,2078,2116,1727,2476,3265,2730,3355,623,1742
3623,594,2567,3133,2173,3452,979,3674,3208,4784,989,2137,2123,1831,2448,3192,2769,3230,626,1782
3738,634,2761,3204,2185,3513,1029,3732,3133,4692,1030,2167,2164,1869,2488,3150,2743,3390,583,1851
3661,576,2534,3113,2206,3444,885,3632,3067,4752,1081,2107,2129,1710,2518,3093,2646,3246,640,1671
3788,659,2725,3258,2151,3642,990,3762,3105,4915,1063,2256,2127,1830,2417,3344,2771,3297,596,1790
3745,639,2655,3143,2167,3614,985,3757,3275,4685,1105,2189,2165,1764,2457,3299,2750,3315,657,1710
3701,595,2664,3204,2161,3626,966,3767,3112,4803,1083,2201,2177,1772,2499,3300,2870,3348,589,1719
3704,633,2648,3227,2146,3452,998,3599,3088,4790,1080,2313,2235,1786,2626,3347,2811,3314,661,1883
3791,641,2599,3140,2192,3431,971,3648,3100,4587,1016,2180,2158,1734,2557,3274,2689,3361,630,1755
3846,607,2581,3275,2176,3708,937,3791,3156,4798,1111,2188,2112,1705,2463,3222,2743,3348,607,1736
3651,633,2716,3332,2164,3434,995,3646,3308,4760,1065,2256,2076,1684,2477,3318,2740,3400,623,1789
3683,599,2618,3192,2203,3495,969,3638,3160,4800,1048,2139,2247,1620,2418,3225,2833,3263,593,1833
3697,585,2667,3160,2216,3653,961,3729,3394,4743,1103,2197,2119,1739,2441,3242,2840,3326,640,1882
3451,583,2655,3161,2118,3449,921,3692,3164,4620,1085,2134,2124,1672,2402,3172,2677,3241,563,1814
3791,590,2660,3271,2168,3614,892,3789,3230,4723,1066,2273,2124,1775,2425,3293,2723,3277,616,1792
3708,610,2676,3173,2263,3606,993,3672,3268,4906,1047,2271,2207,1775,2572,3346,2732,3330,626,1774
3653,647,2581,3212,2142,3436,940,3666,3198,4754,1108,2197,2141,1739,2559,3326,2718,3222,583,1783
3656,634,2696,3269,2124,3652,1014,3813,3173,4784,1048,2267,2203,1772,2537,3216,2736,3396,658,1791
3710,665,2620,3249,2159,3623,990,3870,3270,4731,1085,2198,2164,1691,2442,3245,2836,3375,618,1736
3784,643,2603,3232,2212,3559,943,3813,3110,4840,1141,2241,2149,1712,2392,3243,2807,3484,653,1819
3816,600,2564,3211,2207,3509,939,3804,3327,4884,1048,2187,2135,1735,2478,3233,2706,3285,601,1821
3752,650,2595,3189,2238,3582,960,3752,3420,4828,1079,2227,2228,1793,2569,3267,2723,3444,658,1861
3707,681,2542,3117,2150,3619,985,3783,3104,4835,1097,2154,2205,1769,2405,3171,2727,3358,632,1759
3708,627,2751,3143,2167,3649,1002,3820,3206,4680,1079,2228,2143,1737,2479,3265,2690,3374,645,1882
3570,682,2568,3142,2170,3443,918,3748,3276,4678,1044,2162,2086,1727,2490,3208,2709,3232,601,1856
3711,659,2676,3156,2188,3561,1058,3580,3163,4747,1023,2141,2123,1727,2614,3110,2678,3325,673,1793
3779,644,2610,3238,2184,3544,1009,3753,3222,4744,1027,2190,2225,1734,2634,3164,2679,3294,623,1700
3705,615,2603,3262,2202,3561,995,3670,3189,4751,991,2038,2091,1703,2500,3222,2750,3399,646,1746
3635,581,2670,3238,2178,3484,921,3849,3177,4913,1086,2263,2256,1767,2504,3344,2703,3397,628,1991
3687,631,2611,3338,2193,3524,1041,3709,3183,4852,1090,2126,2178,1715,2513,3202,2631,3306,624,1823
3810,600,2543,3122,2262,3738,944,3783,3140,4967,1089,2172,2211,1723,2565,3232,2808,3347,613,1845
3735,628,2639,3046,2242,3519,936,3789,3218,4903,1097,2081,2147,1726,2421,3276,2658,3215,575,1775
3850,621,2625,3157,2220,3455,923,3589,3180,4833,1036,2228,2099,1718,2553,3222,2785,3257,672,1768
3614,686,2682,3256,2250,3538,1054,3772,3328,4815,1075,2212,2262,1700,2425,3250,2721,3297,611,1890
3672,587,2621,3034,2236,3550,951,3524,3093,4761,1031,2131,2159,1724,2505,3148,2706,3183,626,1820
3689,594,2732,3187,2165,3531,925,3784,3230,4823,1008,2223,2142,1744,2425,3142,2795,3253,619,1867
3656,601,2696,3160,2150,3472,963,3851,3195,4753,1035,2301,2178,1714,2433,3179,2698,3256,574,1800
3798,651,2763,3152,2305,3645,950,3802,3255,4976,1120,2132,2220,1711,2435,3293,2855,3352,673,1845
3755,591,2564,3126,2205,3557,939,3818,3247,4857,1089,2197,2049,1582,2589,3194,2771,3251,620,1710
3687,678,2696,3197,2268,3584,1027,3740,3191,4841,1046,2223,2188,1683,2486,3299,2688,3266,637,1839
3718,621,2658,3245,2236,3493,921,3834,3316,4851,1110,2350,2222,1775,2498,3306,2797,3402,608,1798
3663,614,2583,3283,2213,3678,996,3762,3081,4873,1047,2215,2167,1759,2473,3289,2818,3403,683,1739
3650,578,2600,3136,2141,3603,943,3688,3101,4625,1094,2161,2106,1733,2391,3291,2733,3268,619,1679
3735,660,2719,3257,2171,3490,985,3709,3172,4732,1053,2183,2163,1752,2619,3352,2709,3271,613,1765
3540,639,2608,3319,2117,3478,1010,3566,3364,4760,996,2241,2186,1728,2608,3182,2622,3439,646,1751
3689,588,2570,3227,2209,3546,990,3782,3259,4777,1051,2204,2090,1670,2430,3189,2800,3326,658,1793
3626,697,2731,3249,2157,3572,1001,3732,3206,4754,1090,2357,2163,1777,2478,3325,2675,3403,642,1790
3554,673,2624,3274,2224,3554,1020,3698,3326,4866,1033,2231,2106,1687,2462,3279,2710,3303,605,1818
3697,639,2719,3256,2198,3502,916,3733,3353,4871,1150,2187,2167,1761,2523,3236,2761,3436,628,1847
3728,617,2612,3160,2251,3417,951,3792,3178,4773,1038,2113,2155,1785,2518,3248,2763,3359,632,1755
3699,614,2565,3196,2111,3577,1001,3521,3121,4787,1087,2185,2174,1718,2467,3115,2639,3329,609,1775
3775,652,2660,3150,2160,3619,1023,3627,3244,5022,1084,2261,2169,1876,2603,3302,2678,3399,644,1670
