Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
5297,487,2358,3447,1931,4018,1076,2461,1719,6257,987,1407,3037,2073,4105,2362,2558,3960,935,1696
5029,397,2376,3672,2007,3907,1034,2633,2087,6008,1014,1391,2668,1921,3859,2205,2353,3818,825,1597
4692,430,2094,3321,1851,3806,927,2309,1771,5701,932,1226,2691,1692,3631,2081,2184,3455,786,1478
4852,426,2269,3540,1832,3768,1018,2376,1884,5840,966,1325,2784,1775,3611,2186,2312,3555,829,1657
4868,417,2126,3472,1879,3749,929,2409,1858,5844,934,1245,2689,1916,3656,2244,2286,3689,776,1528
4991,457,2163,3540,1894,3689,1046,2381,1974,5873,936,1300,2882,1952,3853,2314,2308,3530,824,1530
5074,420,2217,3732,2052,4099,1043,2601,2024,6120,972,1393,2988,1783,3981,2411,2468,3871,776,1701
4857,471,2144,3367,1813,3865,996,2384,1881,5723,955,1407,2777,1856,3596,2421,2406,3544,831,1636
5187,410,2284,3449,2012,3934,1085,2542,1851,6222,914,1437,2880,2073,4011,2555,2563,3845,930,1750
4955,401,2106,3419,1881,3865,1002,2275,1858,5888,908,1287,2725,1839,3587,2382,2365,3693,803,1586
4645,403,2109,3500,1930,3876,954,2414,1916,5640,948,1314,2720,1702,3595,2238,2185,3585,767,1650
5122,405,2275,3624,2010,3924,1034,2601,1974,6156,926,1383,2842,1884,3858,2354,2484,3822,835,1601
5080,410,2146,3700,1900,3895,952,2302,1896,5926,932,1270,2899,1892,3820,2345,2295,3896,853,1621
5088,398,2302,3528,1862,3859,956,2520,1822,5829,968,1391,2864,1879,3850,2310,2406,3769,854,1638
5200,419,2237,3605,1889,4164,971,2332,1760,6142,970,1321,2872,1891,3903,2320,2381,3845,877,1649
5222,447,2507,3987,2103,4362,1134,2596,2138,6307,984,1372,3088,1950,4212,2470,2480,4119,920,1695
4770,396,2198,3436,1831,3678,964,2373,2079,5736,863,1310,2645,1743,3611,2190,2292,3588,781,1629
4640,420,2112,3306,1863,3733,949,2248,1863,5786,897,1228,2665,1706,3383,2150,2298,3586,779,1556
4814,444,2357,3492,1994,3832,1062,2491,1906,5664,934,1328,2712,1895,3732,2534,2422,3596,842,1669
5012,394,2207,3692,1902,3839,968,2323,1788,6000,963,1259,3011,1901,4015,2295,2291,3923,806,1544
4522,383,2133,3312,1902,3684,882,2418,1913,5635,854,1407,2544,1783,3596,2336,2277,3519,764,1529
4969,480,2172,3534,1903,3923,941,2352,1861,6037,958,1258,2900,1845,3834,2405,2335,3797,971,1548
5037,407,2167,3401,1897,4029,964,2249,1792,6225,977,1303,2859,1819,3708,2195,2272,3632,886,1564
4748,406,2384,3616,1964,3889,960,2453,1984,5882,875,1531,2789,1914,3868,2389,2388,3755,811,1645
4681,338,2108,3391,1902,3890,988,2284,1883,5681,867,1258,2780,1880,3575,2353,2326,3557,775,1648
4519,427,2194,3568,1839,3623,992,2290,1879,5602,927,1320,2746,1821,3767,2178,2219,3625,760,1468
4897,391,2290,3458,1877,3834,1027,2432,1818,6074,931,1444,2831,1991,3838,2410,2483,3743,814,1644
4670,448,2115,3355,1810,3506,961,2227,1648,5614,886,1271,2652,1865,3668,2112,2282,3586,840,1477
5865,502,2594,3992,2195,4462,1173,2785,2080,6628,1085,1585,3295,2167,4414,2657,2784,4440,1009,1955
4728,387,2099,3261,1899,3815,893,2358,1923,5550,997,1311,2691,1734,3447,2285,2207,3570,821,1569
4767,363,2159,3485,2000,3748,936,2556,2036,5794,983,1424,2654,1782,3558,2239,2369,3832,789,1536
4935,435,2187,3438,1984,4037,1012,2332,1829,5729,1000,1356,2749,1794,3743,2297,2332,3766,845,1551
4941,396,2248,3510,1945,3804,948,2489,1763,5715,991,1290,2743,1938,3891,2367,2467,3745,812,1525
5292,433,2347,3885,1977,4294,1091,2645,2121,6277,1036,1485,2966,2024,4041,2475,2724,4032,922,1654
4643,352,2116,3368,1823,3716,921,2419,1884,5574,933,1378,2703,1767,3573,2416,2350,3589,803,1567
4596,427,2118,3473,1904,3757,944,2450,1880,5498,951,1307,2722,1859,3665,2292,2355,3679,795,1506
5076,427,2223,3382,1909,4012,887,2497,1852,5804,966,1490,2995,1989,3632,2288,2481,3841,829,1644
4861,429,2213,3575,2012,3825,965,2465,1917,5918,899,1276,2763,1924,3789,2384,2417,3671,920,1689
5033,409,2223,3388,1874,3938,1009,2492,1915,5911,968,1331,2784,1712,3629,2312,2331,3706,799,1603
4975,459,2481,3714,1933,4014,1099,2663,2032,5857,1022,1435,2947,1914,3942,2364,2532,3758,819,1770
4607,376,2167,3386,1894,3800,975,2382,1751,5414,911,1341,2709,1781,3511,2271,2399,3686,753,1584
4390,390,1987,3253,1682,3527,943,2053,1723,5242,829,1083,2492,1737,3561,2083,2029,3320,772,1398
4602,388,2091,3486,1741,3563,1040,2434,1901,5634,926,1250,2603,1760,3636,2193,2189,3431,725,1527
4548,392,2098,3360,1881,3527,928,2319,1807,5587,893,1230,2654,1745,3500,2025,2178,3427,761,1428
5022,395,2289,3707,1948,4045,972,2652,2115,6016,941,1430,2987,1989,3862,2555,2470,3985,853,1605
5002,418,2249,3585,2103,3917,1006,2458,2008,6113,951,1426,2899,1906,3764,2445,2548,3842,758,1755
5161,407,2363,3645,1973,3951,1097,2509,2031,6057,988,1345,2961,1941,3977,2387,2538,3956,830,1642
5471,467,2511,3789,2179,4356,1082,2766,2184,6364,1080,1500,3046,2132,4054,2588,2659,4280,916,1783
4630,403,2278,3587,1926,3944,951,2458,2001,5670,873,1362,2733,1827,3711,2341,2390,3739,835,1657
4486,403,2145,3484,1898,3602,951,2356,1905,5582,866,1368,2671,1914,3796,2188,2194,3537,807,1616
4674,440,2162,3366,1881,3959,965,2399,1892,5596,922,1367,2877,1775,3831,2352,2384,3805,869,1573
5135,416,2333,3629,2014,4172,1006,2587,1886,5954,1012,1382,2888,1933,3759,2337,2540,3893,846,1616
4625,366,2143,3346,1694,3518,899,2331,1745,5585,946,1316,2682,1744,3685,2103,2237,3413,764,1542
4924,371,2338,3456,2105,3969,882,2565,2102,6001,909,1431,2728,1856,3545,2353,2342,3824,800,1682
5045,452,2392,3780,1950,3902,1014,2628,2108,6170,1011,1404,2841,1948,3906,2488,2443,3817,842,1592
4714,449,2255,3327,1901,3789,1048,2486,1888,5760,938,1384,2844,1945,3668,2474,2469,3715,864,1720
4423,308,2071,3168,1778,3528,920,2396,1786,5408,887,1324,2484,1691,3372,2148,2170,3471,782,1472
4489,372,2000,3368,1642,3327,831,2158,1768,5401,914,1163,2511,1790,3448,2041,2171,3398,660,1397
5088,411,2145,3518,1869,3919,963,2354,1687,5958,912,1286,2996,1973,3983,2318,2418,3790,896,1608
4689,402,2209,3532,1958,3925,925,2350,1816,5827,917,1241,2783,1810,3764,2374,2397,3754,860,1540
5166,405,2328,3784,2035,4087,1011,2548,2003,6158,1006,1279,2948,2014,4098,2345,2391,3984,790,1648
5034,390,2111,3422,1744,3741,991,2275,1860,5803,889,1283,2683,1832,3692,2235,2360,3794,803,1545
5296,488,2307,3781,2037,4004,1078,2499,2210,5977,958,1333,2942,2031,3981,2444,2464,3868,820,1695
4785,363,2138,3270,1751,3656,885,2266,1856,5557,842,1233,2522,1887,3493,2165,2217,3514,746,1471
5238,446,2461,3724,2078,4055,1082,2654,2007,6124,1033,1449,2922,2065,3945,2525,2575,3856,932,1645
4767,404,2063,3129,1654,3654,930,2251,1574,5363,944,1171,2594,1775,3628,2349,2362,3558,794,1448
5014,414,2138,3669,1956,3964,1055,2335,1807,5975,954,1268,2984,1828,3986,2315,2328,3872,881,1524
4850,411,2109,3532,1956,3616,1001,2337,1905,6075,939,1384,2753,1992,3714,2301,2204,3676,855,1571
5194,435,2291,3433,1868,4137,1026,2386,1790,6054,977,1348,2860,1783,3892,2358,2510,3870,830,1582
4909,374,2246,3628,1913,3931,994,2512,1979,5943,1017,1370,2815,1935,3879,2390,2409,3737,847,1599
4898,384,2122,3423,1874,3732,959,2308,1833,5895,938,1258,2782,1899,3754,2327,2325,3655,776,1555
4546,356,2022,3269,1739,3530,980,2199,1713,5508,901,1202,2546,1813,3585,2071,2213,3284,794,1580
5031,408,2336,3757,2046,3894,989,2603,2088,6122,977,1335,2823,1870,3944,2297,2417,3775,753,1617
4606,384,2085,3440,1819,3600,940,2346,2060,5484,925,1247,2576,1720,3487,2134,2175,3486,794,1537
4917,454,2318,3642,2054,4081,1013,2545,2023,6059,1015,1367,3034,1835,3783,2388,2471,3927,892,1699
5123,425,2392,3650,1941,3862,1091,2575,1951,5954,980,1433,2729,2056,3889,2429,2403,3943,736,1566
4994,450,2381,3641,1824,4052,1165,2553,1895,5830,923,1293,2994,1810,3738,2344,2438,3779,732,1630
5728,402,2350,3961,1999,4417,1075,2594,1938,6817,985,1367,3117,2049,4133,2456,2700,4104,964,1731
4631,463,2128,3323,1801,3864,881,2417,1727,5551,928,1254,2677,1774,3580,2176,2267,3625,801,1479
4927,430,2283,3578,1932,3905,1024,2495,1933,5947,900,1494,2909,1993,3819,2330,2361,3662,871,1688
5013,400,2303,3750,2102,4022,1079,2512,1867,6112,951,1340,2842,1829,3982,2384,2486,3869,815,1654
5096,436,2238,3627,2012,4152,973,2501,2046,6042,954,1330,2959,1876,3818,2314,2522,3852,795,1572
5316,429,2303,3536,2110,3959,1042,2578,2056,6046,1031,1385,2734,1941,3748,2395,2453,3805,864,1648
4686,402,2320,3414,1870,3599,959,2499,1788,5577,887,1386,2695,1875,3627,2233,2344,3600,788,1579
4872,389,2067,3421,1791,3802,962,2210,1816,5778,886,1184,2769,1702,3748,2218,2169,3609,783,1545
4985,364,2193,3624,1923,3997,951,2376,1970,6199,868,1352,2860,1864,3794,2308,2433,3768,826,1628
4836,412,2156,3403,1863,3720,1020,2318,1786,5685,964,1204,2668,1807,3667,2217,2259,3605,789,1595
4739,393,2018,3218,1765,3630,907,2077,1622,5804,849,1254,2649,1588,3574,2125,2223,3487,817,1520
5031,458,2120,3565,1983,4000,1018,2497,1953,5900,967,1486,3054,1931,3755,2525,2562,3899,931,1683
5067,437,2406,3619,2137,4091,1110,2797,2108,6151,1077,1445,2944,1931,3926,2575,2577,3924,875,1733
4926,445,2282,3496,1945,3834,1044,2452,1943,6004,988,1381,2929,1784,3771,2438,2389,3906,801,1649
4611,433,2119,3441,1852,3749,984,2412,2027,5627,901,1381,2654,1784,3500,2370,2409,3662,777,1571
4968,433,2309,3487,1952,3965,1033,2567,1935,6079,957,1520,3002,1865,3820,2304,2437,3786,833,1682
5398,410,2285,3617,1951,3916,974,2505,1940,6365,943,1422,2912,1844,3874,2286,2373,3772,803,1679
4955,400,2317,3625,1949,3836,1070,2621,1988,5838,942,1381,2795,1825,3798,2353,2393,3719,874,1664
4559,357,2071,3291,1924,3584,900,2297,1821,5502,896,1358,2558,1771,3473,2103,2189,3471,814,1551
4888,453,2296,3425,1963,3845,940,2468,1893,5745,1012,1349,2832,2027,3742,2222,2368,3733,744,1499
5142,434,2343,3470,1944,3899,1005,2464,1957,6205,964,1477,2750,2023,3852,2434,2610,3729,914,1676
5034,429,2135,3545,1830,3911,1003,2352,1788,5756,959,1298,2706,1960,3839,2267,2269,3876,877,1520
4996,357,2203,3614,1961,3564,921,2530,1894,5876,894,1393,2696,1990,3830,2328,2345,3569,822,1580
