Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3670,441,3076,3238,2243,3576,1076,3626,3191,4684,1141,2362,2107,1688,2230,3203,2829,3413,599,1772
3829,416,2947,3268,2128,3833,1031,3683,3283,4641,1092,2254,2049,1700,2278,3097,2617,3379,542,1774
3693,484,2881,3286,2228,3573,1017,3697,3507,4755,1080,2206,2041,1740,2222,3092,2712,3256,583,1868
3825,453,3014,3394,2211,3502,1068,3627,3285,4791,1097,2248,2159,1683,2285,3123,2720,3464,568,1803
3773,487,2853,3347,2207,3512,1082,3573,3385,4605,1136,2257,2025,1785,2182,3148,2876,3301,588,1734
3741,416,2894,3290,2199,3522,964,3657,3353,4758,1141,2402,2066,1719,2318,3140,2776,3292,628,1797
3668,469,2948,3152,2301,3828,1026,3477,3153,4694,1116,2361,2083,1716,2219,3084,2635,3290,569,1739
3876,414,2943,3277,2255,3655,991,3683,3293,4702,1118,2244,1963,1658,2221,3194,2846,3323,601,1735
3694,455,2871,3336,2232,3733,991,3563,3362,4658,1073,2317,1959,1825,2272,3019,2734,3404,524,1690
3681,460,2930,3356,2209,3542,1018,3611,3220,4796,1087,2288,2064,1694,2329,3116,2707,3439,590,1813
3720,457,3019,3378,2199,3586,1076,3665,3201,4716,1166,2314,2102,1759,2240,3115,2793,3260,545,1745
3753,471,3041,3319,2195,3606,1030,3583,3174,4705,1136,2300,2076,1612,2208,3037,2775,3434,590,1770
3666,500,2930,3395,2353,3625,1044,3501,3275,4672,1086,2344,2048,1620,2213,3138,2729,3430,552,1756
3813,457,2976,3275,2198,3636,1073,3701,3191,4736,1102,2304,2038,1651,2280,3175,2755,3460,571,1712
3801,427,2895,3283,2288,3615,1032,3683,3256,4798,1150,2210,2125,1661,2247,3175,2625,3326,543,1783
3692,469,3010,3432,2160,3565,1004,3626,3251,4718,1154,2304,2046,1705,2241,3079,2819,3291,581,1769
3780,459,2943,3227,2230,3581,995,3599,3443,4692,1163,2401,2123,1580,2240,3041,2857,3442,565,1798
3740,509,2967,3375,2224,3686,1036,3513,3185,4656,1095,2278,2070,1661,2251,3177,2781,3421,595,1769
3760,464,2900,3392,2176,3571,1020,3600,3405,4663,1126,2364,2013,1760,2229,3158,2792,3396,533,1707
3767,437,2849,3258,2225,3604,1079,3784,3361,4679,1119,2365,2038,1723,2254,3164,2640,3298,581,1787
3847,435,2863,3404,2215,3540,1018,3662,3285,4711,1132,2380,2044,1665,2225,3184,2704,3400,598,1779
3705,443,2913,3298,2303,3563,1028,3723,3339,4773,1129,2247,2050,1657,2292,3218,2724,3266,621,1784
3716,472,2878,3314,2222,3534,1022,3649,3247,4653,1187,2409,2047,1690,2259,3141,2850,3476,561,1778
3882,461,3004,3255,2280,3548,986,3728,3352,4616,1131,2389,1994,1636,2179,3072,2804,3433,604,1797
3834,436,2956,3310,2308,3528,999,3647,3370,4829,1090,2243,2092,1676,2193,3192,2769,3359,575,1701
3733,420,2822,3349,2243,3624,1055,3751,3365,4659,1120,2380,2043,1680,2284,3177,2777,3341,514,1776
3691,463,2969,3419,2257,3530,1059,3574,3401,4768,1138,2252,2127,1598,2283,3070,2728,3444,583,1792
3696,500,2969,3334,2281,3647,1025,3471,3345,4687,1173,2344,1957,1690,2285,3039,2733,3302,563,1750
3718,467,3010,3357,2350,3518,992,3684,3318,4568,1198,2285,2096,1657,2187,3090,2650,3301,554,1792
3735,464,2978,3297,2344,3598,1048,3770,3185,4593,1143,2283,2028,1700,2223,3117,2709,3298,549,1772
3720,430,2960,3296,2230,3655,1004,3647,3326,4735,1122,2270,2134,1655,2256,3074,2653,3346,591,1733
3807,453,2919,3290,2255,3650,974,3799,3368,4576,1136,2291,2012,1653,2102,3126,2780,3441,542,1764
3683,430,2974,3264,2320,3402,957,3648,3363,4704,1069,2409,1998,1669,2266,3315,2789,3356,596,1798
3767,453,2939,3259,2248,3648,986,3756,3395,4724,1166,2272,1893,1637,2085,3140,2759,3320,549,1898
3791,431,2850,3174,2235,3625,1051,3601,3246,4749,1191,2251,2044,1666,2227,3128,2764,3408,584,1773
3716,475,2913,3264,2342,3637,1052,3724,3276,4659,1133,2351,1951,1710,2227,3170,2860,3273,571,1782
