Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4107,553,2920,3189,1965,3744,1211,2996,2702,4693,1038,1955,2313,1892,2691,3374,2862,3438,690,1378
4326,610,2862,3125,2138,3881,1216,3016,2634,4868,1094,1994,2377,1885,2692,3192,2767,3571,622,1365
4239,598,2860,3249,2124,3826,1258,3007,2593,4948,1056,2043,2293,1829,2677,3289,2762,3504,637,1373
4261,614,2909,3166,2067,3759,1215,2935,2639,4770,1043,2094,2417,1889,2659,3339,2901,3464,738,1477
3958,612,2823,3274,2179,3855,1200,3124,2657,4819,1080,2086,2326,1852,2709,3210,2817,3441,672,1448
4224,633,2915,3237,2151,3790,1188,3070,2684,4844,1077,2080,2287,1881,2601,3286,2659,3544,701,1374
3987,630,2946,3139,2121,3826,1145,3008,2701,4722,1045,1981,2403,1867,2710,3275,2916,3543,648,1488
4037,601,2774,3209,2136,3913,1160,3015,2682,4855,1033,1950,2298,1825,2551,3231,2898,3515,681,1385
4225,589,2793,2992,2195,3895,1217,2985,2685,4948,1034,2083,2330,1877,2625,3245,2888,3480,721,1366
4145,623,2756,3145,2062,3915,1196,3054,2786,4749,1106,2133,2154,1806,2660,3234,2774,3499,639,1527
4110,660,2783,3083,2097,3829,1211,3058,2718,4912,1016,2073,2315,1709,2607,3337,2858,3512,661,1483
4021,634,2724,3085,2104,3776,1262,3081,2590,4668,1081,2043,2374,1866,2615,3281,2903,3346,678,1455
4199,648,2860,3103,2033,3913,1195,2995,2660,4763,1103,2041,2346,1889,2625,3243,2878,3495,656,1500
4149,639,2809,3064,2157,3773,1175,2909,2544,4980,1096,1944,2314,1832,2681,3296,2802,3541,692,1427
4142,602,2877,3110,2016,3818,1220,3008,2741,4809,1109,1980,2249,1856,2622,3194,2848,3473,704,1461
4121,618,2713,3194,2224,3868,1135,2998,2600,4724,1085,2031,2248,1846,2670,3324,2848,3535,682,1394
3968,621,2937,2970,2184,3874,1214,3013,2548,4796,1074,2073,2345,1873,2566,3300,2906,3629,704,1489
4133,588,2823,3153,2068,3744,1250,2980,2663,4844,1112,2084,2300,1897,2697,3281,2760,3513,675,1405
4107,600,2758,3183,2088,3689,1187,3072,2831,4688,1013,2062,2307,1758,2644,3396,2820,3485,696,1441
4172,633,2735,3112,2093,3899,1271,3012,2700,4728,1100,1974,2359,1878,2704,3210,2789,3571,644,1420
4225,672,2874,3081,2139,3942,1179,2831,2649,4801,1091,2023,2298,1814,2662,3336,2748,3623,715,1491
4162,588,2826,3172,2181,3728,1227,3021,2800,4801,1117,2117,2169,1858,2640,3383,2785,3485,660,1436
3982,583,2746,3097,2086,3807,1222,3034,2746,4713,1068,2111,2242,1921,2709,3398,2907,3563,659,1478
4186,606,2799,3044,2236,3831,1243,3040,2765,4779,1087,2044,2408,1781,2695,3250,2780,3551,680,1502
4072,579,2896,3105,2268,3814,1206,2985,2679,4769,1106,2070,2254,1816,2658,3292,2878,3516,692,1484
4164,643,2741,3107,2230,3870,1237,2997,2537,4885,1068,2055,2429,1803,2651,3376,2949,3469,655,1341
4080,588,2855,3199,2131,3835,1197,3046,2748,4738,1137,2018,2240,1871,2640,3329,2819,3502,708,1460
4041,628,2838,3120,2144,3826,1184,2952,2659,4727,1114,2065,2319,1832,2705,3228,2857,3449,736,1439
4085,616,2845,3034,2120,3874,1171,2978,2701,4757,1059,1984,2293,1858,2578,3222,2770,3605,685,1487
4026,601,2877,3149,2118,3737,1211,3041,2664,4743,1099,2128,2263,1786,2571,3310,2967,3545,695,1468
4026,604,2786,3042,2104,3691,1199,3113,2640,5028,1043,2033,2403,1869,2750,3379,2835,3570,662,1416
4173,626,2834,3117,2084,3874,1236,3054,2557,4780,1096,1947,2286,1852,2696,3236,2775,3613,675,1488
4016,639,2838,3062,2157,3909,1265,2946,2653,4890,1083,2040,2351,1819,2633,3398,2814,3557,679,1455
4123,599,2904,3013,2131,3810,1172,3152,2794,4939,1088,2009,2193,1777,2625,3264,2788,3440,681,1484
4117,567,2856,3197,2095,3808,1279,3019,2554,4783,1051,1939,2430,1843,2618,3384,2859,3638,648,1351
4090,604,2745,3101,2112,3733,1184,3117,2674,4787,1112,2047,2402,1845,2530,3370,2896,3422,697,1420
4102,575,2803,3086,2116,3720,1135,3071,2825,4794,1059,1979,2384,1798,2660,3221,2858,3551,683,1430
3900,604,2861,3138,2165,3802,1222,2949,2624,4877,1117,2057,2427,1823,2542,3292,2850,3619,660,1472
3996,601,2768,3204,2193,3872,1185,3034,2676,4753,1093,2009,2301,1899,2517,3340,2840,3544,637,1476
4135,639,2689,3084,2091,3871,1197,3045,2695,4786,1066,2056,2381,1815,2580,3358,2792,3615,655,1480
3923,614,2814,3168,2123,3883,1212,3053,2620,4808,1013,2112,2318,1800,2622,3263,2880,3472,730,1455
3966,598,2791,3148,2113,3837,1211,3037,2844,4799,1080,1951,2401,1859,2510,3212,2763,3676,718,1461
4100,625,2872,3084,2011,3835,1175,2984,2728,4889,1076,2075,2331,1847,2566,3346,2791,3591,688,1431
4006,591,2930,3130,2110,3893,1198,3000,2595,4729,1061,2113,2285,1820,2547,3362,2847,3598,685,1457
4150,613,2751,3168,2144,3846,1170,3140,2596,4805,1039,2065,2243,1775,2610,3271,2800,3554,655,1421
4019,555,2786,3050,2151,3796,1198,3050,2814,4908,978,2156,2305,1943,2667,3270,2813,3548,696,1432
3970,593,2765,3166,2138,3682,1210,2967,2780,4735,1041,2096,2267,1920,2733,3340,2775,3474,670,1413
4049,617,2808,3098,2174,3923,1300,3032,2540,4811,1029,1924,2290,1856,2671,3231,2922,3605,652,1398
4123,584,2895,3268,2117,3883,1226,2993,2770,4721,1069,2106,2275,1845,2711,3121,2767,3537,675,1457
4117,565,2856,3070,2110,3934,1218,3073,2642,4898,1069,1977,2325,1795,2504,3330,2886,3629,701,1391
4062,605,2805,3116,2089,3844,1179,3131,2661,4786,1038,1973,2294,1910,2718,3425,2787,3496,678,1486
4143,592,2866,3128,2146,3681,1186,3032,2777,5009,1059,2168,2261,1815,2586,3345,2869,3486,643,1448
4152,627,2712,3130,2180,3737,1249,3013,2794,4783,1090,1965,2454,1886,2531,3198,2729,3523,658,1466
4049,637,2789,3192,2115,3745,1162,2942,2778,4838,1075,1979,2272,1962,2732,3271,2847,3498,675,1403
4049,626,2803,3109,2177,3819,1224,3010,2727,4898,1022,2077,2347,1865,2561,3207,2756,3656,718,1427
3997,662,2845,3237,2118,3781,1217,3034,2638,4738,1067,2081,2192,1843,2782,3235,2837,3516,657,1452
4129,578,2740,3186,2157,3764,1224,3032,2764,4762,1049,2032,2220,1850,2630,3292,2768,3646,652,1376
4288,619,2795,3215,2146,3831,1208,2975,2623,4817,1077,1974,2262,1823,2610,3250,2780,3612,695,1428
4231,591,2800,3082,2137,3827,1206,3008,2776,4766,1125,2114,2358,1786,2553,3216,2851,3581,637,1424
4058,593,2825,3159,2087,3730,1183,3047,2691,4807,1102,2024,2328,1833,2603,3318,2723,3499,666,1447
4166,565,2823,3074,2112,3758,1258,3043,2621,4730,1102,2076,2309,1877,2639,3349,2775,3486,676,1425
4092,625,2705,3065,2200,3774,1201,3066,2735,4742,1072,2055,2313,1863,2683,3216,2728,3553,656,1421
3954,592,2764,3059,2249,3785,1199,3064,2887,4710,1122,2136,2286,1928,2564,3280,2793,3471,696,1459
4160,596,2944,3117,2111,3758,1187,2992,2609,4730,1062,1946,2304,1894,2646,3293,2919,3641,644,1447
4096,570,2754,3040,2094,3804,1189,3048,2637,4776,1069,2013,2275,1882,2718,3341,2802,3550,674,1430
4082,630,2784,3114,2189,3840,1151,3011,2591,4816,1086,2023,2309,1945,2714,3247,2808,3640,723,1372
4081,618,2795,3083,2229,3710,1229,3050,2608,4947,1109,1954,2328,1821,2655,3224,2727,3537,679,1441
4071,637,2864,3065,2140,3868,1151,3127,2753,4800,1052,2012,2349,1815,2561,3314,2935,3628,659,1384
4151,643,2798,3092,2168,3806,1189,3074,2636,4816,1026,2040,2318,1809,2620,3227,2792,3656,686,1476
4029,602,2824,3062,2080,3982,1251,3069,2801,4867,1071,2054,2354,1890,2652,3263,2801,3507,657,1361
4104,670,2788,3095,2159,3888,1169,3133,2673,4870,1118,1973,2264,1876,2565,3249,2856,3461,664,1422
4018,584,2844,3198,2079,3803,1238,2958,2614,4963,1083,1990,2260,1800,2843,3248,2912,3555,653,1440
4126,603,2921,3070,2056,3872,1196,3030,2581,4971,1065,2014,2341,1834,2566,3321,2718,3675,650,1432
3999,642,2850,3213,2148,3827,1238,3075,2584,4728,1065,2006,2398,1904,2751,3288,2814,3441,695,1399
4068,559,2822,3090,2182,3731,1263,2979,2669,4833,1056,2021,2287,1929,2665,3246,2774,3522,676,1451
4071,572,2788,3011,2077,3901,1253,3175,2765,4802,1040,2061,2269,1839,2673,3360,2952,3502,635,1420
4073,583,2879,3076,2171,3877,1157,3018,2750,4853,1075,2053,2275,1771,2589,3358,2812,3625,701,1418
4125,650,2824,3143,2104,3786,1196,3096,2755,4898,1070,2090,2222,1908,2617,3373,2957,3466,662,1380
4201,548,2847,3182,2170,3815,1172,2967,2660,4772,1120,2076,2365,1912,2638,3264,2876,3583,717,1406
4137,626,2780,3256,2173,3868,1219,3057,2748,4626,1104,2091,2275,1872,2571,3342,2780,3467,704,1400
4004,614,2833,3151,2081,3706,1220,3082,2629,4827,1116,2001,2267,1792,2605,3311,2927,3514,690,1476
4102,578,2708,3125,2082,3738,1193,3045,2806,4742,1092,2033,2327,1899,2618,3342,2961,3516,679,1361
4127,601,2697,3092,2167,3818,1242,2975,2682,4828,1100,1976,2335,1829,2697,3355,2785,3585,652,1407
4077,585,2767,3076,2185,3829,1283,3055,2613,4838,1099,2028,2312,1880,2605,3256,2835,3490,687,1444
4220,653,2858,3130,2156,3766,1202,2897,2539,4936,1037,2010,2376,1811,2639,3346,2832,3455,724,1496
4132,590,2746,3171,2056,3853,1201,2956,2788,4747,1124,2070,2314,1800,2678,3303,2697,3476,694,1403
