Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3609,486,2868,3414,2195,3498,1020,3818,3569,4784,1079,2390,2096,1571,2273,3085,2576,3314,576,1859
3568,507,2896,3353,2307,3530,1035,3732,3599,4716,1023,2449,2062,1605,2347,3036,2653,3346,531,1806
3597,485,2914,3525,2206,3532,1032,3800,3434,4733,1054,2442,1963,1633,2257,2902,2724,3408,535,1831
3613,514,2820,3444,2324,3570,966,3830,3335,4684,1116,2375,2085,1675,2258,3053,2770,3337,598,1856
3657,482,2870,3419,2243,3536,1014,3813,3496,4804,1083,2361,2039,1709,2237,3070,2616,3413,549,1831
3722,533,2908,3455,2218,3542,1041,3712,3533,4676,1082,2349,1970,1676,2296,2986,2667,3434,587,1765
3597,479,2893,3507,2153,3517,966,3791,3572,4841,1009,2393,1951,1653,2317,3129,2527,3227,581,1822
3525,519,2912,3360,2255,3539,978,3825,3505,4805,1074,2386,2058,1586,2345,3038,2565,3343,560,1842
3700,505,2929,3350,2277,3623,1026,3805,3258,4736,1087,2337,2104,1632,2340,3039,2674,3311,587,1769
3642,490,2835,3407,2222,3513,954,3831,3412,4916,1061,2393,1993,1558,2296,3132,2626,3328,589,1808
3639,515,2877,3557,2200,3520,1030,3778,3490,4737,1082,2393,2012,1611,2269,3159,2619,3329,544,1764
3637,466,2939,3372,2209,3564,1026,3780,3511,4665,1098,2361,2074,1615,2389,3024,2570,3275,547,1847
3618,514,2781,3374,2213,3603,1026,3840,3531,4846,1103,2318,2070,1613,2254,3081,2668,3296,578,1854
3625,505,2917,3490,2265,3488,966,3716,3423,4645,1032,2438,2091,1665,2280,3143,2613,3420,582,1824
3690,456,2920,3490,2235,3569,1013,3728,3492,4763,1102,2348,2076,1691,2350,2916,2655,3293,553,1787
3654,477,2806,3315,2208,3624,1059,3671,3418,4815,1118,2376,2090,1660,2274,2972,2642,3270,540,1764
3648,507,2943,3428,2220,3558,959,3802,3558,4727,1075,2395,2088,1641,2125,3032,2606,3415,581,1784
