Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3916,547,2902,3154,2133,3626,1141,3462,2919,4691,1180,2278,2030,1927,2209,3353,2826,3354,619,1491
3842,567,2935,3078,2215,3738,1078,3368,2996,4611,1095,2320,2062,1896,2180,3420,2803,3380,680,1643
3973,559,2957,3281,2088,3621,1106,3460,2930,4763,1104,2250,2096,1844,2281,3295,2801,3450,672,1455
3835,570,2909,3168,2145,3506,1181,3459,3043,4666,1175,2390,1992,1853,2249,3207,2792,3395,531,1658
3979,467,2991,3291,2176,3651,1177,3318,3047,4823,1112,2221,2034,1861,2247,3290,2891,3358,609,1531
3880,551,2755,3072,2170,3641,1145,3331,3046,4734,1055,2340,2067,1916,2150,3229,2923,3436,678,1544
3839,522,2997,3208,2070,3751,1144,3350,3044,4704,1171,2226,2040,1847,2211,3298,2900,3554,639,1510
3964,601,2858,3176,2105,3621,1127,3387,2975,4628,1082,2269,1963,1858,2325,3381,2997,3574,622,1458
3952,558,2983,3186,2193,3752,1167,3325,2940,4664,1131,2347,2020,1824,2199,3295,2858,3478,582,1636
3853,547,2923,3229,2102,3693,1070,3314,3019,4783,1045,2330,2054,2024,2178,3333,2861,3474,639,1545
3832,559,2857,3263,2192,3636,1116,3382,3066,4701,1067,2251,2018,1901,2326,3353,2979,3398,588,1523
3879,503,2939,3035,2150,3569,1160,3522,3023,4743,1159,2260,2066,1843,2337,3395,2857,3400,563,1563
3792,549,2975,3191,2076,3479,1146,3511,3178,4634,1091,2358,2033,1982,2082,3349,2868,3427,590,1610
3824,569,2788,3201,2144,3548,1089,3356,3045,4751,1129,2352,2014,1927,2317,3312,2883,3367,602,1515
3798,537,2998,3266,2089,3552,1155,3316,3145,4743,1109,2305,2030,1834,2201,3193,3064,3421,604,1520
3822,560,2891,3093,2132,3652,1194,3333,2959,4800,1126,2292,2079,1878,2194,3254,3010,3547,578,1583
3815,532,2969,3133,2092,3638,1142,3372,2937,4795,1088,2313,2137,1906,2179,3396,2872,3542,614,1561
3897,532,3014,3260,2146,3612,1109,3474,3095,4715,1142,2347,2046,1827,2195,3309,2764,3459,622,1533
3857,547,2839,3067,2074,3809,1039,3397,3032,4669,1151,2249,2099,1871,2250,3290,2897,3492,619,1592
3887,539,2898,3182,2166,3577,1127,3309,3050,4791,1151,2309,2035,1842,2308,3313,2938,3368,604,1564
3869,554,2912,3142,2119,3795,1093,3332,2983,4676,1140,2200,2024,1878,2212,3378,2812,3451,644,1547
3923,546,2807,3175,2100,3576,1142,3225,2951,4782,1133,2257,2076,1946,2272,3312,2873,3583,597,1596
3907,572,2933,3259,2105,3679,1184,3352,2912,4826,1208,2327,2016,1885,2285,3412,2808,3312,614,1553
3837,550,2885,2965,2143,3561,1114,3408,3111,4743,1126,2291,2045,1920,2284,3426,2854,3557,594,1609
3869,531,2990,3120,2140,3603,1195,3466,3054,4652,1119,2225,2050,1903,2328,3294,2860,3380,605,1606
3893,534,2940,3207,2155,3595,1180,3318,2988,4772,1056,2347,2073,1877,2216,3351,2835,3563,604,1525
3877,570,2844,3204,2180,3710,1163,3491,3163,4632,1074,2293,1960,1875,2292,3367,2763,3474,586,1575
3796,540,2909,3164,2166,3673,1181,3407,3009,4833,1159,2256,2052,1916,2240,3227,2879,3451,615,1544
3884,561,2855,3106,2247,3705,1084,3472,3014,4614,1136,2213,2058,1798,2272,3481,2914,3382,628,1569
3870,558,2946,3087,2142,3636,1118,3434,3071,4725,1136,2367,2052,1847,2263,3434,2904,3490,624,1533
3906,561,2954,3240,2144,3633,1111,3412,2913,4741,1199,2245,2015,1899,2164,3418,2783,3395,598,1448
3832,585,2922,3162,2084,3524,1151,3408,3137,4663,1121,2273,2103,1862,2261,3306,2733,3482,618,1510
3750,562,2964,3085,2121,3597,1153,3478,3066,4748,1037,2272,2058,1949,2269,3286,2897,3360,643,1618
3785,566,2969,3149,2150,3682,1189,3373,3057,4592,1127,2412,1986,1809,2239,3354,2942,3503,548,1646
3967,538,2956,3099,2103,3727,1207,3222,2932,4656,1178,2195,2085,1905,2375,3385,2872,3519,635,1528
3888,524,2976,3143,2176,3630,1183,3461,2886,4781,1137,2264,2110,1877,2251,3442,2872,3442,599,1568
3886,521,2957,3207,2100,3640,1190,3368,3066,4823,1159,2258,2066,1871,2372,3292,2794,3444,622,1531
3831,540,2876,3185,2056,3699,1133,3381,3120,4784,1133,2377,2167,1908,2296,3342,2780,3420,612,1614
3872,532,3089,3098,2178,3606,1145,3323,2984,4720,1074,2252,2030,1908,2236,3363,2897,3387,607,1616
3754,570,2908,3185,2142,3672,1209,3390,2937,4682,1077,2311,2057,1839,2230,3322,2799,3440,634,1670
3886,532,2957,3195,2132,3743,1082,3463,3050,4721,1095,2378,2095,1848,2218,3233,2814,3500,598,1573
3724,551,2832,3138,2126,3723,1174,3390,2932,4912,1077,2352,2036,1816,2222,3381,2901,3364,655,1534
3832,517,2877,3141,2124,3712,1086,3313,3042,4800,1123,2298,2041,1904,2295,3227,2917,3422,637,1546
3838,584,2948,3114,2152,3629,1126,3344,3075,4563,1106,2337,2066,1912,2268,3390,2861,3379,582,1629
3848,543,2842,2994,2267,3664,1161,3429,2987,4793,1094,2315,2036,1809,2169,3341,2874,3400,603,1503
3805,586,2972,3186,2108,3668,1066,3450,3118,4688,1127,2353,1937,1889,2275,3277,2899,3419,587,1594
3977,536,2870,3068,2076,3657,1151,3374,3026,4684,1179,2362,2035,1826,2205,3392,2974,3476,648,1559
3706,532,2933,3102,2210,3648,1116,3425,3069,4633,1203,2254,2031,1861,2263,3240,2939,3406,601,1570
3832,585,2903,3090,2201,3623,1155,3416,2968,4794,1114,2388,2003,1876,2286,3242,2887,3374,635,1565
3869,589,2915,3146,2179,3561,1123,3429,2996,4786,1109,2284,2004,1882,2284,3344,2858,3496,589,1533
3934,523,2959,3202,2149,3766,1152,3242,2990,4770,1106,2290,2104,1832,2200,3330,2850,3490,620,1543
3888,539,2961,3196,2061,3792,1120,3372,2954,4702,1204,2343,2035,1841,2212,3357,2896,3433,588,1473
3895,518,2925,3185,2163,3662,1090,3286,3052,4839,1112,2312,2124,1919,2268,3414,2856,3418,615,1645
3948,563,2914,3184,2127,3773,1111,3381,2978,4768,1067,2297,2089,1894,2268,3385,2820,3468,620,1582
3850,519,3126,3023,2100,3542,1109,3390,2905,4741,1118,2327,1985,1859,2281,3540,2938,3496,572,1555
4024,563,2842,3125,2162,3554,1165,3316,2931,4661,1221,2259,2102,1930,2338,3389,2840,3591,535,1464
