Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3253,691,2196,3034,2406,3636,1249,2820,3507,4922,1147,2045,2625,2002,2111,3602,2857,3178,753,1768
3280,658,2260,3021,2358,3493,1342,2842,3198,5245,1136,1984,2537,2086,2156,3745,2913,3292,720,1771
3290,612,2206,3016,2367,3634,1244,2961,3184,5106,1142,2170,2537,2095,2149,3708,3006,3215,817,1804
3394,653,2117,3019,2327,3608,1309,2912,3486,5104,1146,2040,2467,2070,2190,3803,2915,3208,742,1768
3248,644,2222,3105,2338,3720,1292,2966,3565,4951,1087,2092,2609,1963,2163,3572,3018,3246,747,1727
3482,637,2277,3052,2268,3620,1297,2956,3273,5032,1058,2053,2510,1993,2237,3709,3004,3212,704,1729
3290,646,2178,3033,2302,3725,1257,2916,3305,5043,1085,2039,2502,2092,2149,3835,3068,3174,731,1711
3311,652,2200,3135,2413,3504,1213,2830,3482,5039,1120,2089,2554,1985,2153,3706,2948,3182,718,1688
3325,650,2162,3100,2448,3668,1288,2932,3377,5053,1113,2112,2477,2033,2132,3753,2913,3169,763,1689
3263,643,2170,3010,2282,3503,1299,2931,3401,5165,1096,2097,2526,2023,2214,3720,2923,3172,691,1716
3322,622,2206,3026,2240,3652,1345,2891,3299,4981,1070,2065,2523,1998,2231,3752,2990,3248,797,1786
3261,673,2139,3075,2468,3592,1168,2929,3259,5073,1132,2030,2492,2017,2226,3743,2915,3181,775,1835
3395,630,2270,2979,2419,3589,1361,2926,3176,5150,1147,2012,2682,2042,2183,3757,2982,3104,743,1858
3248,654,2163,2856,2375,3541,1360,2854,3267,5035,1096,2001,2633,2112,2113,3602,2955,3168,789,1739
3422,632,2171,3033,2358,3628,1231,2987,3239,5111,1041,1908,2568,2038,2258,3679,2960,3247,711,1734
3293,713,2175,2950,2387,3614,1339,2885,3275,5108,1106,1954,2528,2094,2209,3700,3014,3211,729,1822
3259,677,2197,3058,2396,3587,1305,2863,3441,5031,1092,2013,2578,2143,2096,3698,2941,3146,705,1699
3459,685,2220,2983,2311,3633,1336,2899,3236,5135,1097,2025,2561,1968,2147,3704,2942,3187,677,1805
3445,674,2211,3069,2334,3602,1315,2935,3150,5034,1119,1988,2549,2094,2180,3650,2933,3261,709,1734
3375,570,2199,2985,2360,3585,1255,2904,3445,4999,1106,2011,2444,2137,2221,3689,2977,3194,737,1747
