Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3806,537,2960,3089,2021,3830,1062,3409,2613,4678,1127,2333,2081,1720,2200,3415,2767,3343,580,1594
3712,568,3141,3190,2141,3933,1181,3442,2632,4542,1064,2286,2062,1642,2349,3563,2681,3427,617,1591
3603,566,3009,3065,2115,3877,1009,3372,2624,4591,1176,2310,2162,1673,2264,3600,2755,3407,696,1539
3811,563,3039,3268,2085,3675,1123,3453,2832,4521,1158,2356,2061,1688,2321,3535,2894,3348,681,1604
3693,561,2959,3173,2084,3922,1015,3461,2779,4552,1164,2423,2072,1716,2265,3604,2761,3441,660,1634
3669,506,2932,3272,2033,3824,1087,3495,2821,4620,1109,2451,2079,1584,2178,3534,2823,3099,646,1658
3755,550,3109,3220,2109,3877,1062,3585,2702,4727,1111,2381,2127,1706,2263,3727,2882,3434,680,1601
3855,592,3095,3098,2114,3934,1024,3373,2586,4692,1076,2346,2087,1786,2258,3539,2745,3552,698,1613
3746,520,3004,3204,2056,3853,1017,3437,2738,4545,1118,2442,2036,1782,2330,3525,2778,3340,735,1596
3619,559,3168,3280,2120,3900,1088,3444,2717,4536,1120,2361,2196,1658,2335,3563,2772,3152,702,1565
3797,548,3085,3186,2078,3850,1064,3604,2787,4725,1133,2406,2138,1613,2306,3550,2816,3402,667,1583
3676,565,3106,3243,2032,3800,973,3327,2698,4524,1094,2416,2109,1696,2235,3592,2800,3200,641,1528
3756,577,2962,3218,2157,3865,1042,3567,2669,4549,1116,2300,2128,1639,2362,3626,2834,3332,646,1595
3663,606,2966,3125,1986,3686,1098,3445,2687,4663,1051,2353,2175,1758,2259,3548,2807,3316,669,1525
3798,530,2972,3139,2182,3906,1054,3516,2690,4803,1049,2437,2104,1647,2187,3677,2880,3324,688,1586
3689,566,3005,3223,2091,3803,1061,3597,2663,4755,1106,2331,2255,1687,2172,3519,2787,3353,693,1623
3667,580,2963,3143,2075,3769,1015,3403,2839,4627,1146,2429,2113,1688,2148,3592,2777,3291,642,1619
