Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3620,772,1921,2112,2337,3608,1511,2439,2133,5585,670,1689,3469,1632,3343,4656,3389,3365,672,1944
3787,732,1899,2237,2448,3760,1557,2537,2261,5614,658,1680,3393,1665,3362,4667,3426,3442,694,1855
3683,765,1911,2316,2233,3709,1462,2415,2134,5430,638,1700,3270,1687,3223,4392,3344,3451,685,1776
3633,743,1949,2216,2181,3552,1446,2386,2125,5513,653,1709,3398,1649,3264,4381,3409,3351,651,1734
3631,719,1872,2127,2220,3638,1429,2453,2035,5654,726,1640,3389,1614,3362,4423,3292,3265,695,1786
3859,737,1868,2163,2251,3718,1495,2517,2141,5449,660,1732,3403,1641,3374,4332,3470,3485,687,1847
3704,730,1896,2004,2345,3615,1525,2485,2092,5380,628,1779,3464,1646,3332,4334,3417,3465,713,1806
3697,744,1805,2125,2189,3671,1383,2479,2059,5407,619,1628,3272,1594,3194,4211,3399,3398,684,1794
3778,743,1888,2132,2284,3623,1397,2401,2083,5338,665,1690,3328,1641,3282,4469,3444,3358,676,1868
3604,717,1840,2097,2230,3567,1500,2457,2132,5509,652,1661,3378,1628,3264,4465,3327,3315,689,1763
3614,702,1807,2166,2105,3628,1418,2349,2188,5293,627,1672,3231,1542,3271,4296,3355,3473,708,1760
3636,718,1829,2185,2231,3742,1502,2500,2144,5565,621,1749,3423,1766,3320,4399,3377,3453,745,1801
3678,731,1810,2148,2278,3717,1506,2447,2182,5562,675,1637,3309,1754,3338,4511,3325,3360,704,1812
3781,749,1929,2187,2221,3735,1410,2433,2160,5464,669,1708,3202,1668,3218,4187,3367,3351,735,1722
3805,765,1907,2201,2336,3748,1437,2514,2165,5470,685,1740,3468,1688,3280,4567,3378,3458,676,1830
3587,717,1893,2117,2268,3620,1500,2459,2146,5454,616,1664,3331,1662,3180,4336,3357,3338,675,1800
3573,716,1847,2074,2259,3551,1389,2406,2136,5273,692,1591,3341,1696,3316,4325,3350,3190,648,1818
