Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3344,447,2846,3355,2307,3557,1002,3888,3553,4756,1076,2637,1984,1621,2130,3363,2801,3305,580,1712
3362,513,2844,3233,2281,3680,936,3761,3439,4638,1129,2530,1972,1640,2040,3300,2615,3247,615,1671
3401,557,2969,3303,2411,3672,953,3889,3652,4634,1122,2679,1963,1678,2073,3496,2745,3395,625,1653
3363,475,2920,3309,2233,3721,1028,3870,3497,4867,1114,2587,1926,1617,2167,3339,2720,3285,563,1714
3304,524,2895,3121,2216,3673,970,3906,3519,4660,1061,2670,1995,1588,2127,3397,2773,3370,551,1633
3258,460,2899,3233,2302,3645,1029,3838,3537,4587,1062,2588,1935,1732,2134,3392,2772,3320,574,1651
3405,494,2882,3269,2274,3620,955,3790,3381,4779,1037,2576,1952,1663,2129,3452,2797,3337,631,1587
3453,440,2894,3417,2196,3596,993,3789,3387,4613,1073,2599,2026,1729,2079,3314,2763,3296,588,1697
3286,493,2909,3337,2405,3624,1010,3899,3582,4823,1054,2651,1897,1638,2104,3292,2746,3340,555,1643
3483,495,2875,3236,2352,3700,1011,3896,3503,4759,1130,2570,1963,1691,2126,3367,2648,3256,576,1691
3299,445,2935,3443,2238,3567,978,3968,3392,4695,1058,2596,1962,1654,2145,3354,2763,3261,583,1633
3576,460,2824,3290,2225,3562,979,3976,3508,4810,1100,2589,2014,1615,2137,3370,2748,3329,553,1599
3355,470,2912,3266,2174,3557,948,3898,3634,4665,1096,2553,1954,1611,2057,3275,2640,3167,636,1647
3301,459,3015,3243,2315,3616,986,3748,3448,4699,1063,2649,1944,1689,2107,3356,2806,3283,555,1644
3241,482,2788,3236,2238,3542,1042,3794,3489,4696,1047,2556,2002,1613,2064,3284,2712,3103,609,1651
3323,452,2851,3276,2250,3700,998,3843,3630,4621,1035,2587,2034,1674,2111,3340,2826,3350,536,1755
3392,502,2819,3272,2339,3685,1015,3723,3413,4781,1034,2576,1941,1651,2142,3277,2733,3335,634,1628
3478,456,2928,3205,2208,3640,970,3859,3323,4728,1068,2667,1879,1619,2028,3467,2593,3290,597,1613
3534,495,2926,3295,2234,3731,971,3727,3508,4722,1155,2643,1966,1698,2098,3416,2808,3238,561,1663
3346,453,2857,3265,2278,3526,960,3884,3560,4687,968,2601,1933,1627,2105,3236,2687,3196,637,1653
3343,537,2913,3342,2395,3828,1066,3761,3436,4823,1023,2615,2060,1673,2191,3365,2777,3363,592,1586
3201,484,2894,3208,2304,3570,1042,3771,3492,4913,1020,2557,2031,1683,2160,3332,2693,3212,620,1684
3275,477,2896,3219,2289,3626,1031,3818,3454,4660,1116,2603,1917,1601,2093,3330,2707,3282,614,1616
3463,519,2836,3324,2343,3711,1051,3819,3359,4819,1051,2603,2015,1779,2088,3378,2644,3303,613,1638
3353,470,2860,3201,2364,3551,1029,3958,3578,4829,1115,2638,1865,1625,2081,3288,2733,3381,612,1669
3360,578,2995,3377,2275,3512,953,3777,3516,4497,1108,2588,1975,1567,2063,3231,2576,3207,552,1683
3293,451,2719,3326,2232,3554,1046,3801,3423,4766,1116,2572,1902,1665,2100,3390,2707,3288,635,1605
3342,520,2824,3209,2339,3617,990,3979,3583,4824,1124,2718,2005,1671,2018,3326,2634,3245,560,1632
3555,483,2882,3318,2289,3667,1027,3792,3382,4607,1099,2504,1929,1726,2117,3368,2699,3227,595,1581
3271,456,2925,3269,2307,3693,937,3875,3293,4736,1098,2501,1878,1670,2111,3426,2712,3309,585,1608
3361,472,2799,3302,2245,3660,995,3857,3379,4788,1102,2636,2073,1542,2056,3369,2762,3258,627,1632
3309,452,2950,3338,2231,3693,1012,3883,3646,4784,1067,2539,1989,1664,2151,3391,2722,3297,570,1629
3384,487,2912,3417,2200,3746,1059,3853,3694,4694,1039,2595,1933,1690,2114,3277,2725,3258,622,1680
3573,526,2838,3179,2226,3783,964,3734,3390,4791,1048,2547,2001,1635,2137,3609,2801,3374,588,1718
3346,477,2883,3325,2284,3671,967,3980,3638,4685,1099,2569,1941,1579,2026,3332,2684,3174,543,1639
3373,472,2877,3415,2228,3640,1003,3876,3363,4635,1062,2680,1948,1692,2162,3422,2689,3315,583,1680
3401,456,2805,3311,2251,3597,1044,3850,3421,4695,1043,2647,1945,1652,2134,3408,2891,3303,528,1632
3433,472,2878,3213,2285,3689,952,3872,3601,4769,1067,2619,2029,1615,2157,3471,2841,3386,606,1578
3400,493,2828,3243,2171,3593,996,3895,3644,4796,1021,2697,1921,1696,2106,3244,2703,3210,569,1607
3512,461,2862,3163,2312,3849,939,3762,3472,4723,1077,2549,1981,1619,2120,3340,2666,3338,624,1607
3395,520,2883,3279,2247,3667,980,3713,3470,4725,1074,2574,2050,1688,2099,3348,2711,3330,632,1651
3303,501,2826,3318,2282,3553,1046,3706,3453,4768,1048,2522,1869,1621,2122,3420,2760,3224,581,1586
3251,507,2935,3275,2314,3605,1016,4007,3629,4705,1081,2647,1943,1655,2045,3490,2817,3277,575,1627
3407,449,2974,3236,2349,3638,1004,3765,3493,4652,1018,2604,1986,1685,2079,3441,2869,3231,524,1602
3238,487,2831,3223,2176,3639,1002,3799,3547,4570,1081,2547,2022,1778,2121,3457,2664,3238,586,1646
3377,425,2925,3276,2383,3741,961,3777,3682,4769,1084,2579,1967,1660,2123,3287,2802,3307,644,1718
3364,500,2856,3301,2282,3645,991,3892,3512,4815,1174,2662,2030,1612,2118,3343,2634,3288,594,1613
3349,483,2854,3389,2345,3636,1074,3960,3598,4717,1069,2777,2081,1661,2181,3368,2817,3141,666,1718
3391,514,2898,3216,2397,3775,1015,3860,3509,4795,1007,2559,1931,1638,2068,3340,2745,3272,595,1672
3342,483,2868,3274,2290,3677,1027,3867,3538,4597,1101,2619,1986,1739,2086,3328,2759,3233,606,1693
3494,476,2954,3327,2355,3741,971,3911,3478,4722,1056,2490,2072,1646,2186,3318,2664,3267,629,1616
3383,515,2813,3371,2351,3713,993,3811,3416,4727,1107,2539,1915,1631,2138,3271,2702,3344,584,1589
3440,455,3069,3349,2114,3586,965,3951,3416,4652,1020,2619,1953,1729,2164,3407,2722,3292,569,1581
3353,449,2910,3394,2225,3707,982,3850,3486,4651,1039,2615,1964,1588,2063,3426,2738,3181,625,1634
3297,484,2854,3183,2350,3606,1041,3942,3673,4635,1066,2643,1878,1606,2073,3336,2774,3222,606,1752
3461,445,2818,3195,2284,3684,1012,3892,3439,4627,1121,2552,2079,1613,2113,3274,2742,3329,588,1635
3367,493,2780,3340,2257,3675,1003,3841,3509,4690,1062,2572,1915,1602,2210,3291,2718,3254,605,1630
3366,506,2982,3385,2315,3723,975,3962,3518,4681,1052,2561,2061,1665,2123,3234,2725,3304,601,1626
3296,462,2945,3297,2235,3485,1011,3791,3575,4645,1094,2765,1977,1754,2125,3357,2785,3220,575,1743
3319,473,2890,3415,2272,3642,1032,3777,3384,4696,1087,2609,1966,1641,2141,3379,2777,3196,582,1726
3244,508,2959,3301,2286,3590,1002,4030,3701,4746,1047,2711,1939,1739,2087,3413,2716,3283,580,1668
3412,535,2980,3398,2236,3613,956,3864,3454,4723,1122,2594,2075,1728,2186,3330,2766,3264,645,1544
3371,546,2895,3286,2328,3657,1010,3857,3531,4900,1137,2559,1947,1642,2063,3320,2766,3282,569,1666
3475,486,2867,3251,2338,3746,1035,3894,3553,4621,1140,2638,1958,1658,2025,3397,2800,3333,579,1712
3388,455,2971,3260,2249,3813,988,3790,3606,4623,1030,2678,2035,1726,2022,3536,2787,3382,593,1667
3444,482,2858,3236,2252,3568,1013,3907,3592,4716,1009,2580,1954,1633,2134,3410,2652,3251,600,1595
3221,499,2786,3290,2235,3550,1023,3954,3620,4772,1121,2638,1945,1629,1987,3329,2639,3159,646,1638
3366,460,2816,3327,2338,3587,1031,3880,3384,4675,1047,2572,1993,1604,2109,3423,2631,3246,610,1599
3618,437,2964,3283,2205,3678,983,3759,3580,4768,1090,2605,1986,1710,2213,3361,2731,3396,588,1620
3479,493,2895,3339,2276,3571,946,3819,3487,4693,1075,2600,2015,1689,2136,3363,2606,3312,574,1562
3293,468,3019,3257,2237,3617,997,3840,3407,4686,1139,2556,1985,1656,2088,3361,2834,3380,594,1618
3377,490,2924,3374,2262,3587,1032,3958,3532,4716,1130,2680,1939,1728,2034,3427,2716,3427,585,1650
3331,485,2959,3370,2285,3654,1001,3909,3659,4822,949,2609,2022,1676,2169,3329,2674,3217,617,1669
3512,504,2903,3252,2293,3840,971,3966,3529,4610,1061,2651,1966,1599,2084,3361,2721,3316,582,1621
3409,534,2909,3120,2301,3869,1071,3886,3334,4575,1122,2579,2000,1610,2111,3322,2659,3313,568,1609
3346,476,2839,3209,2280,3568,1022,3835,3387,4574,1075,2591,1989,1659,2129,3273,2686,3172,581,1691
3393,505,2818,3471,2253,3537,1024,3785,3677,4640,1145,2680,1970,1652,2187,3343,2714,3282,607,1595
3558,472,2875,3168,2263,3853,969,3773,3305,4572,1035,2595,1932,1657,2038,3386,2774,3357,574,1733
3397,526,2716,3270,2277,3573,1026,3913,3403,4729,1002,2483,1975,1636,2064,3407,2635,3310,595,1718
3400,469,2961,3313,2160,3684,1016,3762,3505,4560,1127,2661,1990,1656,2102,3347,2730,3323,555,1550
3342,478,2897,3339,2274,3694,1032,3826,3462,4833,1092,2568,1970,1633,2188,3192,2667,3202,563,1592
3230,504,2936,3372,2305,3605,1033,3961,3684,4667,1123,2719,1877,1658,2121,3370,2746,3233,596,1663
3204,461,2851,3238,2257,3676,1010,3868,3462,4790,1065,2747,2020,1680,2149,3344,2774,3209,561,1646
3290,514,2890,3320,2242,3606,994,3937,3547,4619,1101,2588,1989,1727,2207,3259,2675,3239,607,1718
3319,537,2945,3250,2258,3527,974,4012,3497,4666,1046,2529,1989,1636,2055,3219,2615,3226,619,1641
3362,463,2829,3327,2294,3599,1014,3878,3462,4569,1064,2587,1931,1664,2051,3317,2792,3242,644,1661
3386,446,2848,3250,2324,3493,990,3881,3505,4632,1061,2619,1891,1684,2122,3276,2633,3142,579,1575
3470,509,2888,3251,2357,3754,959,3987,3518,4760,1070,2674,1926,1642,2017,3500,2792,3181,642,1697
3382,506,2815,3247,2145,3599,993,3855,3656,4662,1056,2660,1881,1751,2212,3222,2617,3219,588,1644
3358,513,2817,3420,2269,3631,1016,3884,3412,4675,1083,2525,1972,1653,2159,3295,2728,3290,581,1668
3374,475,2865,3329,2390,3575,992,3793,3580,4715,1042,2618,2002,1741,2296,3381,2696,3114,555,1620
3446,505,2805,3221,2251,3595,1045,3743,3437,4762,1095,2607,1883,1603,2011,3394,2724,3221,570,1670
3345,460,2901,3240,2219,3638,997,3790,3493,4700,1101,2477,1916,1714,2114,3444,2778,3282,542,1665
3444,493,2930,3143,2264,3648,1028,3970,3443,4649,1120,2543,1995,1712,2135,3242,2805,3378,586,1590
3430,480,2975,3368,2190,3615,1016,3866,3484,4541,1069,2716,1955,1651,2131,3470,2745,3279,561,1690
3435,499,2793,3346,2226,3624,1024,3944,3512,4643,1078,2664,1958,1749,2100,3337,2760,3319,565,1590
3420,428,2884,3254,2276,3641,1031,3917,3430,4547,1088,2639,1963,1675,2116,3289,2700,3149,605,1627
3285,435,2944,3310,2345,3565,1018,3988,3647,4602,1059,2618,1905,1664,2042,3277,2747,3227,544,1729
3323,495,2812,3299,2362,3674,1026,3984,3404,4738,1055,2708,1973,1587,2076,3443,2652,3338,575,1708
3340,502,2931,3327,2287,3716,986,4004,3683,4743,1121,2722,1999,1702,2094,3413,2753,3203,578,1692
