Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
2830,418,2002,2600,2929,3178,1028,2171,5530,5037,592,1906,2632,1674,2967,3819,2953,3420,616,1254
2816,413,2016,2646,2793,3315,1047,2141,5858,5126,593,1979,2700,1675,2859,3745,3069,3313,596,1244
2873,453,2022,2628,3019,3432,1026,2206,5699,5102,582,1876,2721,1614,2930,3873,2926,3301,640,1259
2849,434,2027,2637,3000,3316,1073,2147,6008,5135,585,1845,2768,1656,2877,3758,2998,3305,600,1178
2948,468,2044,2607,2994,3345,1046,2152,5730,5099,577,1856,2719,1675,2900,3828,2948,3358,605,1273
2925,435,1914,2605,2981,3341,1051,2174,5603,4974,585,1892,2601,1703,2900,3826,2979,3323,607,1214
2967,447,2100,2581,2978,3253,1031,2235,5394,5135,585,1817,2694,1660,2880,3704,2966,3350,604,1230
2950,470,2015,2676,2984,3338,1084,2153,5420,5101,594,1801,2593,1686,2941,3755,2895,3368,619,1270
2813,462,1969,2642,2873,3392,1052,2158,5940,5181,586,1848,2849,1638,2923,3794,2960,3394,602,1313
2872,396,1969,2594,3009,3334,1067,2157,5596,5119,565,1916,2783,1685,2923,3858,3034,3442,624,1252
2902,416,2046,2671,2979,3260,1072,2176,5804,5194,573,1830,2743,1710,2997,3867,2943,3382,603,1196
2966,427,1985,2522,2947,3286,1062,2177,5495,5176,564,1891,2774,1678,2915,3808,3070,3357,598,1332
2834,441,1972,2609,3030,3372,1081,2188,5605,5065,571,1855,2715,1729,2955,3829,2935,3349,617,1249
2832,429,2070,2625,3012,3176,1034,2181,5675,5026,548,1862,2742,1684,3011,3788,2959,3395,578,1199
3047,400,1990,2547,3139,3333,1035,2239,5478,5185,569,1783,2802,1690,2907,3790,2996,3342,622,1321
2904,401,1976,2725,2940,3382,1006,2171,5739,5106,557,1861,2758,1763,3019,3978,2963,3323,585,1319
2884,448,1937,2535,2821,3318,1051,2153,5762,5040,577,1801,2808,1682,2881,3768,2913,3395,587,1268
2868,426,2057,2619,2975,3242,1055,2132,5550,5060,603,1879,2734,1578,2928,3762,3077,3266,583,1303
2946,406,1987,2626,2993,3364,1031,2158,5768,5071,584,1851,2720,1775,2830,3791,2956,3478,588,1245
2936,399,2037,2679,3145,3369,1061,2202,5498,5149,603,1819,2707,1669,2859,3880,2988,3447,559,1205
2911,436,2087,2671,2947,3347,1009,2249,5829,5221,556,1900,2761,1712,2797,3817,2983,3310,596,1227
2909,413,1968,2631,3021,3338,1041,2203,5672,5138,568,1830,2669,1688,2946,3786,2936,3437,588,1231
2815,439,1996,2686,2774,3339,1031,2150,5792,5102,542,1823,2698,1730,2903,3759,3069,3309,587,1209
2914,448,1965,2589,3030,3372,1031,2153,5633,5099,596,1821,2710,1633,2891,3821,2968,3381,620,1289
2868,427,1963,2606,2933,3316,1035,2164,5559,5099,562,1829,2686,1697,2830,3872,3034,3422,605,1231
2942,464,1981,2635,2968,3224,1019,2197,5852,5069,565,1781,2620,1646,2852,3669,3048,3300,597,1311
2800,428,2052,2675,3058,3350,1009,2181,5563,5024,591,1884,2733,1697,2863,3763,3013,3331,615,1230
2941,454,1938,2535,2964,3340,1050,2203,5742,5003,592,1930,2742,1649,2891,3722,2951,3281,601,1304
2857,419,2003,2527,3107,3330,1074,2056,5403,5134,578,1800,2762,1641,2881,4004,3032,3381,617,1330
2871,387,1976,2538,2919,3280,1056,2150,5555,5092,608,1891,2786,1710,2863,3825,3054,3432,626,1197
2878,459,2028,2683,2914,3388,1042,2162,5716,5345,580,1893,2650,1726,2940,3838,3003,3354,601,1241
2877,465,1986,2634,2937,3358,1050,2167,5366,5044,569,1833,2636,1685,2868,3764,2982,3285,558,1222
2937,448,2006,2458,3010,3260,1028,2166,5961,5127,613,1850,2701,1662,2849,3782,3080,3389,611,1274
2877,447,1997,2629,3072,3310,1020,2181,5538,5086,595,1856,2710,1689,2864,3982,3024,3297,591,1233
2952,424,1875,2586,2917,3441,999,2169,6047,4962,600,1897,2712,1690,2842,3811,3050,3400,596,1257
2832,466,2055,2648,2883,3299,1030,2228,5562,4985,615,1855,2757,1724,2930,3839,2990,3380,589,1276
2889,437,2002,2668,3012,3335,1032,2163,5644,5089,608,1863,2742,1641,2935,3773,3067,3395,621,1343
2904,465,1925,2709,2970,3339,987,2086,5479,5052,641,1845,2752,1656,2935,3824,2956,3286,614,1291
2881,433,2026,2567,2944,3329,1068,2130,5533,5106,579,1919,2604,1706,2844,3890,2875,3297,562,1228
3031,447,1994,2518,2939,3263,1026,2200,5895,5060,618,1798,2709,1646,2980,3858,3019,3249,576,1187
2874,414,1962,2533,2964,3361,1091,2136,5816,5085,604,1889,2656,1707,2866,3899,3028,3350,588,1207
2754,413,1968,2690,2917,3408,1050,2211,5612,5042,577,1822,2653,1667,2951,3895,2994,3394,616,1229
2829,445,1981,2743,2918,3351,990,2142,5590,5232,593,1776,2794,1645,2784,3698,2903,3345,591,1230
2975,438,2007,2568,2937,3238,1032,2139,5752,5061,634,1911,2679,1605,2981,3765,3073,3384,589,1195
2923,450,1977,2683,2984,3413,1130,2213,5627,5143,572,1897,2719,1655,2810,3778,2880,3373,604,1214
2877,455,2048,2606,2966,3241,1005,2153,5815,5213,606,1851,2721,1716,2947,3826,2954,3323,613,1238
