Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3973,741,2660,2861,2091,3703,1119,2867,2332,4785,1008,1925,2309,1696,2724,3279,2745,3395,668,1445
4201,714,2845,3070,2067,4074,1148,2986,2675,4843,1039,2017,2375,1787,2892,3408,2831,3492,648,1497
4254,631,2821,3033,2134,3948,1229,3007,2446,4869,1095,1968,2493,1832,2962,3417,2803,3538,664,1356
4040,734,2762,2975,2145,3877,1218,2955,2435,4929,1029,1966,2427,1813,2900,3310,2803,3336,664,1432
4085,683,2814,2942,2133,3870,1220,2881,2478,4769,1065,2039,2370,1788,2817,3384,2907,3389,729,1365
4176,677,2846,3019,2073,3893,1155,3028,2414,4758,1074,1988,2477,1751,2867,3492,2977,3464,690,1410
4066,708,2662,2863,2100,3912,1223,2911,2457,4799,1019,2012,2467,1806,2855,3507,2829,3495,702,1433
4072,645,2779,2857,2177,3976,1264,2920,2473,4670,1028,1994,2455,1697,2789,3322,3005,3459,591,1389
4096,707,2587,2867,2147,3901,1190,2930,2465,4624,1038,1987,2393,1814,2877,3406,2840,3478,670,1464
4445,697,2752,2916,2176,4036,1155,2941,2478,4689,991,1935,2420,1732,2983,3350,2892,3586,680,1432
4133,690,2802,3092,2126,3901,1170,2883,2415,4902,1067,1943,2475,1743,2905,3463,2844,3432,613,1359
3974,696,2578,3046,2180,3853,1250,3009,2641,4688,1037,2024,2345,1807,2887,3394,2971,3527,645,1503
4032,721,2738,2944,2054,3771,1104,2937,2314,4728,1048,1919,2416,1750,2889,3510,2722,3370,738,1440
4045,701,2822,2980,2250,3867,1194,2977,2554,4697,994,2033,2365,1816,2949,3602,2898,3542,707,1423
4218,621,2694,2964,2135,3863,1219,2968,2392,4715,1028,2004,2480,1752,2848,3365,2807,3411,645,1480
4067,757,2707,2997,2125,3854,1170,3001,2444,4765,1101,2086,2447,1812,2899,3517,2815,3464,697,1422
4090,741,2736,2934,2244,3866,1200,2969,2479,4714,986,2110,2570,1792,2946,3539,2835,3405,741,1431
4310,673,2694,3047,2187,3982,1161,2967,2527,4962,1018,2053,2381,1788,3011,3448,2693,3643,681,1389
4024,690,2688,3115,2052,3820,1162,2929,2603,4800,1059,2023,2428,1710,2944,3393,2828,3392,681,1418
4211,747,2759,2994,2140,3875,1196,2966,2493,4787,1041,2012,2528,1852,2796,3539,2909,3451,706,1424
4277,729,2841,3006,2103,4026,1186,3033,2604,4833,1084,2006,2383,1905,2983,3625,2952,3558,691,1446
4177,698,2638,2882,2059,3909,1195,2965,2477,4698,1114,2041,2495,1801,2864,3583,2812,3495,718,1453
4201,634,2740,2861,2062,3763,1165,2810,2485,4627,966,1937,2347,1808,2812,3407,2832,3469,680,1430
4103,730,2757,3017,2197,3989,1193,2964,2442,4847,1019,2025,2474,1783,2863,3419,2798,3594,683,1453
4057,692,2629,2937,2172,3936,1218,2936,2421,4738,983,1948,2492,1812,2939,3546,2792,3465,635,1381
4164,702,2746,2970,2133,3824,1234,2941,2478,4715,1065,1978,2462,1783,2852,3438,2789,3487,705,1397
4027,659,2710,3023,2171,3926,1224,2969,2435,4557,984,1927,2364,1758,2935,3282,2745,3485,721,1405
4155,679,2662,2948,2125,3855,1196,2968,2481,4824,1011,1929,2537,1755,2913,3356,2722,3399,677,1462
4068,667,2707,2821,2145,3999,1224,2971,2430,5111,1104,2014,2417,1770,2859,3372,2846,3459,742,1423
4163,668,2621,3022,2101,3887,1197,3097,2526,4869,1027,2109,2393,1803,2832,3366,2792,3449,673,1480
4073,744,2642,3054,2130,4042,1261,2991,2648,4764,1045,2079,2443,1869,2937,3417,2925,3483,704,1400
4119,706,2631,3058,2076,3891,1185,2910,2549,4750,1014,1997,2353,1838,2824,3482,2800,3529,692,1359
3954,700,2637,2921,2228,3826,1190,2790,2400,4639,1037,1959,2464,1790,2803,3376,2871,3367,699,1378
3987,665,2720,2827,2105,3859,1247,2947,2316,4609,971,1947,2468,1790,2865,3480,2806,3430,623,1392
4141,672,2747,2837,2153,3766,1198,2902,2410,4993,1002,1959,2460,1792,2718,3509,2780,3606,668,1395
4095,719,2736,2936,2116,3875,1231,2870,2506,4909,1023,1972,2379,1837,2931,3517,2754,3556,656,1401
4371,681,2676,2986,2066,3851,1287,2867,2398,4774,1016,2017,2449,1853,2959,3363,2829,3511,688,1398
4088,675,2745,3096,2090,3877,1197,2929,2499,4889,1073,1946,2406,1875,2829,3305,2751,3549,685,1317
4120,651,2630,2947,2131,3775,1215,2843,2414,4688,1010,1929,2412,1827,2928,3333,2770,3369,617,1385
4029,687,2697,3084,2150,3769,1180,2931,2501,4788,1021,1973,2449,1745,2917,3438,2876,3466,630,1431
4042,697,2851,2949,2261,3923,1292,2983,2459,4651,1031,2001,2409,1772,2840,3361,2771,3522,684,1387
4121,623,2748,2923,2149,3794,1251,2985,2387,4859,1012,2026,2426,1865,2816,3375,2777,3336,722,1417
4128,715,2807,3065,2106,3846,1234,2985,2483,4807,1062,1978,2461,1786,2909,3520,2839,3503,734,1416
4299,702,2731,2937,2006,3852,1169,2854,2397,4710,1054,1959,2415,1752,2944,3556,2984,3474,693,1397
4166,745,2762,3038,2225,3901,1232,2829,2456,4854,996,1909,2390,1826,2924,3463,2879,3471,725,1383
4130,732,2647,2995,2165,3773,1237,2963,2554,4772,1047,2039,2454,1864,2962,3419,2907,3524,659,1395
4129,678,2767,3063,2156,3978,1228,2945,2397,4795,1009,2060,2467,1770,2865,3301,2845,3580,643,1477
4082,632,2830,2979,2087,3909,1155,3071,2460,4711,1073,2083,2458,1846,2749,3573,2931,3480,659,1450
