Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4286,738,2835,2996,1986,4007,1183,2871,2219,4798,1031,1948,2461,1736,2911,3375,2865,3516,738,1325
4218,646,2792,2902,2027,4060,1205,2810,2309,4822,1092,1903,2521,1864,2917,3556,2917,3643,703,1413
4305,628,2891,3041,2061,3885,1156,2739,2325,4873,1081,1969,2444,1815,2935,3387,2833,3419,648,1391
4325,658,2894,2857,2079,4120,1247,2776,2301,4791,1113,1982,2433,1784,2957,3432,2923,3560,764,1410
4231,641,2817,2927,1943,3946,1234,2875,2416,4552,1095,1947,2436,1790,2950,3405,2882,3444,688,1425
4106,667,2782,3029,1942,3902,1218,2714,2305,4586,1069,1826,2412,1786,2882,3294,2780,3541,713,1381
4351,642,2797,2982,2028,3851,1205,2682,2274,4838,1067,1870,2535,1878,3010,3211,2667,3537,693,1376
4376,668,2725,2863,2137,4013,1233,2756,2232,4763,1024,1798,2496,1848,2894,3404,2838,3607,709,1311
4340,621,2957,3067,1949,4091,1224,2938,2298,4669,1075,1901,2458,1769,2968,3284,2898,3523,692,1372
4138,680,2915,2864,1998,3897,1186,2800,2317,4770,1029,1926,2478,1753,2950,3444,2934,3577,730,1323
4239,671,2821,2939,2035,3974,1182,2742,2235,4934,1078,1831,2514,1922,2823,3380,2823,3522,658,1397
4341,660,2842,3008,2022,4161,1209,2756,2295,4757,1010,1930,2461,1771,2962,3394,2925,3572,728,1310
4269,678,2804,2979,1945,3982,1215,2645,2301,4652,1087,1853,2417,1714,2902,3456,2809,3427,674,1340
4356,757,2770,2962,2011,4098,1098,2886,2369,4949,1005,1911,2398,1741,2903,3318,2825,3587,737,1373
4333,706,2925,2964,2112,4083,1310,2892,2229,4710,1030,1961,2569,1916,3109,3360,2921,3550,749,1400
4250,674,2943,3033,1975,3968,1197,2846,2279,4752,981,1903,2486,1854,3027,3370,2838,3477,702,1354
4512,614,2815,2963,2130,4083,1247,2757,2211,4773,1070,1977,2567,1805,3043,3486,2940,3525,729,1375
4280,665,2802,2995,1982,3994,1210,2872,2243,4688,1092,1876,2445,1758,2946,3323,2813,3533,672,1366
4328,682,2899,2946,2070,4060,1306,2833,2400,4794,1099,1931,2590,1792,2872,3331,3046,3483,767,1476
4391,648,2856,3108,1994,4118,1177,2844,2259,4580,1130,2013,2398,1835,3028,3298,2895,3504,725,1316
4233,646,2842,2783,2048,3964,1194,2682,2336,4748,1057,2011,2414,1839,3010,3402,2908,3455,723,1446
4343,619,2857,3137,1995,4160,1178,2899,2340,4907,1059,1905,2572,1849,2985,3377,2878,3677,685,1365
4363,600,2710,3113,2061,4170,1190,2806,2298,4940,1048,1953,2466,1805,2977,3429,2881,3480,770,1397
4234,675,2799,3066,2092,3997,1255,2828,2207,4773,1079,1956,2507,1875,2966,3370,2859,3398,764,1395
