Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4049,643,2238,2778,2292,4252,1096,2184,3790,4787,832,1667,3097,1651,3334,3372,2701,3529,630,1204
4226,656,2261,2752,2323,4154,1151,2141,3368,4697,768,1682,2967,1740,3289,3512,2739,3416,642,1259
4141,660,2281,2697,2440,4149,1024,2267,3513,4851,778,1665,2964,1693,3279,3564,2683,3346,612,1227
4049,662,2328,2725,2443,4292,1088,2238,3677,4734,871,1703,2992,1782,3233,3373,2718,3391,660,1219
4040,617,2297,2841,2343,4178,1132,2209,3599,4840,829,1757,3101,1717,3188,3407,2681,3426,595,1239
3938,690,2192,2795,2321,4192,1095,2244,3629,4788,819,1713,2909,1731,3278,3347,2634,3409,643,1280
4016,644,2268,2873,2491,4212,1099,2140,3765,4763,840,1750,3003,1674,3270,3417,2755,3533,689,1191
4065,614,2233,2789,2406,4273,1056,2301,3813,4755,889,1697,2975,1720,3114,3335,2616,3540,703,1227
4087,620,2275,2707,2414,4234,1068,2196,3890,4794,846,1680,2978,1696,3266,3492,2667,3418,616,1184
3941,642,2289,2796,2540,4260,1098,2247,3591,4634,830,1770,3040,1723,3238,3344,2686,3473,679,1317
3969,684,2253,2797,2360,4230,1137,2233,3870,4781,834,1805,2959,1751,3233,3351,2718,3383,638,1247
3946,691,2320,2630,2449,4246,1145,2232,3790,4704,780,1644,3002,1787,3335,3433,2760,3539,587,1227
4038,634,2348,2724,2263,4269,1157,2223,3854,4823,860,1722,3054,1721,3068,3425,2639,3399,646,1343
3907,681,2254,2724,2461,4157,1060,2313,3880,4709,800,1757,3026,1628,3226,3245,2664,3458,669,1193
4024,693,2365,2834,2476,4183,1143,2236,3585,4667,822,1734,2999,1644,3146,3406,2777,3374,655,1209
4092,625,2206,2764,2455,4271,1111,2213,3660,4694,874,1672,2981,1774,3141,3348,2745,3466,645,1277
3963,626,2279,2826,2489,4271,1092,2247,3733,4740,819,1633,3050,1582,3283,3412,2554,3418,586,1328
4134,667,2266,2731,2397,4153,1131,2260,3453,4766,861,1769,2914,1703,3226,3367,2748,3535,658,1260
4066,618,2196,2795,2511,4144,1155,2294,3825,4614,851,1666,2941,1723,3251,3515,2613,3455,626,1241
3981,652,2422,2721,2412,4161,1107,2198,3548,4789,784,1754,2976,1685,3191,3542,2755,3300,676,1273
