Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4001,526,2745,3421,2444,3688,1205,3679,3000,5104,1259,2204,2248,2012,2583,3113,2528,3416,575,1693
4041,534,2718,3409,2387,3708,1125,3694,2890,5044,1214,2154,2134,1915,2513,3074,2692,3468,534,1655
3965,574,2739,3273,2478,3700,1174,3502,2883,4880,1180,2235,2189,1780,2424,2968,2650,3420,585,1597
3882,525,2533,3096,2251,3563,1103,3356,2646,4796,1142,2070,2110,1834,2426,2894,2514,3332,545,1568
3829,530,2733,3237,2343,3585,1115,3740,2981,4856,1202,2164,2211,1809,2435,3056,2610,3244,578,1718
3837,483,2691,3146,2295,3529,1058,3474,2816,4855,1162,2021,2001,1827,2357,2989,2623,3225,602,1609
3818,532,2734,3239,2330,3559,1067,3447,2732,4803,1187,2093,2138,1895,2495,3047,2527,3193,526,1638
3892,501,2631,3365,2354,3569,1100,3728,2904,4670,1200,2192,2144,1908,2376,3145,2546,3310,631,1676
3950,550,2573,3241,2247,3446,1122,3482,2878,4776,1219,2088,2133,1860,2495,3056,2566,3298,572,1562
3900,475,2577,3327,2408,3688,1093,3452,2910,4930,1240,2229,2087,1905,2400,3110,2580,3394,579,1605
3846,515,2566,3046,2315,3548,1112,3531,2627,4615,1116,2080,2108,1746,2346,2990,2549,3274,551,1559
3863,543,2612,3147,2276,3550,1187,3407,2761,4849,1185,2025,2159,1916,2415,2920,2499,3328,562,1607
4113,573,2799,3405,2391,3619,1200,3671,3021,5232,1230,2268,2221,2026,2592,3204,2696,3427,606,1640
4058,505,2712,3291,2452,3724,1137,3565,2961,5022,1187,2145,2126,1825,2466,3023,2715,3485,579,1709
3853,521,2721,3368,2302,3562,1177,3504,2868,4817,1195,2146,2190,1913,2573,2980,2577,3277,559,1598
3880,518,2686,3240,2410,3568,1141,3575,2834,4859,1173,2168,2025,1833,2388,3085,2643,3411,569,1675
4154,558,2802,3324,2299,3751,1198,3619,2914,5102,1239,2274,2245,1948,2673,3090,2582,3508,582,1676
4080,497,2630,3208,2336,3760,1119,3454,2704,4934,1154,2073,2152,1903,2520,3117,2594,3427,560,1599
3889,502,2623,3164,2319,3620,1060,3605,2927,4813,1165,2135,2162,1891,2358,3050,2591,3365,545,1538
3926,510,2622,3375,2310,3680,1243,3693,2904,4993,1211,2164,2115,1903,2461,3098,2553,3443,583,1700
3984,524,2861,3203,2395,3525,1101,3556,2843,4890,1161,2148,2317,1948,2522,3018,2727,3364,618,1685
3961,530,2864,3381,2332,3609,1167,3618,2838,4884,1188,2226,2304,1911,2466,3087,2551,3305,559,1701
3940,545,2642,3308,2340,3657,1176,3479,2835,5017,1172,2230,2219,1938,2471,3127,2543,3261,575,1627
4007,503,2691,3236,2199,3605,1203,3494,2717,4996,1214,2079,2163,1864,2567,3021,2651,3262,545,1616
4029,539,2660,3244,2304,3644,1148,3627,2796,5060,1229,2147,2145,1874,2526,3033,2554,3414,551,1603
3870,548,2636,3428,2177,3462,1135,3382,2867,4773,1231,2075,2140,1913,2466,2992,2566,3165,625,1551
3979,484,2725,3260,2310,3597,1114,3637,2752,4989,1229,2211,2183,1949,2541,3071,2594,3449,570,1612
3813,518,2652,3165,2274,3464,1045,3588,2814,4742,1204,2134,2141,1864,2402,2936,2385,3081,548,1574
4036,539,2847,3476,2372,3691,1160,3557,2892,4995,1233,2262,2126,2036,2470,2987,2683,3458,609,1653
3969,514,2534,3206,2172,3489,1094,3351,2716,4751,1215,2014,2176,1796,2432,2852,2463,3229,580,1547
3844,539,2716,3363,2365,3559,1061,3650,2908,4954,1193,2209,2084,1848,2446,3100,2594,3347,508,1668
4068,517,2720,3372,2260,3689,1188,3545,2768,5052,1259,2134,2186,1863,2541,3087,2579,3376,569,1600
3783,485,2601,3053,2140,3496,1097,3230,2708,4579,1131,2009,2079,1879,2430,2837,2626,3239,553,1532
3942,554,2578,3280,2323,3750,1193,3468,2772,4915,1211,2213,2099,1864,2557,2913,2595,3331,577,1665
4031,494,2679,3070,2349,3566,1101,3498,2752,4909,1188,2175,2304,1934,2459,3001,2597,3340,602,1621
3941,540,2682,3259,2226,3599,1155,3645,2933,5006,1125,2195,2215,1871,2498,2929,2517,3134,576,1591
3989,503,2784,3301,2406,3587,1068,3665,2923,5007,1157,2197,2277,1991,2444,3079,2595,3454,628,1657
3862,491,2632,3108,2289,3631,1127,3506,2783,4930,1209,2140,2084,1830,2419,2980,2383,3370,597,1523
3965,517,2770,3320,2337,3628,1151,3538,2806,4875,1236,2164,2149,1973,2471,2949,2462,3198,660,1606
4194,540,2660,3505,2363,3837,1155,3770,2904,5241,1269,2242,2277,1980,2683,3128,2694,3503,561,1686
3988,538,2676,3452,2400,3452,1097,3599,2901,4922,1196,2165,2175,1875,2462,2955,2537,3345,583,1674
4152,577,2644,3237,2239,3796,1201,3659,2759,4859,1141,2196,2205,1871,2596,3057,2666,3383,623,1607
4061,497,2611,3122,2324,3759,1158,3744,2816,4997,1133,2083,2087,1998,2466,3082,2600,3277,564,1707
3799,496,2561,3206,2091,3500,1142,3416,2857,4900,1118,2109,2076,1841,2503,2993,2530,3182,556,1628
3923,504,2710,3303,2282,3636,1159,3686,3032,4823,1204,2149,2179,1923,2481,2938,2609,3392,561,1629
3970,457,2598,3150,2305,3609,1075,3399,2652,4753,1254,2047,2217,1907,2418,2938,2509,3396,557,1569
3909,486,2618,3213,2339,3675,1058,3555,2757,5033,1196,2192,2244,1887,2401,3077,2593,3298,567,1620
4190,554,2708,3342,2230,3585,1161,3594,2754,4868,1196,2164,2168,1930,2591,3071,2633,3371,523,1528
3997,491,2690,3203,2223,3653,1121,3513,2724,4875,1215,2050,2116,1885,2515,3014,2526,3258,554,1583
4043,529,2647,3332,2406,3718,1184,3667,2890,5072,1240,2144,2185,2007,2461,3232,2619,3457,589,1675
3962,516,2679,3545,2320,3623,1190,3565,2897,4812,1300,2223,2154,1950,2437,3157,2585,3348,550,1599
3973,537,2681,3215,2254,3717,1137,3433,2770,4903,1198,2128,2101,1938,2560,3037,2573,3327,590,1617
3951,549,2690,3250,2252,3638,1140,3508,2752,4953,1205,2190,2129,1928,2644,2917,2567,3288,552,1574
3873,490,2612,3261,2271,3503,1065,3425,2746,5040,1193,2103,2074,1837,2532,3008,2518,3212,510,1602
4023,510,2655,3175,2355,3692,1124,3651,2717,4807,1201,2228,2149,1950,2524,3044,2633,3287,561,1607
3873,513,2591,3243,2345,3638,1142,3545,2860,4864,1221,2120,2180,1893,2506,3050,2497,3321,578,1677
3935,489,2621,3109,2339,3634,1149,3638,2953,4981,1156,2159,2196,1734,2353,2996,2574,3408,544,1651
3984,498,2674,3312,2332,3662,1179,3554,2834,4851,1223,2057,2248,1878,2516,3078,2621,3503,627,1682
3946,485,2655,3209,2278,3532,1154,3443,2689,4770,1162,2055,2097,1893,2475,2955,2610,3315,533,1565
3775,562,2741,3248,2330,3606,1097,3687,2822,4807,1167,2185,2156,1867,2506,3136,2550,3284,569,1702
4166,546,2674,3464,2380,3808,1137,3670,3087,5007,1254,2211,2125,2101,2638,3060,2682,3524,559,1607
3857,470,2646,3072,2291,3649,1026,3448,2706,4994,1118,2161,2003,1888,2469,3067,2481,3237,576,1589
3869,504,2714,3274,2216,3597,1082,3564,2847,4887,1171,2162,2192,1898,2489,2981,2455,3227,559,1628
3819,511,2721,3373,2329,3728,1169,3638,2925,4949,1244,2228,2156,1954,2509,3075,2667,3333,499,1550
3888,524,2726,3339,2406,3529,1152,3574,2940,4797,1189,2158,2182,1935,2398,3060,2692,3379,543,1622
4155,576,2893,3321,2384,3632,1191,3734,2901,5101,1213,2247,2189,1993,2691,3218,2649,3389,603,1725
3858,506,2815,3333,2377,3522,1173,3525,2861,4833,1179,2139,2218,1855,2454,3105,2525,3235,581,1636
3868,551,2734,3189,2364,3495,1217,3555,2799,4885,1197,2029,2326,1887,2460,3031,2615,3173,554,1649
3840,497,2599,3346,2266,3548,1162,3653,2785,4913,1141,2189,2082,1908,2569,2926,2631,3373,535,1605
3962,566,2735,3347,2317,3743,1132,3539,2742,4940,1209,2243,2186,1913,2519,3069,2593,3350,584,1637
3980,507,2775,3300,2297,3732,1198,3571,2788,5063,1256,2142,2174,1954,2466,3060,2621,3333,608,1662
3974,483,2602,3135,2208,3479,1093,3409,2758,4860,1157,2038,2085,1868,2419,2855,2537,3235,490,1548
4186,590,2838,3394,2523,3783,1207,3823,2978,5203,1239,2217,2357,1993,2679,3195,2737,3492,587,1743
4006,506,2779,3234,2278,3490,1108,3477,2856,4999,1174,2179,2217,1906,2477,3089,2514,3291,557,1636
3934,510,2674,3239,2374,3767,1176,3596,2814,4910,1291,2091,2098,1913,2464,3104,2505,3460,573,1674
3939,530,2610,3284,2247,3460,1148,3371,2834,4977,1218,2019,2202,1861,2486,2957,2490,3204,552,1679
3855,525,2586,3204,2219,3513,1110,3583,2655,4861,1131,2038,2092,1733,2355,3023,2529,3485,518,1547
3737,479,2567,3046,2302,3414,1118,3567,2733,4851,1178,2167,2096,1854,2432,2855,2599,3198,555,1574
3895,506,2731,3325,2265,3760,1112,3657,2884,5024,1188,2056,2107,1936,2566,3122,2643,3420,524,1641
4232,528,2828,3325,2328,3714,1172,3570,2886,5203,1234,2085,2262,1881,2618,3165,2604,3463,617,1653
4002,537,2723,3309,2330,3546,1158,3621,2818,4831,1188,2062,2082,1847,2454,2968,2499,3289,581,1610
4045,550,2662,3490,2305,3764,1213,3605,2906,5095,1240,2210,2180,1954,2501,3037,2640,3407,524,1588
4177,522,2655,3418,2335,3637,1182,3575,2884,5026,1253,2145,2135,1986,2632,3031,2572,3318,542,1620
4062,534,2686,3432,2562,3810,1123,3883,2884,5105,1275,2199,2239,1919,2500,3204,2716,3401,607,1715
3892,534,2692,3272,2442,3679,1099,3623,2742,4828,1157,2145,2146,1797,2536,3000,2537,3128,579,1629
3924,496,2564,3283,2368,3630,1064,3404,2642,4908,1139,2151,2121,1846,2420,2922,2611,3369,565,1594
3907,517,2654,3182,2322,3613,1174,3476,2855,5075,1127,2084,2179,1920,2514,3073,2559,3324,521,1526
4077,495,2699,3202,2269,3719,1087,3608,2734,4937,1188,2169,2155,1940,2662,3171,2716,3337,630,1681
4006,543,2810,3319,2318,3623,1180,3647,3015,5058,1272,2201,2199,1963,2568,3197,2610,3377,588,1703
3802,471,2560,3219,2261,3394,1119,3518,2805,4715,1145,2167,2120,1848,2378,2854,2536,3235,560,1619
4025,615,2665,3292,2339,3691,1147,3516,2780,4915,1207,2089,2202,1888,2568,2883,2440,3478,577,1714
4078,588,2719,3316,2337,3639,1155,3586,2814,5187,1185,2141,2221,1980,2527,3160,2675,3314,541,1638
