Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4592,550,2799,3209,1958,3697,1052,2765,2490,5138,1040,1922,2293,2101,2962,3216,2810,3490,618,1396
4576,537,2909,3102,2031,3762,1127,2650,2436,4988,1039,1878,2350,2011,2982,3278,3078,3658,642,1442
4563,519,2939,3057,1873,3713,1078,2649,2314,4956,1017,1889,2186,2071,2900,3195,2900,3456,666,1308
4557,547,2866,2954,1878,3701,1018,2730,2303,5021,1050,2007,2223,2088,3082,3396,2902,3384,652,1459
4578,558,2896,3087,1971,3773,1109,2674,2317,4883,1065,1901,2276,2030,2928,3052,2876,3505,651,1417
4637,612,2852,3098,1912,3795,1133,2781,2409,5245,1085,1916,2184,2021,2997,3228,2947,3663,661,1491
4558,539,3082,3360,2038,3637,1056,2665,2608,5139,1074,2053,2375,2256,3042,3322,2982,3602,688,1476
4642,556,2919,3120,1881,3863,1103,2683,2306,5126,1068,1923,2328,2134,3109,3242,3031,3590,705,1514
4352,538,2851,3081,1917,3556,1113,2693,2347,5025,1032,2038,2200,2189,3034,3268,2903,3547,587,1402
4566,546,2974,3035,1997,3777,1092,2654,2413,4980,1043,1926,2307,2105,2952,3209,2962,3478,646,1376
4460,490,2920,3075,1943,3770,1124,2755,2431,4788,1021,2113,2155,2055,3034,3180,2848,3476,621,1374
4743,572,2856,3109,1976,3905,1167,2769,2327,5201,1127,1933,2318,2116,2979,3344,2949,3736,748,1498
4454,582,2884,3051,1894,3703,1091,2754,2373,4926,1026,1891,2349,2071,3033,3195,2926,3432,621,1437
4585,530,2743,3105,1982,3751,1084,2693,2379,5124,1117,2003,2252,2089,2912,3312,2783,3662,608,1332
4631,605,2972,3222,1982,3810,1209,2693,2456,5061,1030,1977,2372,2177,3061,3252,3079,3421,698,1449
4490,546,2796,3059,2046,3770,1126,2716,2297,5102,1023,1977,2390,2123,2997,3188,2938,3491,678,1454
4513,552,2826,3074,1913,3717,1097,2532,2491,4923,1075,1982,2236,2041,2831,3268,2934,3530,587,1443
4664,506,2889,3151,1971,3873,1114,2727,2378,5053,1085,1949,2297,2030,3050,3130,3057,3657,670,1484
4551,601,2913,3055,1940,3722,1109,2743,2360,4884,1048,1891,2325,2089,3056,3204,2906,3421,700,1373
4611,541,2968,3143,1923,3856,1069,2770,2430,4894,1103,1963,2183,2127,3055,3282,2845,3459,608,1387
4695,524,2932,3252,2007,3676,1038,2639,2339,5073,1105,2021,2415,2145,3056,3267,2988,3508,659,1426
4584,579,2866,3155,1956,3712,1112,2728,2455,5036,1031,1928,2228,2157,2946,3235,2952,3530,616,1485
4357,558,2769,3094,1903,3645,1027,2569,2291,4699,1026,1876,2208,1953,2958,3073,2895,3379,650,1345
4435,523,2799,3045,1959,3585,1078,2633,2433,4950,1039,1908,2335,2077,2981,3279,2846,3442,675,1471
4617,583,2887,3240,2057,3803,1193,2779,2404,5234,1059,1970,2310,2313,3022,3379,2917,3575,660,1509
4601,529,2822,3053,1949,3801,1054,2758,2474,4842,1105,1959,2301,2021,3032,3265,3064,3608,688,1450
4765,526,3031,3206,1859,3705,1079,2770,2452,5062,1057,1959,2449,2191,3132,3303,2984,3558,692,1469
4308,499,2789,3125,1848,3472,1049,2657,2340,4860,982,1884,2181,2034,2885,3139,2810,3398,582,1344
