Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4153,638,3083,3532,2059,4030,1027,3522,2851,4838,1069,2163,2336,1809,2885,3003,2775,3619,731,1676
4401,624,3002,3635,2137,4011,1040,3586,3170,5097,1108,2061,2274,1611,2837,3077,2710,3753,673,1660
4033,634,2980,3660,2040,3837,987,3409,2979,4740,1034,2024,2298,1641,2637,3043,2538,3446,672,1692
4086,552,2977,3654,1979,3729,1050,3299,3017,4880,1008,2004,2429,1743,2770,3065,2635,3552,625,1727
3932,556,2846,3428,2096,3757,1066,3525,3117,4764,1126,2073,2221,1663,2782,3067,2700,3434,640,1724
4104,588,2860,3489,2169,3819,1024,3375,2908,4809,1028,2004,2228,1679,2753,3005,2725,3517,648,1788
4118,575,2799,3420,2113,3892,1034,3645,3070,4944,1068,2057,2189,1567,2699,2903,2722,3345,628,1614
3970,589,2992,3512,2041,3794,972,3410,2995,4801,1026,1935,2084,1645,2691,2951,2700,3326,638,1663
3951,550,2900,3576,1995,3681,954,3401,3121,4684,1065,2055,2142,1641,2630,2961,2585,3333,612,1615
4134,591,3074,3566,2066,4015,1028,3417,2946,4917,1049,2104,2270,1618,2750,3178,2791,3658,678,1781
3875,524,2696,3276,2127,3609,956,3361,2903,4635,988,1836,2133,1611,2563,2811,2453,3228,611,1482
4221,617,3139,3793,2193,4160,1075,3611,3209,4863,1117,2107,2368,1689,2774,3091,2779,3696,670,1753
3681,550,2715,3366,1973,3599,990,3322,2930,4478,958,1939,2149,1547,2493,2747,2486,3216,603,1682
4343,599,3357,3778,2161,4071,1183,3691,3232,5178,1105,2123,2371,1774,2987,3210,2833,3594,713,1887
4105,629,2904,3520,2115,3739,1032,3415,3122,4684,1062,2042,2156,1642,2705,2981,2759,3328,699,1793
3976,544,2974,3604,1987,3682,1071,3262,3024,4672,1023,2079,2255,1696,2675,2947,2629,3400,595,1630
4060,589,2936,3446,2070,3776,1018,3510,2931,4903,1027,1983,2120,1653,2752,2973,2782,3476,649,1706
3744,525,2884,3432,2000,3830,974,3486,3047,4739,992,2049,2104,1604,2627,2906,2620,3236,683,1705
3803,522,2857,3312,1926,3559,993,3245,2982,4596,939,1844,2087,1520,2735,2647,2579,3241,604,1578
3753,533,2754,3425,1981,3572,926,3327,2998,4573,1003,1959,2068,1671,2584,2855,2514,3268,579,1586
4043,611,2977,3599,2143,3898,1080,3638,2934,4728,1013,2082,2309,1626,2683,3139,2695,3473,640,1870
3995,573,3042,3707,2153,3900,966,3523,3115,4876,1028,2076,2280,1741,2750,3011,2711,3597,608,1664
4079,628,2721,3354,1949,3876,1035,3275,2721,4785,1097,1894,2244,1598,2772,2965,2628,3397,643,1581
4106,584,2837,3415,2120,3861,993,3491,3005,4742,1042,2068,2231,1628,2715,2957,2598,3411,672,1795
3891,593,2762,3527,1958,3758,933,3474,3181,4757,1053,1883,2223,1637,2573,2726,2617,3361,650,1666
4075,632,3132,3622,2141,3976,1109,3533,3120,4802,1003,2075,2299,1613,2708,3192,2655,3577,702,1829
4168,557,2880,3553,2011,3884,969,3382,2817,4648,941,1944,2278,1627,2723,2851,2602,3307,632,1589
3929,588,2800,3560,2126,3853,933,3569,3115,4817,1027,2062,2198,1603,2738,2979,2746,3379,700,1692
3945,601,2693,3235,1921,3894,927,3130,2740,4497,1030,1914,2176,1608,2580,2967,2674,3341,705,1594
4268,595,2901,3547,1971,3775,987,3413,2972,4751,1053,1826,2211,1793,2666,2870,2596,3313,632,1528
3970,532,2818,3353,1905,3556,948,3281,2940,4460,1003,1889,2206,1603,2617,2938,2476,3328,642,1582
4287,548,2944,3647,1937,3782,1049,3328,2995,4579,997,1896,2220,1665,2763,2930,2713,3302,666,1727
3791,553,2796,3657,1975,3613,997,3446,3139,4833,1041,1961,2158,1571,2651,2892,2591,3443,639,1581
