Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3720,445,2176,3422,1816,3432,682,3350,2845,5116,1011,1661,2207,1065,2951,2739,2211,4017,590,1895
3940,388,2341,3458,1819,3536,723,3218,2943,5022,1096,1590,2131,1105,3043,2696,2084,4054,593,1898
3598,393,2227,3462,1885,3418,725,3313,2782,4956,1031,1762,2235,1102,3045,2818,2111,3934,574,1891
4018,405,2435,3563,1978,3834,787,3426,3071,5489,1001,1780,2477,1170,3248,2929,2429,4426,644,2107
4174,438,2360,3743,2082,3781,776,3666,3162,5421,1156,1846,2436,1152,3196,3064,2377,4391,611,2117
4043,408,2375,3467,1963,3778,757,3526,2857,5384,1167,1751,2328,1080,3254,3009,2385,4325,596,2039
4012,402,2323,3512,2094,3869,733,3707,3122,5567,1086,1792,2388,1197,3064,3120,2393,4361,689,1984
3923,403,2153,3121,1804,3539,716,3321,2759,5146,1054,1767,2240,1090,2811,3004,2336,4126,617,2090
4010,446,2466,3676,2077,3900,798,3583,3108,5491,1124,1701,2350,1134,3342,3125,2262,4242,632,2106
4155,404,2303,3758,2043,3818,826,3619,3025,5792,1034,1864,2375,1092,3247,3270,2343,4538,617,2120
4001,433,2315,3500,1801,3703,737,3291,2823,5354,1024,1672,2377,1199,3238,2913,2351,4405,582,1853
3794,433,2347,3649,1986,3534,701,3663,3126,5317,1081,1839,2171,1134,3000,3111,2254,4108,589,2002
4005,420,2304,3811,2027,3822,760,3567,3135,5430,1077,1894,2401,1207,3296,3256,2439,4566,628,2144
4043,434,2560,3830,1993,3732,783,3540,3152,5605,1095,1812,2365,1264,3284,3117,2405,4445,627,1980
4088,440,2604,3896,2150,3930,805,3729,3305,5727,1109,1865,2394,1107,3394,3132,2499,4504,643,2172
4173,464,2586,3833,2100,3976,803,3660,3075,5954,1181,1834,2455,1342,3318,3332,2450,4598,701,2167
4250,466,2529,3771,1979,4002,819,3721,3171,5557,1159,1944,2531,1314,3176,3232,2717,4645,679,2254
4074,464,2236,3602,1911,3596,764,3418,3133,5540,1065,1763,2152,1082,3170,2988,2307,4316,568,2066
3696,422,2203,3475,1788,3464,741,3097,2838,5009,1008,1542,2106,1015,2998,2884,2184,4022,611,1786
3953,411,2426,3764,2031,3817,763,3780,3189,5483,1177,1917,2548,1152,3221,3121,2482,4529,626,2148
3872,422,2155,3498,1820,3613,720,3408,3053,5126,1045,1750,2172,1094,2924,2906,2304,3983,586,1969
3953,405,2549,3841,2014,3827,789,3579,3273,5790,1019,1841,2321,1176,3382,3060,2245,4264,587,2049
4126,467,2489,3622,2043,3909,786,3909,3231,5583,1118,1973,2468,1214,3088,3427,2478,4650,688,2333
3952,401,2372,3557,2010,3817,736,3405,2916,5332,1157,1729,2353,1064,3275,3129,2387,4459,681,2121
4055,435,2311,3693,1899,3759,717,3437,2972,5579,1032,1805,2404,1144,3194,3115,2263,4107,677,2038
3997,462,2428,3725,1942,3635,809,3577,3247,5414,1100,1903,2266,1148,3209,3077,2279,4168,628,2134
4215,454,2241,3688,1960,3693,727,3388,2847,5342,1072,1780,2266,1135,3187,2927,2263,4126,609,1983
3865,413,2361,3563,1895,3718,803,3348,2795,5191,1057,1703,2236,1085,3215,2934,2267,4086,653,1994
3630,430,2187,3343,1750,3412,739,3132,2759,4992,966,1552,2084,1053,2890,2682,2000,3935,560,1855
3937,431,2234,3760,1994,3546,696,3305,2939,5134,1050,1641,2300,1045,3204,2888,2209,4080,621,1974
4378,416,2525,3819,2108,3933,732,3662,3152,5908,1144,1939,2408,1313,3392,3247,2537,4559,705,2192
3849,388,2354,3475,1843,3540,740,3381,2976,5240,1078,1719,2149,1080,3049,2888,2235,4044,561,2047
3533,399,2098,3309,1928,3414,727,3244,2953,4851,985,1668,1998,1070,2822,2770,2058,3812,556,1910
4156,454,2370,3501,2058,3780,767,3664,2891,5531,1141,1879,2432,1135,2972,3206,2589,4296,639,2187
4102,410,2432,3839,2049,3980,772,3537,3138,5579,1144,1742,2458,1209,3359,3000,2314,4550,646,2133
4051,420,2401,3604,1928,3652,800,3394,2966,5255,1068,1665,2329,1210,3094,2886,2240,4259,620,1970
4150,446,2327,3566,2074,3713,753,3644,2952,5494,1114,1852,2441,1235,3001,3134,2368,4317,649,2105
3916,443,2409,3811,1914,3600,800,3464,3114,5409,1063,1774,2403,1147,3122,2865,2206,4305,650,1855
3799,397,2263,3436,1891,3650,729,3334,2849,5294,1038,1634,2084,1008,3092,2821,2140,4116,579,1967
3980,385,2377,3491,1920,3659,764,3475,2976,5226,1073,1703,2362,1159,2982,3029,2304,4299,649,2066
3968,427,2331,3512,1950,3601,750,3546,2982,5340,1107,1833,2192,1104,3109,3056,2212,4188,652,2063
3945,383,2354,3601,1860,3492,671,3457,3163,5148,1033,1655,2293,1152,3094,2968,2266,4165,620,1992
3892,448,2255,3557,2045,3695,775,3428,3047,5440,1037,1877,2370,1179,2987,3088,2410,4155,672,2048
4035,446,2563,3802,2050,3918,776,3766,3150,5481,1137,1882,2344,1223,3159,3157,2334,4553,621,2043
3787,432,2250,3451,1916,3534,691,3322,2967,5245,1021,1712,2266,1181,3009,2965,2224,4048,623,2029
4145,380,2307,3730,2001,3705,735,3455,3164,5407,1138,1781,2315,1200,3231,3071,2267,4383,592,1964
4188,467,2381,3730,2050,3846,773,3640,3119,5779,1089,1822,2412,1123,3251,3266,2342,4470,607,2058
3590,470,2291,3491,1930,3370,710,3379,3003,5064,1030,1604,2340,1088,3026,2805,2084,4016,574,1958
3720,403,2083,3328,1906,3350,676,3362,2840,5327,993,1778,2061,1013,3052,2959,2231,3909,573,1917
4081,407,2323,3694,1994,3801,773,3559,3007,5288,1066,1804,2390,1160,3162,3048,2437,4454,650,2048
3968,452,2284,3781,1966,3621,748,3561,3172,5545,1167,1948,2382,1178,3084,3223,2535,4521,597,2195
3795,368,2181,3185,1827,3439,670,3297,2689,5164,1069,1593,2027,964,3041,2715,2107,3965,563,1910
4352,480,2376,3614,2001,3819,782,3524,2960,5506,1139,1711,2345,1117,3286,2954,2308,4403,621,1924
3983,470,2283,3640,2044,3683,757,3477,3243,5574,1095,1681,2321,1101,3230,3055,2369,4347,642,2063
4152,446,2371,3767,2056,3742,694,3606,3109,5479,1176,1727,2305,1146,3270,2958,2235,4357,601,2096
4149,371,2351,3624,2056,3901,808,3759,3044,5634,1065,1803,2420,1188,3093,3288,2440,4537,614,2156
3926,494,2370,3672,2036,3813,738,3579,2936,5483,1083,1820,2330,1186,3119,3204,2378,4261,617,2208
4135,399,2298,3614,1982,3594,790,3370,2941,5467,1072,1660,2257,1145,3146,2836,2223,4216,627,1982
3917,483,2433,3684,1972,3565,747,3425,3095,5231,1074,1797,2299,1094,3087,2916,2251,4154,651,2031
4058,422,2296,3689,1969,3693,741,3490,3038,5290,1062,1896,2391,1226,3073,2983,2578,4321,569,2081
4397,408,2551,3899,2018,3972,837,3804,3330,5915,1235,1921,2552,1254,3406,3329,2503,4585,688,2202
4007,474,2583,3979,2039,3887,806,3656,3287,5496,1064,1816,2386,1186,3312,3131,2345,4411,594,2116
3697,394,2200,3392,1747,3491,697,3367,2815,4972,1003,1609,2058,988,3063,2760,2117,4210,505,1846
4336,453,2501,3788,2071,3956,819,3606,3232,5801,1064,1872,2527,1314,3338,3144,2380,4580,661,2204
3638,442,2249,3531,1807,3302,697,3520,3018,5005,1057,1811,2092,1151,2957,2743,2348,3914,638,2012
3988,404,2237,3561,1883,3616,670,3252,2903,5193,983,1695,2269,1108,3120,2983,2227,4248,643,1952
3869,371,2247,3450,1882,3675,712,3527,2915,5501,1136,1877,2298,1223,3038,3179,2319,4272,578,2054
3942,444,2343,3753,1757,3394,684,3447,3298,5508,1003,1830,2183,1157,2963,3015,2212,4039,516,1930
4096,443,2352,3590,1879,3661,755,3373,2881,5351,1087,1747,2319,1181,3202,3056,2417,4272,608,2055
3664,466,2220,3526,1973,3571,677,3497,3021,5198,1111,1828,2242,1207,3042,2947,2259,4066,543,1986
3792,422,2196,3255,1968,3637,679,3542,2825,4980,1144,1880,2235,1193,2779,2983,2428,4123,604,2054
3829,460,2271,3555,1865,3594,725,3388,2921,5229,1109,1795,2324,1187,3077,2995,2224,4136,668,2091
3889,433,2298,3553,2032,3708,757,3441,3041,5405,1047,1718,2225,1125,3029,2952,2327,4193,618,2153
3904,399,2187,3575,1951,3752,672,3466,3015,5529,1047,1627,2225,1087,2961,2863,2243,4133,605,1968
4072,431,2226,3444,1992,3563,755,3414,2767,5362,948,1738,2379,1150,3204,3089,2381,4394,660,2121
3900,408,2257,3397,1967,3623,780,3415,2940,5322,960,1709,2366,1076,3022,2879,2265,4251,607,2020
3898,383,2352,3786,2108,3528,739,3793,3234,5514,1145,1929,2245,1221,3102,2985,2288,4210,620,2042
4231,506,2450,3907,2052,3995,781,3696,3231,5708,1128,1968,2541,1252,3328,3174,2520,4325,710,2173
4035,433,2508,3563,2018,3784,693,3500,2974,5559,1070,1884,2397,1161,3241,3194,2461,4396,624,2118
4278,508,2297,3530,2046,3821,721,3357,2881,5494,1084,1755,2537,1191,3247,3029,2383,4453,621,2052
4310,446,2538,3940,2099,3864,824,3586,3270,5741,1108,1863,2429,1263,3427,3183,2402,4511,715,2040
4051,417,2350,3628,2033,3840,704,3643,3283,5551,1101,1805,2425,1155,3031,3045,2429,4408,566,2030
4144,462,2235,3549,2082,3717,728,3586,3110,5380,1113,1804,2417,1194,3051,3026,2355,4237,676,2130
3727,466,2284,3324,1694,3511,741,3202,2678,4749,1090,1572,2128,1092,3110,2785,2168,4038,579,1826
4180,440,2419,3757,2000,3898,767,3615,3047,5336,1107,1804,2414,1214,3362,3172,2571,4408,667,2195
3739,379,2231,3370,1958,3550,698,3348,2918,5066,1015,1700,2209,1057,2848,2773,2162,3976,567,1960
3956,438,2521,3855,1968,3830,833,3779,3278,5449,1141,1835,2299,1097,3186,2970,2157,4229,650,2006
4009,447,2321,3458,1767,3557,726,3296,2821,5316,1041,1583,2190,1032,3256,2997,2216,4410,590,1948
4240,395,2356,3520,2089,3885,750,3761,3202,5728,1124,1977,2350,1171,3113,3224,2406,4260,639,2307
4053,434,2306,3486,2004,3751,808,3707,3058,5378,1112,1783,2360,1224,3044,3069,2400,4289,636,2011
4058,450,2476,3722,2004,3785,803,3582,3129,5385,1102,1851,2344,1268,3221,3186,2251,4460,672,2067
3731,446,2245,3414,1887,3641,697,3498,2937,5148,1058,1738,2327,1229,2869,2998,2314,4232,615,1956
4098,438,2393,3684,1910,3696,694,3501,2986,5334,1068,1769,2227,1126,3150,2957,2278,4208,644,1946
4315,478,2623,3995,2159,3968,830,3902,3321,5827,1160,2072,2662,1328,3399,3406,2798,4647,764,2420
4220,473,2594,3861,1998,3917,757,3654,3207,5736,1081,1847,2451,1190,3283,3185,2454,4555,661,2172
4114,449,2361,3787,1956,3841,838,3593,3038,5484,1132,1806,2439,1152,3438,3086,2440,4540,627,2091
4359,421,2598,3827,2015,3658,797,3554,3175,5662,1139,1800,2396,1239,3382,3137,2377,4449,619,2151
3822,390,2156,3270,1854,3475,672,3280,2663,4766,985,1709,2088,1122,2783,2816,2211,3992,603,1905
3836,453,2434,3700,1907,3644,782,3626,3261,5348,1086,1782,2225,1131,3099,3013,2278,4204,577,2021
4131,382,2461,3636,1947,3805,766,3473,3005,5458,1169,1743,2327,1154,3178,3138,2342,4273,590,2044
