Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
4087,480,2493,3364,2267,3414,908,3417,2703,4999,1010,1854,2289,1707,3025,2630,2482,3325,673,1695
4513,532,2749,3328,2399,3764,966,3818,3009,5689,1003,2047,2559,1972,3199,2893,2762,3515,713,1834
4367,491,2508,3103,2175,3622,921,3491,2658,5280,1012,1813,2412,1788,3108,2803,2549,3587,710,1564
4161,535,2427,3220,2039,3401,1004,3297,2470,5066,968,1853,2377,1848,3100,2675,2680,3429,617,1663
4340,463,2534,3369,2328,3498,944,3534,2690,5406,1029,1923,2492,1760,3238,2807,2582,3564,643,1714
4782,589,2894,3543,2369,4084,1066,3718,2806,5802,1069,2045,2718,2044,3539,3023,2685,3777,770,1805
4104,493,2422,3188,2079,3582,931,3435,2660,5280,1005,1853,2319,1693,2984,2633,2435,3283,629,1542
4350,518,2623,3272,2289,3728,941,3590,2612,5467,1035,1949,2546,1782,3223,2871,2758,3593,690,1666
3911,459,2333,3120,2113,3439,874,3347,2580,5084,983,1663,2316,1633,3077,2574,2408,3250,571,1519
4369,520,2613,3155,2323,3924,1026,3447,2599,5354,1072,2043,2549,1846,3288,2849,2784,3677,819,1728
4149,531,2417,3344,2289,3481,924,3468,2467,5287,966,1785,2410,1741,3166,2737,2531,3405,624,1630
4597,584,2763,3710,2268,3909,1023,3702,2898,5603,1080,2007,2542,1930,3617,2969,2797,3708,743,1765
3943,545,2266,3184,2151,3463,910,3342,2557,5024,1011,1741,2342,1600,3006,2651,2338,3345,600,1535
4279,520,2454,3210,2130,3460,1082,3382,2538,5142,1007,1782,2480,1763,3237,2621,2537,3460,660,1572
4043,510,2409,3093,2069,3409,926,3350,2572,4928,985,1948,2292,1882,2901,2625,2450,3251,621,1605
4214,539,2587,3404,2235,3788,970,3646,2800,5261,1042,2032,2500,1864,3177,2944,2857,3577,695,1666
4042,478,2573,3252,2321,3389,919,3638,2800,5417,1004,2007,2313,1697,3012,2824,2590,3285,629,1654
4407,486,2595,3430,2162,3752,950,3479,2786,5257,1010,1871,2511,1881,3285,2820,2733,3700,726,1664
3896,549,2431,3189,2059,3353,950,3452,2630,5043,1050,1829,2371,1642,2901,2653,2426,3187,678,1580
4196,495,2461,3329,2115,3514,885,3595,2731,5193,1036,1818,2283,1614,3011,2682,2488,3347,616,1602
4270,488,2411,3277,2064,3580,903,3379,2589,5173,1019,1945,2465,1699,3068,2823,2551,3372,616,1588
4233,495,2439,3241,2150,3472,906,3513,2644,5472,987,1836,2423,1795,3107,2794,2578,3437,640,1556
4087,471,2360,3084,2139,3479,915,3362,2525,5108,1048,1786,2379,1708,2941,2704,2599,3301,626,1543
4497,561,2648,3366,2342,3660,967,3597,2675,5328,1065,2029,2541,1877,3310,2871,2554,3496,678,1664
4606,516,2494,3373,2232,3847,909,3509,2644,5522,1061,1946,2564,1895,3410,2840,2744,3587,723,1703
3942,500,2408,3148,2158,3460,985,3466,2658,4964,1002,1904,2388,1768,2923,2707,2576,3240,655,1598
4286,495,2489,3255,2192,3479,993,3511,2645,5501,979,1787,2421,1891,3138,2759,2695,3566,678,1696
4469,527,2529,3199,2222,3715,1059,3236,2492,5177,972,1800,2617,1806,3200,2655,2543,3591,723,1658
4056,514,2714,3316,2203,3489,940,3482,2902,5139,997,1950,2382,1689,3173,2660,2430,3403,589,1631
4468,491,2680,3530,2411,3797,1080,3656,2884,5393,1100,2026,2573,1757,3219,2803,2661,3560,726,1851
3686,480,2194,2938,2034,3134,789,3217,2542,4779,903,1729,2145,1594,2647,2504,2346,3065,578,1493
4071,533,2456,3290,2142,3573,918,3327,2542,5124,942,1839,2526,1766,3015,2739,2734,3505,645,1520
4219,494,2470,3352,2288,3683,1020,3647,2776,5418,1001,1964,2391,1757,3072,2758,2665,3524,604,1622
4051,550,2308,3067,2094,3500,869,3221,2552,4817,972,1820,2296,1676,2854,2646,2520,3203,555,1576
4421,526,2472,3223,2102,3603,971,3382,2563,5400,1012,1876,2515,1965,3096,2640,2537,3418,721,1644
4229,536,2453,3214,2274,3574,902,3753,2918,5313,1034,2005,2617,1783,2991,2893,2695,3458,666,1619
4252,478,2505,3276,2358,3535,982,3597,2648,5455,969,1940,2516,1747,3250,2930,2595,3521,702,1683
4019,523,2380,3076,2131,3544,861,3444,2605,5069,968,1899,2335,1714,2945,2840,2562,3297,734,1693
4132,518,2388,3165,2026,3515,944,3203,2373,5029,1005,1726,2260,1725,3107,2551,2481,3331,659,1615
4458,520,2632,3596,2382,3709,994,3861,2919,5629,1035,1982,2541,1905,3307,2816,2702,3618,625,1664
4298,524,2512,3180,2364,3920,965,3597,2711,5382,1007,1984,2572,1779,3084,2902,2731,3472,719,1797
4144,528,2486,3237,2274,3567,960,3534,2783,5226,1024,2081,2328,1773,3091,2803,2556,3413,690,1674
4064,505,2452,3106,2204,3448,944,3690,2842,5327,998,2012,2399,1805,2956,2842,2715,3444,679,1671
3768,554,2258,2964,1984,3203,866,3060,2449,4677,973,1621,2236,1553,2905,2542,2242,3156,630,1484
4331,480,2547,3359,2158,3458,950,3332,2698,5257,973,1881,2424,1874,3172,2776,2536,3300,668,1718
4371,518,2639,3399,2225,3713,1025,3561,2642,5244,1027,1953,2615,1865,3285,2755,2675,3477,681,1747
4163,531,2472,3237,2204,3580,997,3558,2766,5251,1033,1877,2414,1669,3060,2802,2611,3387,635,1626
3798,485,2409,3201,2051,3381,948,3409,2576,4999,916,1799,2275,1741,2943,2679,2436,3193,570,1590
4276,551,2524,3243,2160,3466,981,3515,2762,5371,1044,1887,2388,1894,3178,2583,2576,3441,644,1586
4300,547,2446,3345,2259,3562,986,3550,2679,5491,1070,1966,2413,1786,3103,2753,2493,3549,692,1704
